farm_id,warehouse,harvest_tons
Farm_00096,WH16,71.78
Farm_00097,WH12,24.35
Farm_00098,WH02,63.14
Farm_00099,WH20,46.68
Farm_00100,WH13,19.95
Farm_00101,WH17,53.74
Farm_00102,WH07,42.44
Farm_00103,WH19,33.27
Farm_00104,WH15,29.81
Farm_00105,WH05,20.81
Farm_00106,WH13,25.41
Farm_00107,WH03,44.08
Farm_00108,WH20,4.12
Farm_00109,WH13,19.65
Farm_00110,WH16,57.37
Farm_00111,WH20,27.74
Farm_00112,WH08,2.79
Farm_00113,WH19,4.38
Farm_00114,WH19,17.98
Farm_00115,WH07,64.06
Farm_00116,WH13,72.98
Farm_00117,WH11,44.63
Farm_00118,WH12,39.53
Farm_00119,WH16,54.94
Farm_00120,WH16,64.49
Farm_00121,WH03,56.82
Farm_00122,WH04,7.21
Farm_00123,WH17,20.04
Farm_00124,WH15,68.99
Farm_00125,WH16,13.92
Farm_00126,WH06,62.79
Farm_00127,WH02,62.22
Farm_00128,WH07,70.86
Farm_00129,WH19,62.87
Farm_00130,WH13,41.87
Farm_00131,WH19,16.71
Farm_00132,WH06,11.77
Farm_00133,WH09,62.22
Farm_00134,WH13,59.63
Farm_00135,WH02,22.26
Farm_00136,WH06,29.62
Farm_00137,WH02,68.09
Farm_00138,WH19,48.29
Farm_00139,WH10,68.12
Farm_00140,WH16,49.77
Farm_00141,WH06,48.54
Farm_00142,WH13,16.44
Farm_00143,WH12,2.24
Farm_00144,WH19,40.51
Farm_00145,WH20,34.37
Farm_00146,WH18,26.98
Farm_00147,WH09,38.34
Farm_00148,WH11,47.03
Farm_00149,WH16,45.64
Farm_00150,WH19,68.99
Farm_00151,WH18,46.32
Farm_00152,WH16,45.68
Farm_00153,WH09,53.13
Farm_00154,WH11,32.16
Farm_00155,WH08,25.96
Farm_00156,WH04,19.49
Farm_00157,WH05,36.36
Farm_00158,WH08,48.82
Farm_00159,WH03,20.32
Farm_00160,WH15,47.51
Farm_00161,WH06,52.63
Farm_00162,WH07,14.83
Farm_00163,WH04,20.9
Farm_00164,WH10,56.63
Farm_00165,WH03,52.73
Farm_00166,WH16,57.63
Farm_00167,WH07,47.78
Farm_00168,WH08,1.94
Farm_00169,WH18,60.48
Farm_00170,WH15,18.45
Farm_00171,WH11,39.46
Farm_00172,WH14,36.52
Farm_00173,WH11,33.08
Farm_00174,WH13,35.72
Farm_00175,WH01,64.8
Farm_00176,WH06,56.74
Farm_00177,WH15,58.78
Farm_00178,WH12,43.21
Farm_00179,WH12,8.07
Farm_00180,WH19,27.45
Farm_00181,WH09,17.79
Farm_00182,WH08,12.51
Farm_00183,WH03,26.71
Farm_00184,WH19,43.07
Farm_00185,WH09,1.75
Farm_00186,WH03,58.08
Farm_00187,WH04,73.44
Farm_00188,WH11,49.68
Farm_00189,WH09,74.52
Farm_00190,WH19,58.39
Farm_00191,WH11,30.39
Farm_00192,WH10,26.07
Farm_00193,WH04,31.52
Farm_00194,WH06,26.04
Farm_00195,WH07,45.56
Farm_00196,WH01,38.88
Farm_00197,WH14,27.63
Farm_00198,WH01,54.7
Farm_00199,WH03,25.74
Farm_00200,WH04,39.31
Farm_00201,WH14,5.65
Farm_00202,WH03,8.91
Farm_00203,WH05,3.65
Farm_00204,WH02,40.12
Farm_00205,WH09,47.83
Farm_00206,WH06,26.74
Farm_00207,WH11,9.94
Farm_00208,WH11,73.99
Farm_00209,WH10,34.91
Farm_00210,WH09,21.66
Farm_00211,WH12,61.22
Farm_00212,WH09,23.5
Farm_00213,WH15,6.98
Farm_00214,WH01,60.9
Farm_00215,WH17,26.42
Farm_00216,WH13,44.7
Farm_00217,WH14,29.41
Farm_00218,WH06,52.0
Farm_00219,WH16,58.63
Farm_00220,WH08,74.65
Farm_00221,WH20,17.75
Farm_00222,WH13,72.68
Farm_00223,WH03,3.02
Farm_00224,WH14,33.36
Farm_00225,WH17,6.87
Farm_00226,WH03,19.67
Farm_00227,WH17,29.98
Farm_00228,WH07,36.14
Farm_00229,WH17,7.22
Farm_00230,WH07,61.03
Farm_00231,WH05,16.08
Farm_00232,WH13,4.77
Farm_00233,WH04,37.15
Farm_00234,WH08,69.66
Farm_00235,WH17,73.47
Farm_00236,WH05,28.79
Farm_00237,WH11,53.11
Farm_00238,WH15,8.44
Farm_00239,WH03,22.32
Farm_00240,WH13,62.77
Farm_00241,WH12,65.78
Farm_00242,WH06,18.37
Farm_00243,WH03,13.37
Farm_00244,WH20,53.75
Farm_00245,WH16,43.19
Farm_00246,WH20,50.33
Farm_00247,WH18,26.1
Farm_00248,WH17,58.17
Farm_00249,WH08,32.18
Farm_00250,WH07,15.33
Farm_00251,WH06,6.4
Farm_00252,WH01,67.38
Farm_00253,WH04,34.75
Farm_00254,WH18,51.26
Farm_00255,WH14,18.39
Farm_00256,WH08,33.9
Farm_00257,WH08,38.0
Farm_00258,WH15,9.75
Farm_00259,WH05,58.18
Farm_00260,WH03,72.17
Farm_00261,WH15,3.93
Farm_00262,WH08,47.09
Farm_00263,WH10,61.56
Farm_00264,WH19,65.15
Farm_00265,WH10,24.43
Farm_00266,WH14,68.56
Farm_00267,WH11,23.16
Farm_00268,WH16,3.87
Farm_00269,WH07,71.93
Farm_00270,WH08,20.7
Farm_00271,WH12,16.57
Farm_00272,WH18,53.28
Farm_00273,WH01,40.92
Farm_00274,WH09,18.17
Farm_00275,WH03,56.09
Farm_00276,WH13,38.02
Farm_00277,WH20,14.86
Farm_00278,WH15,23.8
Farm_00279,WH13,64.34
Farm_00280,WH14,15.85
Farm_00281,WH14,29.91
Farm_00282,WH04,74.45
Farm_00283,WH16,34.56
Farm_00284,WH09,70.24
Farm_00285,WH11,49.38
Farm_00286,WH07,16.62
Farm_00287,WH04,36.96
Farm_00288,WH11,29.21
Farm_00289,WH16,59.79
Farm_00290,WH13,20.13
Farm_00291,WH15,12.13
Farm_00292,WH08,4.05
Farm_00293,WH16,71.75
Farm_00294,WH08,13.8
Farm_00295,WH17,19.95
Farm_00296,WH20,33.39
Farm_00297,WH07,6.93
Farm_00298,WH15,72.05
Farm_00299,WH06,59.2
Farm_00300,WH16,11.6
Farm_00301,WH12,12.29
Farm_00302,WH02,25.9
Farm_00303,WH18,24.83
Farm_00304,WH18,13.79
Farm_00305,WH05,39.95
Farm_00306,WH12,3.44
Farm_00307,WH08,60.08
Farm_00308,WH05,5.31
Farm_00309,WH03,16.07
Farm_00310,WH17,41.57
Farm_00311,WH01,31.02
Farm_00312,WH08,19.98
Farm_00313,WH01,41.7
Farm_00314,WH16,29.7
Farm_00315,WH15,42.12
Farm_00316,WH09,5.6
Farm_00317,WH12,33.55
Farm_00318,WH19,20.01
Farm_00319,WH09,20.36
Farm_00320,WH11,43.21
Farm_00321,WH15,61.89
Farm_00322,WH03,54.61
Farm_00323,WH13,38.62
Farm_00324,WH10,20.98
Farm_00325,WH02,45.02
Farm_00326,WH02,25.53
Farm_00327,WH14,9.41
Farm_00328,WH14,67.12
Farm_00329,WH01,41.36
Farm_00330,WH04,63.49
Farm_00331,WH16,48.18
Farm_00332,WH04,58.69
Farm_00333,WH13,68.27
Farm_00334,WH13,32.3
Farm_00335,WH01,58.43
Farm_00336,WH20,17.71
Farm_00337,WH19,26.49
Farm_00338,WH11,20.01
Farm_00339,WH02,61.61
Farm_00340,WH16,9.16
Farm_00341,WH19,66.56
Farm_00342,WH17,63.91
Farm_00343,WH17,45.74
Farm_00344,WH07,15.5
Farm_00345,WH09,39.47
Farm_00346,WH17,17.02
Farm_00347,WH01,20.4
Farm_00348,WH12,48.37
Farm_00349,WH08,28.69
Farm_00350,WH20,22.49
Farm_00351,WH12,56.76
Farm_00352,WH06,60.39
Farm_00353,WH14,46.59
Farm_00354,WH04,21.38
Farm_00355,WH05,65.62
Farm_00356,WH18,52.44
Farm_00357,WH06,34.2
Farm_00358,WH11,38.56
Farm_00359,WH08,42.24
Farm_00360,WH02,72.77
Farm_00361,WH15,61.15
Farm_00362,WH05,63.57
Farm_00363,WH10,16.11
Farm_00364,WH04,54.74
Farm_00365,WH10,51.71
Farm_00366,WH02,48.98
Farm_00367,WH18,70.41
Farm_00368,WH13,62.78
Farm_00369,WH17,15.01
Farm_00370,WH05,26.49
Farm_00371,WH15,25.07
Farm_00372,WH20,11.55
Farm_00373,WH10,14.91
Farm_00374,WH12,68.63
Farm_00375,WH10,12.47
Farm_00376,WH01,70.6
Farm_00377,WH01,27.65
Farm_00378,WH11,20.04
Farm_00379,WH19,29.95
Farm_00380,WH15,32.06
Farm_00381,WH08,55.91
Farm_00382,WH12,24.82
Farm_00383,WH11,65.51
Farm_00384,WH08,4.01
Farm_00385,WH10,19.13
Farm_00386,WH14,56.47
Farm_00387,WH13,14.86
Farm_00388,WH12,38.76
Farm_00389,WH17,13.77
Farm_00390,WH04,52.12
Farm_00391,WH12,57.47
Farm_00392,WH02,15.78
Farm_00393,WH04,13.12
Farm_00394,WH04,6.71
Farm_00395,WH04,65.54
Farm_00396,WH17,40.7
Farm_00397,WH01,27.7
Farm_00398,WH08,71.66
Farm_00399,WH19,70.28
Farm_00400,WH20,1.62
Farm_00401,WH18,45.74
Farm_00402,WH16,61.15
Farm_00403,WH08,27.66
Farm_00404,WH13,42.01
Farm_00405,WH20,17.97
Farm_00406,WH20,70.85
Farm_00407,WH13,66.88
Farm_00408,WH04,71.13
Farm_00409,WH06,56.08
Farm_00410,WH18,33.81
Farm_00411,WH08,28.55
Farm_00412,WH09,29.09
Farm_00413,WH14,11.86
Farm_00414,WH08,17.28
Farm_00415,WH12,71.75
Farm_00416,WH08,5.38
Farm_00417,WH05,53.1
Farm_00418,WH02,62.8
Farm_00419,WH03,64.5
Farm_00420,WH09,69.24
Farm_00421,WH13,69.76
Farm_00422,WH20,53.87
Farm_00423,WH06,25.91
Farm_00424,WH02,10.79
Farm_00425,WH07,55.39
Farm_00426,WH20,11.61
Farm_00427,WH03,11.08
Farm_00428,WH02,4.92
Farm_00429,WH20,67.1
Farm_00430,WH14,32.62
Farm_00431,WH13,37.94
Farm_00432,WH05,56.27
Farm_00433,WH18,20.43
Farm_00434,WH13,60.81
Farm_00435,WH16,59.65
Farm_00436,WH11,16.32
Farm_00437,WH10,20.53
Farm_00438,WH08,67.96
Farm_00439,WH17,26.81
Farm_00440,WH16,5.02
Farm_00441,WH01,20.73
Farm_00442,WH15,68.84
Farm_00443,WH14,67.77
Farm_00444,WH15,36.37
Farm_00445,WH15,5.82
Farm_00446,WH18,16.28
Farm_00447,WH10,59.9
Farm_00448,WH03,15.3
Farm_00449,WH13,20.9
Farm_00450,WH16,33.24
Farm_00451,WH12,23.06
Farm_00452,WH20,28.69
Farm_00453,WH09,18.57
Farm_00454,WH03,34.37
Farm_00455,WH14,38.87
Farm_00456,WH07,8.53
Farm_00457,WH11,31.44
Farm_00458,WH14,43.5
Farm_00459,WH03,1.56
Farm_00460,WH04,66.66
Farm_00461,WH14,24.03
Farm_00462,WH02,7.16
Farm_00463,WH20,16.17
Farm_00464,WH15,5.84
Farm_00465,WH15,45.59
Farm_00466,WH12,57.81
Farm_00467,WH14,17.07
Farm_00468,WH08,3.43
Farm_00469,WH17,37.85
Farm_00470,WH05,21.03
Farm_00471,WH09,1.42
Farm_00472,WH02,25.19
Farm_00473,WH02,33.72
Farm_00474,WH01,34.29
Farm_00475,WH12,65.25
Farm_00476,WH07,36.13
Farm_00477,WH07,44.42
Farm_00478,WH05,24.95
Farm_00479,WH03,27.8
Farm_00480,WH06,0.72
Farm_00481,WH08,34.9
Farm_00482,WH14,11.85
Farm_00483,WH12,49.61
Farm_00484,WH03,8.06
Farm_00485,WH13,60.66
Farm_00486,WH09,49.33
Farm_00487,WH20,63.71
Farm_00488,WH17,23.02
Farm_00489,WH04,6.31
Farm_00490,WH04,58.15
Farm_00491,WH19,54.95
Farm_00492,WH13,30.22
Farm_00493,WH08,14.41
Farm_00494,WH16,69.44
Farm_00495,WH20,51.34
Farm_00496,WH12,65.11
Farm_00497,WH20,17.28
Farm_00498,WH10,18.23
Farm_00499,WH17,72.8
Farm_00500,WH12,5.4
Farm_00501,WH09,36.49
Farm_00502,WH11,28.68
Farm_00503,WH08,50.32
Farm_00504,WH05,4.31
Farm_00505,WH15,43.31
Farm_00506,WH17,55.0
Farm_00507,WH07,74.38
Farm_00508,WH10,70.51
Farm_00509,WH02,53.02
Farm_00510,WH19,52.83
Farm_00511,WH06,71.52
Farm_00512,WH03,7.92
Farm_00513,WH01,12.14
Farm_00514,WH08,12.89
Farm_00515,WH03,43.19
Farm_00516,WH02,43.9
Farm_00517,WH12,25.95
Farm_00518,WH11,7.2
Farm_00519,WH13,6.59
Farm_00520,WH10,56.36
Farm_00521,WH10,21.2
Farm_00522,WH12,2.92
Farm_00523,WH07,7.16
Farm_00524,WH01,2.03
Farm_00525,WH01,58.08
Farm_00526,WH10,39.35
Farm_00527,WH08,7.16
Farm_00528,WH06,51.65
Farm_00529,WH10,48.98
Farm_00530,WH08,56.57
Farm_00531,WH13,48.19
Farm_00532,WH16,18.71
Farm_00533,WH12,74.55
Farm_00534,WH19,61.29
Farm_00535,WH20,30.39
Farm_00536,WH02,6.98
Farm_00537,WH07,9.5
Farm_00538,WH10,21.0
Farm_00539,WH07,51.41
Farm_00540,WH12,24.18
Farm_00541,WH12,1.85
Farm_00542,WH16,70.34
Farm_00543,WH16,59.04
Farm_00544,WH05,53.76
Farm_00545,WH02,41.21
Farm_00546,WH19,24.71
Farm_00547,WH13,21.64
Farm_00548,WH09,30.04
Farm_00549,WH07,25.79
Farm_00550,WH04,16.1
Farm_00551,WH06,10.18
Farm_00552,WH19,38.75
Farm_00553,WH06,5.79
Farm_00554,WH20,45.94
Farm_00555,WH02,22.34
Farm_00556,WH17,50.35
Farm_00557,WH10,46.08
Farm_00558,WH20,31.06
Farm_00559,WH01,8.48
Farm_00560,WH01,16.87
Farm_00561,WH14,23.35
Farm_00562,WH08,3.02
Farm_00563,WH12,37.66
Farm_00564,WH19,42.41
Farm_00565,WH04,49.58
Farm_00566,WH14,4.71
Farm_00567,WH14,31.69
Farm_00568,WH17,48.1
Farm_00569,WH04,34.7
Farm_00570,WH16,0.83
Farm_00571,WH10,46.41
Farm_00572,WH16,52.26
Farm_00573,WH07,66.79
Farm_00574,WH03,63.38
Farm_00575,WH18,19.73
Farm_00576,WH14,20.8
Farm_00577,WH07,34.52
Farm_00578,WH15,52.77
Farm_00579,WH14,53.38
Farm_00580,WH03,37.84
Farm_00581,WH16,17.63
Farm_00582,WH12,60.92
Farm_00583,WH05,38.07
Farm_00584,WH02,61.14
Farm_00585,WH20,23.47
Farm_00586,WH18,32.15
Farm_00587,WH05,66.61
Farm_00588,WH20,44.36
Farm_00589,WH14,68.9
Farm_00590,WH13,39.15
Farm_00591,WH16,73.33
Farm_00592,WH19,39.51
Farm_00593,WH06,38.96
Farm_00594,WH04,9.97
Farm_00595,WH05,69.96
Farm_00596,WH10,8.3
Farm_00597,WH15,60.03
Farm_00598,WH14,24.81
Farm_00599,WH17,4.18
Farm_00600,WH10,70.5
Farm_00601,WH18,7.37
Farm_00602,WH07,11.13
Farm_00603,WH08,69.14
Farm_00604,WH01,53.47
Farm_00605,WH06,10.7
Farm_00606,WH11,36.61
Farm_00607,WH14,18.31
Farm_00608,WH12,73.96
Farm_00609,WH05,67.48
Farm_00610,WH02,74.96
Farm_00611,WH14,60.24
Farm_00612,WH13,52.99
Farm_00613,WH06,0.91
Farm_00614,WH03,38.31
Farm_00615,WH20,13.1
Farm_00616,WH18,10.91
Farm_00617,WH10,71.78
Farm_00618,WH11,26.14
Farm_00619,WH15,59.2
Farm_00620,WH10,40.44
Farm_00621,WH09,40.2
Farm_00622,WH09,41.91
Farm_00623,WH02,6.77
Farm_00624,WH08,34.09
Farm_00625,WH19,24.38
Farm_00626,WH02,48.72
Farm_00627,WH11,4.59
Farm_00628,WH06,49.42
Farm_00629,WH09,18.05
Farm_00630,WH11,71.7
Farm_00631,WH18,63.52
Farm_00632,WH04,51.86
Farm_00633,WH13,53.93
Farm_00634,WH14,7.7
Farm_00635,WH19,1.24
Farm_00636,WH04,8.98
Farm_00637,WH16,9.57
Farm_00638,WH13,13.21
Farm_00639,WH14,67.68
Farm_00640,WH18,70.04
Farm_00641,WH15,23.91
Farm_00642,WH08,61.12
Farm_00643,WH13,53.19
Farm_00644,WH16,48.61
Farm_00645,WH19,1.45
Farm_00646,WH15,7.65
Farm_00647,WH18,58.09
Farm_00648,WH03,20.19
Farm_00649,WH05,3.53
Farm_00650,WH04,65.77
Farm_00651,WH05,10.77
Farm_00652,WH09,10.08
Farm_00653,WH15,57.95
Farm_00654,WH02,36.36
Farm_00655,WH13,1.3
Farm_00656,WH13,72.6
Farm_00657,WH04,66.66
Farm_00658,WH10,63.95
Farm_00659,WH12,7.73
Farm_00660,WH12,61.11
Farm_00661,WH04,16.76
Farm_00662,WH16,40.32
Farm_00663,WH03,45.97
Farm_00664,WH11,54.1
Farm_00665,WH04,0.92
Farm_00666,WH06,49.48
Farm_00667,WH15,44.37
Farm_00668,WH19,3.39
Farm_00669,WH02,10.09
Farm_00670,WH05,28.59
Farm_00671,WH14,10.74
Farm_00672,WH18,5.78
Farm_00673,WH20,32.54
Farm_00674,WH13,41.26
Farm_00675,WH11,36.75
Farm_00676,WH14,11.54
Farm_00677,WH10,40.92
Farm_00678,WH12,30.97
Farm_00679,WH17,50.97
Farm_00680,WH14,44.6
Farm_00681,WH13,69.26
Farm_00682,WH17,65.68
Farm_00683,WH15,72.81
Farm_00684,WH06,66.22
Farm_00685,WH05,70.88
Farm_00686,WH15,27.73
Farm_00687,WH01,54.92
Farm_00688,WH09,71.7
Farm_00689,WH07,20.73
Farm_00690,WH10,15.64
Farm_00691,WH11,37.79
Farm_00692,WH19,74.47
Farm_00693,WH01,54.96
Farm_00694,WH13,22.46
Farm_00695,WH12,67.48
Farm_00696,WH15,63.56
Farm_00697,WH03,16.38
Farm_00698,WH01,23.95
Farm_00699,WH07,40.63
Farm_00700,WH04,61.66
Farm_00701,WH17,39.09
Farm_00702,WH18,41.58
Farm_00703,WH13,55.98
Farm_00704,WH15,18.07
Farm_00705,WH07,7.38
Farm_00706,WH08,67.88
Farm_00707,WH14,25.48
Farm_00708,WH16,42.75
Farm_00709,WH01,14.34
Farm_00710,WH03,41.03
Farm_00711,WH11,22.74
Farm_00712,WH11,68.13
Farm_00713,WH08,35.33
Farm_00714,WH13,1.97
Farm_00715,WH15,0.8
Farm_00716,WH06,71.69
Farm_00717,WH03,39.66
Farm_00718,WH03,22.05
Farm_00719,WH06,46.16
Farm_00720,WH15,34.7
Farm_00721,WH19,13.84
Farm_00722,WH03,6.73
Farm_00723,WH05,44.14
Farm_00724,WH01,57.79
Farm_00725,WH10,9.6
Farm_00726,WH17,59.43
Farm_00727,WH08,5.43
Farm_00728,WH14,36.23
Farm_00729,WH01,5.44
Farm_00730,WH04,43.92
Farm_00731,WH06,14.29
Farm_00732,WH12,50.6
Farm_00733,WH19,50.35
Farm_00734,WH06,35.43
Farm_00735,WH09,25.53
Farm_00736,WH01,14.79
Farm_00737,WH18,10.1
Farm_00738,WH08,33.02
Farm_00739,WH13,34.65
Farm_00740,WH01,67.74
Farm_00741,WH09,35.64
Farm_00742,WH19,1.84
Farm_00743,WH02,64.13
Farm_00744,WH19,24.07
Farm_00745,WH02,12.36
Farm_00746,WH15,57.76
Farm_00747,WH11,67.18
Farm_00748,WH09,62.14
Farm_00749,WH03,38.49
Farm_00750,WH20,58.0
Farm_00751,WH17,50.46
Farm_00752,WH03,33.17
Farm_00753,WH01,49.55
Farm_00754,WH15,32.12
Farm_00755,WH11,55.26
Farm_00756,WH20,17.64
Farm_00757,WH16,50.49
Farm_00758,WH06,32.68
Farm_00759,WH05,36.77
Farm_00760,WH07,17.34
Farm_00761,WH12,42.35
Farm_00762,WH09,3.64
Farm_00763,WH13,48.0
Farm_00764,WH20,55.14
Farm_00765,WH02,72.2
Farm_00766,WH01,59.15
Farm_00767,WH05,67.86
Farm_00768,WH02,37.2
Farm_00769,WH09,34.42
Farm_00770,WH12,64.32
Farm_00771,WH15,46.68
Farm_00772,WH09,62.91
Farm_00773,WH04,67.53
Farm_00774,WH12,3.14
Farm_00775,WH02,47.68
Farm_00776,WH01,52.9
Farm_00777,WH05,60.27
Farm_00778,WH16,49.13
Farm_00779,WH20,69.77
Farm_00780,WH03,44.9
Farm_00781,WH16,58.29
Farm_00782,WH04,11.66
Farm_00783,WH04,67.28
Farm_00784,WH16,51.43
Farm_00785,WH19,19.78
Farm_00786,WH07,11.28
Farm_00787,WH11,2.83
Farm_00788,WH12,8.2
Farm_00789,WH16,29.47
Farm_00790,WH01,2.5
Farm_00791,WH08,4.87
Farm_00792,WH19,44.23
Farm_00793,WH15,7.49
Farm_00794,WH12,31.25
Farm_00795,WH10,11.5
Farm_00796,WH14,28.45
Farm_00797,WH20,37.5
Farm_00798,WH20,16.58
Farm_00799,WH15,63.2
Farm_00800,WH14,4.43
Farm_00801,WH13,25.42
Farm_00802,WH14,63.37
Farm_00803,WH10,14.99
Farm_00804,WH19,26.85
Farm_00805,WH03,33.19
Farm_00806,WH11,32.14
Farm_00807,WH19,46.07
Farm_00808,WH02,55.11
Farm_00809,WH15,40.45
Farm_00810,WH10,19.11
Farm_00811,WH20,45.44
Farm_00812,WH04,65.84
Farm_00813,WH16,35.47
Farm_00814,WH14,74.83
Farm_00815,WH17,54.38
Farm_00816,WH10,67.72
Farm_00817,WH08,34.43
Farm_00818,WH06,7.34
Farm_00819,WH15,25.28
Farm_00820,WH08,36.82
Farm_00821,WH10,73.89
Farm_00822,WH15,27.94
Farm_00823,WH15,5.33
Farm_00824,WH20,72.27
Farm_00825,WH03,9.49
Farm_00826,WH20,60.04
Farm_00827,WH12,46.73
Farm_00828,WH15,33.03
Farm_00829,WH03,32.29
Farm_00830,WH01,20.98
Farm_00831,WH13,36.01
Farm_00832,WH15,58.6
Farm_00833,WH08,41.45
Farm_00834,WH18,25.67
Farm_00835,WH01,4.85
Farm_00836,WH01,15.76
Farm_00837,WH01,54.55
Farm_00838,WH13,21.62
Farm_00839,WH15,66.52
Farm_00840,WH15,35.34
Farm_00841,WH08,20.62
Farm_00842,WH11,42.44
Farm_00843,WH16,29.61
Farm_00844,WH06,66.7
Farm_00845,WH04,5.16
Farm_00846,WH14,20.31
Farm_00847,WH13,48.65
Farm_00848,WH14,10.84
Farm_00849,WH06,50.77
Farm_00850,WH16,16.6
Farm_00851,WH01,52.08
Farm_00852,WH06,8.59
Farm_00853,WH16,23.95
Farm_00854,WH19,59.26
Farm_00855,WH03,55.08
Farm_00856,WH06,52.82
Farm_00857,WH10,0.73
Farm_00858,WH04,14.21
Farm_00859,WH16,28.36
Farm_00860,WH11,7.17
Farm_00861,WH06,67.39
Farm_00862,WH09,19.93
Farm_00863,WH17,48.7
Farm_00864,WH07,58.65
Farm_00865,WH13,73.75
Farm_00866,WH20,18.28
Farm_00867,WH11,10.63
Farm_00868,WH16,34.62
Farm_00869,WH04,29.4
Farm_00870,WH09,46.59
Farm_00871,WH10,63.06
Farm_00872,WH02,47.07
Farm_00873,WH10,2.94
Farm_00874,WH09,19.0
Farm_00875,WH03,62.11
Farm_00876,WH03,64.16
Farm_00877,WH06,36.04
Farm_00878,WH20,25.48
Farm_00879,WH11,62.44
Farm_00880,WH10,5.61
Farm_00881,WH01,61.19
Farm_00882,WH19,12.98
Farm_00883,WH15,46.22
Farm_00884,WH15,19.27
Farm_00885,WH20,74.04
Farm_00886,WH01,34.47
Farm_00887,WH11,4.21
Farm_00888,WH13,2.84
Farm_00889,WH12,12.53
Farm_00890,WH07,51.1
Farm_00891,WH04,15.98
Farm_00892,WH20,57.01
Farm_00893,WH15,67.96
Farm_00894,WH05,67.98
Farm_00895,WH02,42.2
Farm_00896,WH18,44.97
Farm_00897,WH10,70.9
Farm_00898,WH15,60.72
Farm_00899,WH03,66.2
Farm_00900,WH18,65.25
Farm_00901,WH10,9.03
Farm_00902,WH14,49.0
Farm_00903,WH07,12.53
Farm_00904,WH08,11.36
Farm_00905,WH08,74.2
Farm_00906,WH09,29.22
Farm_00907,WH18,56.93
Farm_00908,WH15,32.82
Farm_00909,WH05,27.4
Farm_00910,WH04,40.87
Farm_00911,WH11,58.76
Farm_00912,WH11,6.77
Farm_00913,WH20,36.24
Farm_00914,WH07,70.06
Farm_00915,WH20,35.93
Farm_00916,WH01,36.98
Farm_00917,WH02,8.5
Farm_00918,WH16,63.81
Farm_00919,WH10,27.16
Farm_00920,WH18,66.24
Farm_00921,WH03,29.74
Farm_00922,WH13,32.66
Farm_00923,WH14,23.58
Farm_00924,WH16,32.19
Farm_00925,WH09,21.54
Farm_00926,WH08,6.3
Farm_00927,WH17,35.41
Farm_00928,WH14,46.29
Farm_00929,WH19,40.2
Farm_00930,WH14,2.98
Farm_00931,WH19,28.71
