farmer_id,loan_usd,status
FRM00140,1621.6,Rejected
FRM00141,13871.11,Rejected
FRM00142,16911.41,Approved
FRM00143,16788.05,Rejected
FRM00144,3543.46,Pending
FRM00145,2326.45,Approved
FRM00146,6382.0,Rejected
FRM00147,13160.97,Approved
FRM00148,12825.4,Approved
FRM00149,12021.53,Approved
FRM00150,9411.51,Rejected
FRM00151,251.88,Pending
FRM00152,238.18,Approved
FRM00153,16941.24,Approved
FRM00154,10791.88,Rejected
FRM00155,17338.21,Pending
FRM00156,13821.44,Rejected
FRM00157,13079.33,Pending
FRM00158,17077.43,Approved
FRM00159,18738.11,Pending
FRM00160,13292.39,Rejected
FRM00161,18041.61,Approved
FRM00162,19991.68,Rejected
FRM00163,2827.93,Pending
FRM00164,8459.73,Pending
FRM00165,9486.47,Pending
FRM00166,12831.98,Rejected
FRM00167,15402.23,Rejected
FRM00168,1860.97,Approved
FRM00169,13883.39,Rejected
FRM00170,10484.74,Rejected
FRM00171,12223.32,Approved
FRM00172,10319.76,Rejected
FRM00173,13979.19,Pending
FRM00174,5845.26,Rejected
FRM00175,15770.39,Rejected
FRM00176,13153.05,Rejected
FRM00177,7281.95,Approved
FRM00178,19955.69,Pending
FRM00179,1249.86,Rejected
FRM00180,566.11,Pending
FRM00181,3580.19,Approved
FRM00182,8776.02,Rejected
FRM00183,8127.58,Rejected
FRM00184,18902.22,Pending
FRM00185,16227.07,Pending
FRM00186,3939.37,Pending
FRM00187,8239.43,Rejected
FRM00188,17202.34,Pending
FRM00189,15783.84,Approved
FRM00190,17542.6,Pending
FRM00191,2460.24,Pending
FRM00192,2818.88,Approved
FRM00193,13671.71,Pending
FRM00194,19199.58,Approved
FRM00195,14224.27,Pending
FRM00196,11831.15,Approved
FRM00197,642.29,Approved
FRM00198,4811.43,Approved
FRM00199,6239.56,Pending
FRM00200,10261.72,Approved
FRM00201,10905.97,Rejected
FRM00202,4497.84,Pending
FRM00203,6190.07,Pending
FRM00204,12604.77,Rejected
FRM00205,11013.41,Rejected
FRM00206,17069.36,Rejected
FRM00207,3849.57,Approved
FRM00208,8505.37,Rejected
FRM00209,1442.8,Approved
FRM00210,14360.23,Approved
FRM00211,4472.25,Rejected
FRM00212,19473.49,Pending
FRM00213,4849.25,Approved
FRM00214,6227.15,Pending
FRM00215,15095.65,Pending
FRM00216,16168.91,Rejected
FRM00217,14466.12,Approved
FRM00218,16268.3,Approved
FRM00219,829.68,Rejected
FRM00220,1689.06,Rejected
FRM00221,13439.94,Rejected
FRM00222,14269.21,Rejected
FRM00223,15816.24,Pending
FRM00224,16807.76,Approved
FRM00225,4654.59,Approved
FRM00226,5256.35,Pending
FRM00227,19300.84,Rejected
FRM00228,2956.09,Pending
FRM00229,19404.74,Rejected
FRM00230,1043.42,Pending
FRM00231,18993.4,Pending
FRM00232,842.2,Rejected
FRM00233,10010.91,Rejected
FRM00234,17752.98,Pending
FRM00235,11775.51,Approved
FRM00236,904.48,Approved
FRM00237,16991.82,Pending
FRM00238,3679.22,Approved
FRM00239,2433.41,Rejected
FRM00240,2557.91,Pending
FRM00241,501.58,Rejected
FRM00242,10900.82,Rejected
FRM00243,7669.0,Pending
FRM00244,1396.38,Rejected
FRM00245,7634.06,Approved
FRM00246,9885.62,Approved
FRM00247,19134.18,Approved
FRM00248,8472.65,Pending
FRM00249,14249.58,Approved
FRM00250,2435.74,Rejected
FRM00251,8558.98,Pending
FRM00252,5465.81,Rejected
FRM00253,2049.33,Pending
FRM00254,3438.46,Rejected
FRM00255,7883.53,Rejected
FRM00256,18073.56,Rejected
FRM00257,2522.65,Approved
FRM00258,17287.08,Pending
FRM00259,18433.38,Rejected
FRM00260,16474.88,Pending
FRM00261,16968.73,Approved
FRM00262,10371.46,Rejected
FRM00263,10179.24,Approved
FRM00264,2038.9,Rejected
FRM00265,6359.89,Approved
FRM00266,18404.72,Approved
FRM00267,18491.8,Approved
FRM00268,1860.21,Rejected
FRM00269,6891.68,Rejected
FRM00270,12084.88,Rejected
FRM00271,19143.26,Rejected
FRM00272,11926.64,Rejected
FRM00273,15980.14,Rejected
FRM00274,9078.07,Approved
FRM00275,17072.2,Approved
FRM00276,13078.54,Approved
FRM00277,18062.68,Approved
FRM00278,17296.65,Rejected
FRM00279,12191.6,Pending
FRM00280,17765.12,Rejected
FRM00281,12875.89,Rejected
FRM00282,2707.74,Approved
FRM00283,9734.89,Approved
FRM00284,2407.93,Rejected
FRM00285,1368.76,Pending
FRM00286,18178.88,Rejected
FRM00287,3516.51,Rejected
FRM00288,11554.1,Approved
FRM00289,10159.99,Pending
FRM00290,10228.43,Pending
FRM00291,18109.25,Approved
FRM00292,15470.89,Pending
FRM00293,2454.88,Approved
FRM00294,2226.09,Rejected
FRM00295,16431.43,Rejected
FRM00296,7622.99,Approved
FRM00297,9566.1,Approved
FRM00298,2963.11,Pending
FRM00299,2947.27,Pending
FRM00300,19987.53,Pending
FRM00301,16114.01,Pending
FRM00302,19408.22,Rejected
FRM00303,11180.01,Pending
FRM00304,9679.54,Pending
FRM00305,8698.6,Approved
FRM00306,3711.49,Rejected
FRM00307,14042.82,Pending
FRM00308,7555.94,Rejected
FRM00309,15422.14,Approved
FRM00310,11634.14,Rejected
FRM00311,19641.53,Approved
FRM00312,19003.44,Rejected
FRM00313,10838.7,Rejected
FRM00314,17552.62,Rejected
FRM00315,13252.49,Approved
FRM00316,1595.91,Pending
FRM00317,19308.9,Approved
FRM00318,15064.68,Approved
FRM00319,18663.97,Pending
FRM00320,19361.1,Pending
FRM00321,11970.23,Rejected
FRM00322,11659.56,Pending
FRM00323,19111.16,Rejected
FRM00324,10832.52,Approved
FRM00325,13053.46,Rejected
FRM00326,10347.95,Pending
FRM00327,5797.49,Approved
FRM00328,3598.27,Rejected
FRM00329,17328.97,Pending
FRM00330,15989.03,Rejected
FRM00331,3358.88,Pending
FRM00332,18349.35,Pending
FRM00333,1204.63,Pending
FRM00334,1673.04,Approved
FRM00335,10358.91,Rejected
FRM00336,3583.68,Rejected
FRM00337,16412.76,Pending
FRM00338,19649.48,Pending
FRM00339,4427.78,Pending
FRM00340,18622.76,Rejected
FRM00341,1106.65,Rejected
FRM00342,6362.47,Pending
FRM00343,7214.98,Approved
FRM00344,15548.58,Rejected
FRM00345,9538.06,Rejected
FRM00346,10830.51,Pending
FRM00347,1898.43,Approved
FRM00348,13037.05,Approved
FRM00349,5749.69,Pending
FRM00350,15913.46,Rejected
FRM00351,2915.55,Pending
FRM00352,11437.59,Pending
FRM00353,17556.9,Pending
FRM00354,523.93,Approved
FRM00355,15775.73,Rejected
FRM00356,11018.23,Rejected
FRM00357,12836.53,Rejected
FRM00358,19811.65,Rejected
FRM00359,16941.42,Rejected
FRM00360,17419.71,Approved
FRM00361,11173.62,Pending
FRM00362,16157.3,Approved
FRM00363,13850.37,Rejected
FRM00364,16933.04,Rejected
FRM00365,18918.37,Approved
FRM00366,19406.01,Approved
FRM00367,10178.64,Rejected
FRM00368,16218.95,Rejected
FRM00369,11391.09,Approved
FRM00370,14161.8,Rejected
FRM00371,8384.87,Approved
FRM00372,17443.0,Approved
FRM00373,4572.86,Approved
FRM00374,7814.47,Pending
FRM00375,14573.12,Pending
FRM00376,9249.15,Pending
FRM00377,6952.4,Approved
FRM00378,13594.86,Rejected
FRM00379,16652.32,Pending
FRM00380,8064.96,Rejected
FRM00381,19696.91,Approved
FRM00382,3825.22,Pending
FRM00383,10909.51,Approved
FRM00384,2885.85,Rejected
FRM00385,8459.38,Pending
FRM00386,19877.58,Rejected
FRM00387,6576.95,Approved
FRM00388,18948.43,Approved
FRM00389,16817.9,Rejected
FRM00390,13245.11,Pending
FRM00391,10867.33,Approved
FRM00392,9199.39,Approved
FRM00393,5771.54,Approved
FRM00394,5501.09,Approved
FRM00395,16569.47,Pending
FRM00396,8313.22,Rejected
FRM00397,10624.28,Pending
FRM00398,15454.89,Approved
FRM00399,13549.19,Rejected
FRM00400,16787.08,Approved
FRM00401,11342.7,Rejected
FRM00402,12162.93,Approved
FRM00403,2470.44,Rejected
FRM00404,4424.66,Pending
FRM00405,13056.59,Approved
FRM00406,10191.11,Rejected
FRM00407,18444.42,Pending
FRM00408,4066.42,Rejected
FRM00409,9942.93,Pending
FRM00410,18185.23,Approved
FRM00411,13666.03,Rejected
FRM00412,18291.13,Rejected
FRM00413,18318.06,Pending
FRM00414,4468.49,Pending
FRM00415,8795.27,Pending
FRM00416,5654.27,Pending
FRM00417,10463.43,Approved
FRM00418,18166.49,Approved
FRM00419,2897.06,Approved
FRM00420,16905.8,Approved
FRM00421,18628.93,Approved
FRM00422,1359.25,Rejected
FRM00423,5908.89,Rejected
FRM00424,11569.7,Pending
FRM00425,2488.44,Pending
FRM00426,13946.4,Rejected
FRM00427,8288.0,Rejected
FRM00428,12426.83,Approved
FRM00429,6309.33,Pending
FRM00430,560.61,Rejected
FRM00431,4925.83,Rejected
FRM00432,8654.51,Approved
FRM00433,16004.98,Pending
FRM00434,9891.45,Approved
FRM00435,1528.4,Pending
FRM00436,181.41,Pending
FRM00437,3922.64,Pending
FRM00438,12383.98,Rejected
FRM00439,18783.09,Pending
FRM00440,11940.51,Approved
FRM00441,8172.0,Approved
FRM00442,18939.14,Approved
FRM00443,5219.47,Pending
FRM00444,18925.3,Rejected
FRM00445,2905.37,Pending
FRM00446,10656.73,Approved
FRM00447,6487.26,Approved
FRM00448,9494.08,Approved
FRM00449,4979.64,Pending
FRM00450,14186.02,Rejected
FRM00451,7694.37,Pending
FRM00452,6758.21,Rejected
FRM00453,2437.32,Rejected
FRM00454,2046.22,Rejected
FRM00455,9739.13,Pending
FRM00456,382.76,Pending
FRM00457,16151.07,Approved
FRM00458,9164.94,Approved
FRM00459,17829.77,Rejected
FRM00460,5707.88,Rejected
FRM00461,15771.15,Pending
FRM00462,7871.16,Rejected
FRM00463,14271.44,Rejected
FRM00464,3805.52,Rejected
FRM00465,10545.78,Approved
FRM00466,10199.26,Rejected
FRM00467,19131.49,Rejected
FRM00468,10756.79,Pending
FRM00469,4306.65,Approved
FRM00470,11217.91,Pending
FRM00471,19662.49,Pending
FRM00472,8563.69,Pending
FRM00473,5661.91,Pending
FRM00474,10223.57,Approved
FRM00475,5441.65,Rejected
FRM00476,17582.44,Rejected
FRM00477,5082.25,Approved
FRM00478,11165.0,Rejected
FRM00479,15317.15,Pending
FRM00480,3961.13,Pending
FRM00481,11580.13,Rejected
FRM00482,18804.59,Rejected
FRM00483,14810.28,Approved
FRM00484,14312.01,Rejected
FRM00485,410.61,Pending
FRM00486,4663.03,Pending
FRM00487,2660.29,Pending
FRM00488,12744.27,Pending
FRM00489,15726.92,Approved
FRM00490,8691.5,Pending
FRM00491,3090.49,Approved
FRM00492,16991.46,Rejected
FRM00493,17805.37,Pending
FRM00494,3852.4,Rejected
FRM00495,18125.11,Approved
FRM00496,4788.58,Rejected
FRM00497,8636.84,Pending
FRM00498,897.28,Pending
FRM00499,11643.97,Rejected
FRM00500,6324.61,Rejected
FRM00501,12605.78,Approved
FRM00502,8879.19,Pending
FRM00503,4732.82,Rejected
FRM00504,6449.72,Approved
FRM00505,4754.39,Rejected
FRM00506,19254.54,Approved
FRM00507,12091.95,Pending
FRM00508,13001.35,Rejected
FRM00509,3456.16,Approved
FRM00510,11848.21,Rejected
FRM00511,11611.01,Pending
FRM00512,18389.08,Pending
FRM00513,14077.36,Rejected
FRM00514,4189.03,Rejected
FRM00515,18310.83,Approved
FRM00516,7078.04,Rejected
FRM00517,9213.88,Approved
FRM00518,5158.97,Rejected
FRM00519,19384.86,Approved
FRM00520,6626.79,Approved
FRM00521,6762.47,Pending
FRM00522,13359.99,Approved
FRM00523,9484.22,Rejected
FRM00524,755.55,Approved
FRM00525,10947.6,Approved
FRM00526,8272.7,Pending
FRM00527,17731.17,Pending
FRM00528,18935.05,Rejected
FRM00529,7787.83,Pending
FRM00530,9081.89,Approved
FRM00531,2640.21,Pending
FRM00532,15850.74,Pending
FRM00533,4344.86,Approved
FRM00534,8026.99,Rejected
FRM00535,17376.65,Approved
FRM00536,14578.14,Rejected
FRM00537,9009.54,Rejected
FRM00538,9985.36,Rejected
FRM00539,240.58,Pending
FRM00540,10384.21,Pending
FRM00541,4555.0,Rejected
FRM00542,5569.42,Approved
FRM00543,16119.73,Pending
FRM00544,19919.07,Rejected
FRM00545,16032.28,Pending
FRM00546,15374.62,Approved
FRM00547,10423.73,Pending
FRM00548,13124.73,Approved
FRM00549,12751.44,Approved
FRM00550,10678.8,Approved
FRM00551,7731.32,Pending
FRM00552,7149.36,Rejected
FRM00553,14738.04,Pending
FRM00554,10919.56,Pending
FRM00555,6222.86,Rejected
FRM00556,8657.52,Rejected
FRM00557,7408.91,Pending
FRM00558,11528.55,Pending
FRM00559,798.23,Rejected
FRM00560,16060.75,Approved
FRM00561,14331.31,Rejected
FRM00562,1581.63,Approved
FRM00563,8802.18,Pending
FRM00564,1052.7,Approved
FRM00565,7768.8,Rejected
FRM00566,14257.13,Rejected
FRM00567,2674.08,Approved
FRM00568,16409.69,Rejected
FRM00569,18833.6,Rejected
FRM00570,18639.93,Approved
FRM00571,14567.99,Rejected
FRM00572,14402.91,Approved
FRM00573,12554.47,Pending
FRM00574,7747.03,Approved
FRM00575,7152.4,Pending
FRM00576,3549.88,Approved
FRM00577,272.34,Rejected
FRM00578,7332.83,Pending
FRM00579,7533.6,Approved
FRM00580,15887.51,Rejected
FRM00581,9392.1,Approved
FRM00582,10646.03,Pending
FRM00583,7917.67,Approved
FRM00584,6901.91,Rejected
FRM00585,2643.18,Pending
FRM00586,3485.01,Pending
FRM00587,10050.64,Approved
FRM00588,624.32,Pending
FRM00589,16499.09,Approved
FRM00590,18549.05,Rejected
FRM00591,2376.51,Approved
FRM00592,8336.3,Rejected
FRM00593,12794.14,Approved
FRM00594,10099.47,Rejected
FRM00595,18622.28,Pending
FRM00596,8812.85,Approved
FRM00597,8862.21,Rejected
FRM00598,19987.02,Rejected
FRM00599,13719.4,Pending
FRM00600,7416.03,Pending
FRM00601,4244.08,Rejected
FRM00602,15078.06,Pending
FRM00603,16775.2,Rejected
FRM00604,9572.6,Approved
FRM00605,2756.6,Approved
FRM00606,6303.27,Rejected
FRM00607,5991.94,Rejected
FRM00608,4622.17,Rejected
FRM00609,19089.59,Approved
FRM00610,5227.19,Pending
FRM00611,1231.46,Rejected
FRM00612,17967.71,Pending
FRM00613,4888.76,Rejected
FRM00614,9531.21,Approved
FRM00615,15747.38,Rejected
FRM00616,728.96,Rejected
FRM00617,18670.04,Approved
FRM00618,9522.42,Approved
FRM00619,10484.55,Pending
FRM00620,9445.69,Pending
FRM00621,15918.51,Rejected
FRM00622,16528.77,Rejected
FRM00623,8788.79,Pending
FRM00624,4758.87,Approved
FRM00625,18768.17,Pending
FRM00626,11861.59,Pending
FRM00627,18558.63,Pending
FRM00628,13823.43,Rejected
FRM00629,14898.97,Pending
FRM00630,19419.44,Rejected
FRM00631,4998.67,Approved
FRM00632,14365.52,Rejected
FRM00633,3521.47,Rejected
FRM00634,805.0,Rejected
FRM00635,17045.72,Pending
FRM00636,15118.17,Pending
FRM00637,11740.05,Pending
FRM00638,1907.0,Approved
FRM00639,4281.05,Approved
FRM00640,6259.27,Rejected
FRM00641,12455.76,Rejected
FRM00642,13582.27,Pending
FRM00643,15413.13,Approved
FRM00644,14540.03,Approved
FRM00645,2453.3,Approved
FRM00646,15874.33,Approved
FRM00647,13834.09,Rejected
FRM00648,12112.09,Approved
FRM00649,6208.86,Rejected
FRM00650,438.65,Rejected
FRM00651,15788.72,Rejected
FRM00652,1251.89,Approved
FRM00653,19666.01,Rejected
FRM00654,7582.22,Pending
FRM00655,14054.81,Rejected
FRM00656,9465.34,Rejected
FRM00657,4464.4,Approved
FRM00658,11008.05,Rejected
FRM00659,6150.25,Approved
FRM00660,9321.18,Rejected
FRM00661,13617.73,Rejected
FRM00662,11241.94,Rejected
FRM00663,3011.8,Rejected
FRM00664,18377.54,Pending
FRM00665,17159.19,Pending
FRM00666,9931.65,Pending
FRM00667,17504.03,Pending
FRM00668,17183.88,Pending
FRM00669,7422.67,Approved
FRM00670,13088.97,Approved
FRM00671,16526.03,Rejected
FRM00672,16708.1,Approved
FRM00673,7399.01,Pending
FRM00674,10051.09,Approved
FRM00675,10613.02,Pending
FRM00676,17850.09,Rejected
FRM00677,1162.49,Pending
FRM00678,1184.74,Approved
FRM00679,14299.72,Rejected
FRM00680,678.23,Approved
FRM00681,2152.33,Rejected
FRM00682,18138.19,Pending
FRM00683,8683.67,Approved
FRM00684,17034.54,Approved
FRM00685,3190.16,Pending
FRM00686,19759.95,Approved
FRM00687,6144.18,Approved
FRM00688,5084.05,Approved
FRM00689,13645.89,Rejected
FRM00690,19059.75,Rejected
FRM00691,15804.57,Rejected
FRM00692,7719.82,Rejected
FRM00693,4341.93,Approved
FRM00694,10354.96,Approved
FRM00695,3163.92,Approved
FRM00696,118.75,Pending
FRM00697,2817.95,Approved
FRM00698,15626.25,Pending
FRM00699,11037.05,Approved
FRM00700,2453.59,Rejected
FRM00701,2184.54,Rejected
FRM00702,15180.08,Pending
FRM00703,4561.45,Approved
FRM00704,11241.15,Pending
FRM00705,11580.87,Pending
FRM00706,7752.02,Pending
FRM00707,11520.72,Pending
FRM00708,10076.09,Pending
FRM00709,6643.93,Rejected
FRM00710,6370.81,Approved
FRM00711,13771.17,Rejected
FRM00712,7309.78,Approved
FRM00713,1586.64,Rejected
FRM00714,14124.47,Approved
FRM00715,815.02,Rejected
FRM00716,16079.37,Approved
FRM00717,10110.68,Pending
FRM00718,4837.62,Approved
FRM00719,17710.43,Pending
FRM00720,19207.67,Pending
FRM00721,1987.2,Approved
FRM00722,19739.16,Pending
FRM00723,2369.85,Pending
FRM00724,17108.28,Rejected
FRM00725,15228.4,Pending
FRM00726,16386.38,Approved
FRM00727,3050.59,Pending
FRM00728,3348.0,Approved
FRM00729,13334.69,Pending
FRM00730,6691.67,Approved
FRM00731,2829.82,Approved
FRM00732,14134.43,Rejected
FRM00733,12082.84,Approved
FRM00734,8664.55,Pending
FRM00735,364.34,Rejected
FRM00736,8211.82,Pending
FRM00737,12271.22,Rejected
FRM00738,8010.04,Approved
FRM00739,9656.02,Approved
FRM00740,4505.49,Pending
FRM00741,9848.92,Rejected
FRM00742,3932.0,Rejected
FRM00743,9542.31,Approved
FRM00744,10362.17,Pending
FRM00745,7944.53,Pending
FRM00746,10890.18,Pending
FRM00747,9577.14,Approved
FRM00748,151.1,Approved
FRM00749,18580.02,Approved
FRM00750,18868.3,Pending
FRM00751,9644.84,Pending
FRM00752,13441.86,Pending
FRM00753,10039.44,Approved
FRM00754,1792.69,Rejected
FRM00755,18329.0,Rejected
FRM00756,18592.12,Approved
FRM00757,2055.88,Pending
FRM00758,5175.87,Pending
FRM00759,520.06,Pending
FRM00760,13398.64,Rejected
FRM00761,15013.02,Rejected
FRM00762,6153.08,Approved
FRM00763,6613.24,Rejected
FRM00764,16985.42,Approved
FRM00765,950.39,Approved
FRM00766,5105.19,Approved
FRM00767,10331.36,Rejected
FRM00768,5730.27,Pending
FRM00769,3105.2,Rejected
FRM00770,19856.72,Pending
FRM00771,5295.86,Pending
FRM00772,11234.56,Pending
FRM00773,1931.64,Rejected
FRM00774,17790.67,Pending
FRM00775,6507.99,Pending
FRM00776,18117.45,Rejected
FRM00777,14439.56,Pending
FRM00778,14407.18,Rejected
FRM00779,17865.96,Rejected
FRM00780,672.35,Rejected
FRM00781,395.81,Rejected
FRM00782,12020.34,Rejected
FRM00783,4295.95,Pending
FRM00784,15055.41,Rejected
FRM00785,7696.78,Rejected
FRM00786,11784.13,Approved
FRM00787,15307.56,Pending
FRM00788,18574.41,Pending
FRM00789,2741.81,Approved
FRM00790,4430.19,Rejected
FRM00791,11732.18,Pending
FRM00792,2299.4,Rejected
FRM00793,1556.55,Rejected
FRM00794,12524.26,Pending
FRM00795,1992.67,Pending
FRM00796,11912.75,Approved
FRM00797,9203.99,Rejected
FRM00798,11683.52,Approved
FRM00799,2622.52,Pending
FRM00800,12838.64,Rejected
FRM00801,14108.77,Rejected
FRM00802,19285.88,Rejected
FRM00803,9830.98,Pending
FRM00804,12462.26,Pending
FRM00805,6528.72,Rejected
FRM00806,120.56,Pending
FRM00807,19006.75,Rejected
FRM00808,15214.65,Pending
FRM00809,9490.44,Pending
FRM00810,17640.46,Rejected
FRM00811,4609.38,Rejected
FRM00812,9699.19,Pending
FRM00813,4967.95,Rejected
FRM00814,629.18,Pending
FRM00815,12013.89,Approved
FRM00816,4297.5,Pending
FRM00817,1538.44,Pending
FRM00818,17787.88,Pending
FRM00819,8057.72,Rejected
FRM00820,10146.08,Approved
FRM00821,3107.79,Pending
FRM00822,1703.77,Approved
FRM00823,10658.78,Pending
FRM00824,9819.15,Approved
FRM00825,7107.34,Rejected
FRM00826,431.96,Approved
FRM00827,19730.15,Rejected
FRM00828,7156.8,Pending
FRM00829,11095.44,Rejected
FRM00830,593.51,Approved
FRM00831,11839.53,Approved
FRM00832,18184.37,Approved
FRM00833,9071.46,Rejected
FRM00834,2012.99,Rejected
FRM00835,13033.77,Approved
FRM00836,13257.64,Approved
FRM00837,13204.46,Pending
FRM00838,19286.16,Pending
FRM00839,6346.13,Rejected
FRM00840,10969.4,Approved
FRM00841,14348.18,Rejected
FRM00842,14366.86,Rejected
FRM00843,16533.75,Rejected
FRM00844,15883.79,Rejected
FRM00845,10447.62,Approved
FRM00846,6050.83,Rejected
FRM00847,6108.56,Rejected
FRM00848,15164.07,Approved
FRM00849,15937.32,Approved
FRM00850,4038.15,Pending
FRM00851,6723.59,Rejected
FRM00852,2099.24,Pending
FRM00853,18092.46,Pending
FRM00854,10017.19,Approved
FRM00855,8305.13,Approved
FRM00856,3389.18,Pending
FRM00857,16607.1,Rejected
FRM00858,14947.06,Pending
FRM00859,12432.65,Pending
FRM00860,10970.77,Approved
FRM00861,17874.04,Approved
FRM00862,15670.28,Rejected
FRM00863,12580.49,Rejected
FRM00864,10169.86,Approved
FRM00865,13157.64,Approved
FRM00866,1744.27,Approved
FRM00867,18003.33,Pending
FRM00868,7502.65,Rejected
FRM00869,1644.38,Approved
FRM00870,5396.0,Pending
FRM00871,16804.58,Pending
FRM00872,8282.52,Pending
FRM00873,13895.32,Pending
FRM00874,19765.35,Pending
FRM00875,3096.44,Rejected
FRM00876,8999.92,Pending
FRM00877,8622.79,Pending
FRM00878,18365.02,Approved
FRM00879,2066.23,Approved
FRM00880,4788.15,Rejected
FRM00881,13959.09,Pending
FRM00882,3839.26,Approved
FRM00883,19855.46,Approved
FRM00884,12407.55,Rejected
FRM00885,16475.09,Pending
FRM00886,3527.54,Rejected
FRM00887,10172.6,Approved
FRM00888,12872.59,Approved
FRM00889,1395.15,Approved
FRM00890,18304.72,Approved
FRM00891,17855.28,Pending
FRM00892,14685.31,Approved
FRM00893,8827.46,Pending
FRM00894,13666.12,Pending
FRM00895,11215.21,Rejected
FRM00896,1573.59,Rejected
FRM00897,5567.05,Approved
FRM00898,7197.73,Rejected
FRM00899,3823.92,Pending
FRM00900,19559.51,Pending
FRM00901,12983.41,Approved
FRM00902,10273.31,Rejected
FRM00903,11960.19,Approved
FRM00904,2439.69,Rejected
FRM00905,11232.59,Approved
FRM00906,16615.64,Approved
FRM00907,11032.63,Approved
FRM00908,5896.84,Pending
FRM00909,9784.67,Approved
FRM00910,14014.97,Pending
FRM00911,5220.8,Rejected
FRM00912,12777.47,Rejected
