farm_id,market,sale_usd
Farm_00131,MKT032,29805.17
Farm_00132,MKT045,38531.82
Farm_00133,MKT039,45248.74
Farm_00134,MKT088,38717.97
Farm_00135,MKT012,49623.8
Farm_00136,MKT002,117.59
Farm_00137,MKT064,24717.7
Farm_00138,MKT036,31402.05
Farm_00139,MKT076,14951.85
Farm_00140,MKT086,20644.99
Farm_00141,MKT093,31732.09
Farm_00142,MKT094,13763.25
Farm_00143,MKT067,3701.8
Farm_00144,MKT004,11227.05
Farm_00145,MKT044,30822.67
Farm_00146,MKT021,28312.29
Farm_00147,MKT027,17755.42
Farm_00148,MKT060,24277.95
Farm_00149,MKT016,45460.43
Farm_00150,MKT034,2162.03
Farm_00151,MKT059,19908.25
Farm_00152,MKT043,38462.63
Farm_00153,MKT033,39405.58
Farm_00154,MKT044,18419.57
Farm_00155,MKT004,4678.97
Farm_00156,MKT051,20506.26
Farm_00157,MKT008,19212.29
Farm_00158,MKT029,38156.01
Farm_00159,MKT057,23511.45
Farm_00160,MKT013,10346.12
Farm_00161,MKT003,29938.06
Farm_00162,MKT061,10175.22
Farm_00163,MKT054,7542.54
Farm_00164,MKT023,43535.53
Farm_00165,MKT008,31250.11
Farm_00166,MKT017,49883.81
Farm_00167,MKT091,29649.46
Farm_00168,MKT015,4215.4
Farm_00169,MKT097,7780.68
Farm_00170,MKT034,25115.02
Farm_00171,MKT040,2877.26
Farm_00172,MKT033,40196.01
Farm_00173,MKT011,7326.95
Farm_00174,MKT024,30242.17
Farm_00175,MKT074,17255.94
Farm_00176,MKT040,12735.53
Farm_00177,MKT028,36499.13
Farm_00178,MKT014,30034.21
Farm_00179,MKT096,30228.84
Farm_00180,MKT008,10448.96
Farm_00181,MKT023,11684.62
Farm_00182,MKT053,17891.69
Farm_00183,MKT050,48352.99
Farm_00184,MKT029,17068.94
Farm_00185,MKT050,3453.0
Farm_00186,MKT020,21758.29
Farm_00187,MKT056,16332.14
Farm_00188,MKT066,47173.48
Farm_00189,MKT028,39631.11
Farm_00190,MKT014,18884.74
Farm_00191,MKT090,23691.4
Farm_00192,MKT078,9346.67
Farm_00193,MKT061,40299.26
Farm_00194,MKT013,18447.13
Farm_00195,MKT039,14724.43
Farm_00196,MKT045,45136.23
Farm_00197,MKT085,1201.56
Farm_00198,MKT031,21190.87
Farm_00199,MKT011,21237.19
Farm_00200,MKT096,35866.99
Farm_00201,MKT011,3615.77
Farm_00202,MKT042,12077.22
Farm_00203,MKT046,4302.0
Farm_00204,MKT036,6033.19
Farm_00205,MKT089,936.29
Farm_00206,MKT008,46111.5
Farm_00207,MKT005,31265.86
Farm_00208,MKT031,32728.6
Farm_00209,MKT028,34688.53
Farm_00210,MKT011,30945.09
Farm_00211,MKT008,1535.08
Farm_00212,MKT087,10136.08
Farm_00213,MKT089,22750.59
Farm_00214,MKT094,14387.01
Farm_00215,MKT063,1425.91
Farm_00216,MKT028,15854.25
Farm_00217,MKT020,5077.98
Farm_00218,MKT020,12698.17
Farm_00219,MKT029,10529.73
Farm_00220,MKT066,43250.43
Farm_00221,MKT009,6495.68
Farm_00222,MKT042,24063.3
Farm_00223,MKT057,33206.81
Farm_00224,MKT076,12124.97
Farm_00225,MKT067,24838.17
Farm_00226,MKT091,8855.19
Farm_00227,MKT050,47476.48
Farm_00228,MKT014,26278.32
Farm_00229,MKT058,14408.16
Farm_00230,MKT073,34176.19
Farm_00231,MKT086,16783.48
Farm_00232,MKT065,565.78
Farm_00233,MKT052,32963.85
Farm_00234,MKT073,20035.68
Farm_00235,MKT099,16342.0
Farm_00236,MKT039,27135.15
Farm_00237,MKT051,34249.83
Farm_00238,MKT045,20158.21
Farm_00239,MKT037,14669.59
Farm_00240,MKT044,18867.56
Farm_00241,MKT028,21410.01
Farm_00242,MKT081,29589.64
Farm_00243,MKT027,34486.25
Farm_00244,MKT051,38150.19
Farm_00245,MKT090,49283.79
Farm_00246,MKT027,14324.66
Farm_00247,MKT085,47483.26
Farm_00248,MKT093,2220.39
Farm_00249,MKT061,9464.83
Farm_00250,MKT065,47067.05
Farm_00251,MKT045,33897.51
Farm_00252,MKT086,33767.12
Farm_00253,MKT083,18261.18
Farm_00254,MKT060,38800.43
Farm_00255,MKT067,18149.39
Farm_00256,MKT090,43755.81
Farm_00257,MKT092,36540.36
Farm_00258,MKT072,10343.32
Farm_00259,MKT007,21331.95
Farm_00260,MKT012,10659.8
Farm_00261,MKT040,12877.85
Farm_00262,MKT081,48039.04
Farm_00263,MKT089,48277.27
Farm_00264,MKT073,12843.52
Farm_00265,MKT066,5153.84
Farm_00266,MKT069,4590.7
Farm_00267,MKT094,39200.33
Farm_00268,MKT016,23503.8
Farm_00269,MKT029,12089.72
Farm_00270,MKT095,30596.97
Farm_00271,MKT053,26790.14
Farm_00272,MKT084,22985.18
Farm_00273,MKT074,2965.87
Farm_00274,MKT076,5382.87
Farm_00275,MKT086,39813.08
Farm_00276,MKT064,21886.55
Farm_00277,MKT034,10172.83
Farm_00278,MKT035,38331.62
Farm_00279,MKT016,34345.17
Farm_00280,MKT058,35161.96
Farm_00281,MKT035,17336.66
Farm_00282,MKT095,32935.96
Farm_00283,MKT027,41649.17
Farm_00284,MKT034,20316.92
Farm_00285,MKT012,48875.3
Farm_00286,MKT073,19973.9
Farm_00287,MKT010,3621.22
Farm_00288,MKT073,22017.11
Farm_00289,MKT010,49529.15
Farm_00290,MKT093,36205.6
Farm_00291,MKT100,37215.09
Farm_00292,MKT012,32665.93
Farm_00293,MKT032,29990.47
Farm_00294,MKT007,4067.34
Farm_00295,MKT069,29991.99
Farm_00296,MKT088,14974.83
Farm_00297,MKT003,25510.11
Farm_00298,MKT053,17136.7
Farm_00299,MKT070,36547.08
Farm_00300,MKT100,16103.91
Farm_00301,MKT031,14220.5
Farm_00302,MKT080,45105.04
Farm_00303,MKT002,39364.34
Farm_00304,MKT044,3544.47
Farm_00305,MKT011,39954.38
Farm_00306,MKT087,41377.36
Farm_00307,MKT024,23213.2
Farm_00308,MKT066,11965.41
Farm_00309,MKT083,7880.75
Farm_00310,MKT050,44157.44
Farm_00311,MKT063,43497.1
Farm_00312,MKT008,48443.71
Farm_00313,MKT094,25427.23
Farm_00314,MKT054,20018.97
Farm_00315,MKT077,5618.28
Farm_00316,MKT049,13272.18
Farm_00317,MKT015,24695.71
Farm_00318,MKT029,15104.09
Farm_00319,MKT097,535.26
Farm_00320,MKT095,26359.1
Farm_00321,MKT005,14979.82
Farm_00322,MKT006,39382.55
Farm_00323,MKT078,13057.44
Farm_00324,MKT024,31861.33
Farm_00325,MKT064,42193.17
Farm_00326,MKT080,38989.55
Farm_00327,MKT034,20574.96
Farm_00328,MKT065,38341.82
Farm_00329,MKT007,4149.9
Farm_00330,MKT001,27249.42
Farm_00331,MKT089,22705.67
Farm_00332,MKT050,22678.06
Farm_00333,MKT012,14988.94
Farm_00334,MKT085,39232.61
Farm_00335,MKT015,12100.68
Farm_00336,MKT073,9707.71
Farm_00337,MKT028,12727.39
Farm_00338,MKT095,27164.33
Farm_00339,MKT033,11492.91
Farm_00340,MKT082,47790.64
Farm_00341,MKT032,40319.74
Farm_00342,MKT026,26527.56
Farm_00343,MKT096,3113.95
Farm_00344,MKT023,34290.8
Farm_00345,MKT030,48427.86
Farm_00346,MKT082,2992.63
Farm_00347,MKT082,28618.49
Farm_00348,MKT003,11575.48
Farm_00349,MKT065,22292.73
Farm_00350,MKT014,36865.41
Farm_00351,MKT091,41518.46
Farm_00352,MKT064,15752.1
Farm_00353,MKT025,42750.92
Farm_00354,MKT001,15573.76
Farm_00355,MKT049,45173.19
Farm_00356,MKT054,34304.97
Farm_00357,MKT009,18714.41
Farm_00358,MKT084,46833.46
Farm_00359,MKT043,47825.6
Farm_00360,MKT093,12553.3
Farm_00361,MKT012,42760.78
Farm_00362,MKT022,49941.62
Farm_00363,MKT085,48729.94
Farm_00364,MKT084,45518.8
Farm_00365,MKT083,32603.78
Farm_00366,MKT015,7612.41
Farm_00367,MKT090,32640.1
Farm_00368,MKT080,34025.85
Farm_00369,MKT042,49912.73
Farm_00370,MKT079,45971.64
Farm_00371,MKT034,40273.55
Farm_00372,MKT045,33660.61
Farm_00373,MKT009,20300.03
Farm_00374,MKT007,11662.05
Farm_00375,MKT044,33619.37
Farm_00376,MKT004,37432.55
Farm_00377,MKT063,45035.81
Farm_00378,MKT068,17309.81
Farm_00379,MKT018,7083.28
Farm_00380,MKT018,1162.94
Farm_00381,MKT039,31999.19
Farm_00382,MKT099,23624.41
Farm_00383,MKT024,42995.54
Farm_00384,MKT075,31594.53
Farm_00385,MKT028,10479.93
Farm_00386,MKT041,46266.4
Farm_00387,MKT041,18242.53
Farm_00388,MKT095,26912.02
Farm_00389,MKT009,8873.48
Farm_00390,MKT098,27815.39
Farm_00391,MKT055,18568.43
Farm_00392,MKT018,16076.11
Farm_00393,MKT082,43555.41
Farm_00394,MKT086,28008.72
Farm_00395,MKT078,29607.93
Farm_00396,MKT029,44179.04
Farm_00397,MKT016,4723.82
Farm_00398,MKT015,13791.11
Farm_00399,MKT057,26093.73
Farm_00400,MKT061,10887.42
Farm_00401,MKT019,48620.46
Farm_00402,MKT067,32617.04
Farm_00403,MKT086,49303.07
Farm_00404,MKT022,2905.48
Farm_00405,MKT040,18015.59
Farm_00406,MKT018,2779.88
Farm_00407,MKT044,1362.56
Farm_00408,MKT050,42856.94
Farm_00409,MKT088,42197.41
Farm_00410,MKT074,9323.88
Farm_00411,MKT035,37055.56
Farm_00412,MKT036,44840.52
Farm_00413,MKT025,41855.84
Farm_00414,MKT020,23157.69
Farm_00415,MKT060,24278.72
Farm_00416,MKT044,43177.22
Farm_00417,MKT050,4570.37
Farm_00418,MKT045,17217.06
Farm_00419,MKT094,31739.8
Farm_00420,MKT030,38986.28
Farm_00421,MKT007,1910.15
Farm_00422,MKT036,43641.17
Farm_00423,MKT084,40971.17
Farm_00424,MKT027,29276.13
Farm_00425,MKT077,42349.6
Farm_00426,MKT022,21946.84
Farm_00427,MKT002,15508.87
Farm_00428,MKT036,27643.98
Farm_00429,MKT091,1022.59
Farm_00430,MKT053,43973.59
Farm_00431,MKT044,48497.62
Farm_00432,MKT036,11786.97
Farm_00433,MKT033,14031.49
Farm_00434,MKT098,21603.84
Farm_00435,MKT043,44461.75
Farm_00436,MKT057,15144.24
Farm_00437,MKT082,41717.13
Farm_00438,MKT005,9006.38
Farm_00439,MKT017,22106.89
Farm_00440,MKT033,10058.04
Farm_00441,MKT032,30980.1
Farm_00442,MKT022,27410.16
Farm_00443,MKT068,19798.64
Farm_00444,MKT057,32697.01
Farm_00445,MKT061,4405.47
Farm_00446,MKT024,34610.78
Farm_00447,MKT070,21422.52
Farm_00448,MKT077,44593.22
Farm_00449,MKT023,29973.01
Farm_00450,MKT067,31181.5
Farm_00451,MKT094,40659.12
Farm_00452,MKT039,5209.44
Farm_00453,MKT016,10552.39
Farm_00454,MKT077,46590.78
Farm_00455,MKT044,4670.62
Farm_00456,MKT027,16015.9
Farm_00457,MKT085,9799.19
Farm_00458,MKT052,14481.37
Farm_00459,MKT064,18474.52
Farm_00460,MKT065,39224.96
Farm_00461,MKT088,24509.58
Farm_00462,MKT029,24850.31
Farm_00463,MKT060,44269.06
Farm_00464,MKT094,18903.81
Farm_00465,MKT072,21516.82
Farm_00466,MKT020,6076.05
Farm_00467,MKT029,21946.78
Farm_00468,MKT062,47580.38
Farm_00469,MKT011,44114.11
Farm_00470,MKT096,44849.29
Farm_00471,MKT098,39486.06
Farm_00472,MKT097,26761.84
Farm_00473,MKT057,45369.01
Farm_00474,MKT089,13042.96
Farm_00475,MKT071,9305.21
Farm_00476,MKT008,8556.1
Farm_00477,MKT040,17024.57
Farm_00478,MKT096,48930.24
Farm_00479,MKT099,25043.42
Farm_00480,MKT020,49345.55
Farm_00481,MKT055,31494.74
Farm_00482,MKT092,2795.04
Farm_00483,MKT069,40481.37
Farm_00484,MKT029,17154.3
Farm_00485,MKT080,25762.22
Farm_00486,MKT003,47596.56
Farm_00487,MKT024,26765.43
Farm_00488,MKT035,6323.6
Farm_00489,MKT030,39823.55
Farm_00490,MKT051,9546.7
Farm_00491,MKT001,747.1
Farm_00492,MKT009,14932.35
Farm_00493,MKT065,29954.71
Farm_00494,MKT026,10003.49
Farm_00495,MKT060,16839.54
Farm_00496,MKT017,6670.84
Farm_00497,MKT088,25743.13
Farm_00498,MKT086,46898.04
Farm_00499,MKT026,46459.65
Farm_00500,MKT007,34371.31
Farm_00501,MKT051,45818.8
Farm_00502,MKT055,33367.86
Farm_00503,MKT042,28646.84
Farm_00504,MKT059,6819.16
Farm_00505,MKT040,3024.43
Farm_00506,MKT049,35018.01
Farm_00507,MKT062,39424.23
Farm_00508,MKT063,34886.34
Farm_00509,MKT057,24308.72
Farm_00510,MKT058,25818.22
Farm_00511,MKT049,7886.74
Farm_00512,MKT024,29533.54
Farm_00513,MKT012,15500.47
Farm_00514,MKT005,18428.94
Farm_00515,MKT053,18448.56
Farm_00516,MKT008,11417.31
Farm_00517,MKT045,7122.26
Farm_00518,MKT090,31751.66
Farm_00519,MKT015,42051.45
Farm_00520,MKT026,3234.7
Farm_00521,MKT070,33521.01
Farm_00522,MKT090,27272.71
Farm_00523,MKT005,46856.32
Farm_00524,MKT011,35584.68
Farm_00525,MKT016,1245.89
Farm_00526,MKT057,40872.23
Farm_00527,MKT052,21148.73
Farm_00528,MKT010,7370.24
Farm_00529,MKT016,46077.34
Farm_00530,MKT088,19244.83
Farm_00531,MKT035,43874.07
Farm_00532,MKT033,14384.54
Farm_00533,MKT079,15232.82
Farm_00534,MKT065,36959.27
Farm_00535,MKT022,28813.2
Farm_00536,MKT019,47858.61
Farm_00537,MKT075,46462.72
Farm_00538,MKT036,2431.23
Farm_00539,MKT098,23128.08
Farm_00540,MKT035,35420.34
Farm_00541,MKT039,37491.43
Farm_00542,MKT033,7158.15
Farm_00543,MKT094,47024.03
Farm_00544,MKT074,19167.35
Farm_00545,MKT090,10791.48
Farm_00546,MKT023,24788.0
Farm_00547,MKT043,15442.73
Farm_00548,MKT083,27169.51
Farm_00549,MKT001,26097.24
Farm_00550,MKT057,3464.64
Farm_00551,MKT038,49843.04
Farm_00552,MKT030,16945.1
Farm_00553,MKT013,7455.88
Farm_00554,MKT079,2290.41
Farm_00555,MKT075,49814.14
Farm_00556,MKT066,39886.59
Farm_00557,MKT085,14058.88
Farm_00558,MKT026,38300.57
Farm_00559,MKT061,33978.83
Farm_00560,MKT015,46381.31
Farm_00561,MKT048,25927.01
Farm_00562,MKT036,33879.12
Farm_00563,MKT001,33406.73
Farm_00564,MKT043,14251.55
Farm_00565,MKT057,11179.69
Farm_00566,MKT007,32666.08
Farm_00567,MKT067,23536.84
Farm_00568,MKT006,22311.94
Farm_00569,MKT047,31198.31
Farm_00570,MKT042,36254.41
Farm_00571,MKT030,30344.01
Farm_00572,MKT073,24436.45
Farm_00573,MKT066,10760.34
Farm_00574,MKT062,24203.68
Farm_00575,MKT090,33316.52
Farm_00576,MKT093,3092.09
Farm_00577,MKT060,30054.84
Farm_00578,MKT049,20774.76
Farm_00579,MKT029,11700.76
Farm_00580,MKT062,44678.99
Farm_00581,MKT080,7007.17
Farm_00582,MKT082,6962.67
Farm_00583,MKT081,33398.04
Farm_00584,MKT040,17077.85
Farm_00585,MKT032,13106.37
Farm_00586,MKT061,29970.47
Farm_00587,MKT039,28541.89
Farm_00588,MKT050,26106.79
Farm_00589,MKT047,5044.73
Farm_00590,MKT040,42010.72
Farm_00591,MKT003,2337.79
Farm_00592,MKT034,29716.07
Farm_00593,MKT054,26903.29
Farm_00594,MKT015,25050.84
Farm_00595,MKT039,21812.75
Farm_00596,MKT001,46972.91
Farm_00597,MKT021,2635.83
Farm_00598,MKT090,27971.6
Farm_00599,MKT022,29541.53
Farm_00600,MKT020,25472.67
Farm_00601,MKT076,7318.84
Farm_00602,MKT076,29711.62
Farm_00603,MKT050,17973.24
Farm_00604,MKT008,30897.1
Farm_00605,MKT036,32356.3
Farm_00606,MKT049,41117.87
Farm_00607,MKT063,19823.41
Farm_00608,MKT099,10942.18
Farm_00609,MKT016,21963.94
Farm_00610,MKT100,40120.43
Farm_00611,MKT036,28428.23
Farm_00612,MKT072,6236.51
Farm_00613,MKT026,23258.21
Farm_00614,MKT074,2794.36
Farm_00615,MKT048,28820.57
Farm_00616,MKT029,4082.92
Farm_00617,MKT057,23952.4
Farm_00618,MKT003,1678.99
Farm_00619,MKT067,30757.63
Farm_00620,MKT094,13337.12
Farm_00621,MKT025,46714.87
Farm_00622,MKT031,17732.29
Farm_00623,MKT095,43049.34
Farm_00624,MKT045,26383.24
Farm_00625,MKT074,7942.82
Farm_00626,MKT092,17734.67
Farm_00627,MKT067,1378.2
Farm_00628,MKT009,29053.05
Farm_00629,MKT005,36429.7
Farm_00630,MKT052,12797.7
Farm_00631,MKT057,25007.1
Farm_00632,MKT037,24877.03
Farm_00633,MKT006,49059.61
Farm_00634,MKT060,11422.27
Farm_00635,MKT060,34366.44
Farm_00636,MKT093,20677.97
Farm_00637,MKT038,49188.08
Farm_00638,MKT017,13663.95
Farm_00639,MKT067,9196.58
Farm_00640,MKT031,49496.77
Farm_00641,MKT018,46243.9
Farm_00642,MKT097,44729.07
Farm_00643,MKT072,36959.11
Farm_00644,MKT073,39316.89
Farm_00645,MKT029,41677.16
Farm_00646,MKT045,43593.31
Farm_00647,MKT096,15860.4
Farm_00648,MKT055,46990.21
Farm_00649,MKT041,42120.09
Farm_00650,MKT044,16176.62
Farm_00651,MKT024,11300.87
Farm_00652,MKT079,37404.0
Farm_00653,MKT099,44622.92
Farm_00654,MKT031,24991.97
Farm_00655,MKT062,26896.58
Farm_00656,MKT037,31176.64
Farm_00657,MKT018,40445.21
Farm_00658,MKT031,29344.27
Farm_00659,MKT014,13262.81
Farm_00660,MKT003,26548.54
Farm_00661,MKT082,22062.61
Farm_00662,MKT050,35303.45
Farm_00663,MKT047,19382.03
Farm_00664,MKT066,38181.86
Farm_00665,MKT089,24709.17
Farm_00666,MKT052,11637.18
Farm_00667,MKT012,9999.63
Farm_00668,MKT092,3931.83
Farm_00669,MKT005,25877.94
Farm_00670,MKT024,22050.71
Farm_00671,MKT100,29653.23
Farm_00672,MKT006,25680.44
Farm_00673,MKT006,15330.46
Farm_00674,MKT054,7240.9
Farm_00675,MKT052,27962.25
Farm_00676,MKT082,26611.92
Farm_00677,MKT082,16341.74
Farm_00678,MKT061,19311.37
Farm_00679,MKT037,40656.75
Farm_00680,MKT020,8939.15
Farm_00681,MKT073,41700.29
Farm_00682,MKT086,29827.66
Farm_00683,MKT027,1794.52
Farm_00684,MKT060,19733.99
Farm_00685,MKT090,39389.63
Farm_00686,MKT061,48242.72
Farm_00687,MKT037,29306.18
Farm_00688,MKT077,17314.08
Farm_00689,MKT059,39120.54
Farm_00690,MKT025,18850.5
Farm_00691,MKT082,29069.54
Farm_00692,MKT018,8298.11
Farm_00693,MKT028,33548.54
Farm_00694,MKT098,35206.86
Farm_00695,MKT060,29585.67
Farm_00696,MKT093,18023.09
Farm_00697,MKT030,46402.6
Farm_00698,MKT025,34582.81
Farm_00699,MKT004,32483.56
Farm_00700,MKT010,35656.44
Farm_00701,MKT092,31305.04
Farm_00702,MKT087,2730.92
Farm_00703,MKT096,4346.16
Farm_00704,MKT095,7491.22
Farm_00705,MKT041,20243.62
Farm_00706,MKT051,14913.41
Farm_00707,MKT081,43360.17
Farm_00708,MKT063,1449.13
Farm_00709,MKT057,42691.26
Farm_00710,MKT037,5947.46
Farm_00711,MKT092,7320.57
Farm_00712,MKT009,42896.84
Farm_00713,MKT072,36468.32
Farm_00714,MKT022,1977.72
Farm_00715,MKT055,9950.21
Farm_00716,MKT094,40961.89
Farm_00717,MKT012,34752.34
Farm_00718,MKT006,33857.18
Farm_00719,MKT088,20989.93
Farm_00720,MKT056,5766.03
Farm_00721,MKT099,1891.85
Farm_00722,MKT044,4274.47
Farm_00723,MKT049,22488.77
Farm_00724,MKT061,33931.75
Farm_00725,MKT034,6541.31
Farm_00726,MKT072,9106.79
Farm_00727,MKT018,184.71
Farm_00728,MKT024,490.23
Farm_00729,MKT021,46711.92
Farm_00730,MKT090,43819.7
Farm_00731,MKT087,43238.71
Farm_00732,MKT097,16686.05
Farm_00733,MKT012,19593.67
Farm_00734,MKT028,11624.08
Farm_00735,MKT091,30008.31
Farm_00736,MKT051,16134.52
Farm_00737,MKT051,3680.79
Farm_00738,MKT011,2229.17
Farm_00739,MKT049,35063.64
Farm_00740,MKT043,38480.7
Farm_00741,MKT030,49988.32
Farm_00742,MKT043,10460.08
Farm_00743,MKT020,23390.21
Farm_00744,MKT035,41808.29
Farm_00745,MKT045,27861.02
Farm_00746,MKT044,45760.89
Farm_00747,MKT059,6027.12
Farm_00748,MKT020,37580.26
Farm_00749,MKT059,7053.82
Farm_00750,MKT009,17038.62
Farm_00751,MKT027,14885.83
Farm_00752,MKT018,28635.81
Farm_00753,MKT058,41901.0
Farm_00754,MKT038,19023.8
Farm_00755,MKT061,14692.22
Farm_00756,MKT047,39535.24
Farm_00757,MKT004,45058.77
Farm_00758,MKT014,4941.32
Farm_00759,MKT059,38881.98
Farm_00760,MKT060,25223.43
Farm_00761,MKT062,42921.03
Farm_00762,MKT004,32529.15
Farm_00763,MKT097,24312.89
Farm_00764,MKT004,12840.08
Farm_00765,MKT008,32259.04
Farm_00766,MKT071,20672.52
Farm_00767,MKT021,12433.96
Farm_00768,MKT043,37581.64
Farm_00769,MKT084,24929.05
Farm_00770,MKT047,13990.13
Farm_00771,MKT008,4827.01
Farm_00772,MKT014,1846.96
Farm_00773,MKT079,29925.92
Farm_00774,MKT014,6172.36
Farm_00775,MKT078,11202.36
Farm_00776,MKT056,3103.97
Farm_00777,MKT098,8352.63
Farm_00778,MKT032,47605.16
Farm_00779,MKT062,23187.97
Farm_00780,MKT038,27180.04
Farm_00781,MKT062,2256.62
Farm_00782,MKT069,6200.09
Farm_00783,MKT098,32872.56
Farm_00784,MKT094,16353.88
Farm_00785,MKT001,15202.1
Farm_00786,MKT093,17616.18
Farm_00787,MKT022,49102.2
Farm_00788,MKT024,19489.39
Farm_00789,MKT054,40480.43
Farm_00790,MKT047,47397.86
Farm_00791,MKT016,48650.6
Farm_00792,MKT078,27244.18
Farm_00793,MKT025,49907.84
Farm_00794,MKT066,48359.9
Farm_00795,MKT039,35575.99
Farm_00796,MKT061,48883.66
Farm_00797,MKT059,7904.6
Farm_00798,MKT050,21018.06
Farm_00799,MKT026,9065.97
Farm_00800,MKT076,36726.85
Farm_00801,MKT043,15263.14
Farm_00802,MKT056,15259.93
Farm_00803,MKT009,26586.73
Farm_00804,MKT089,21545.03
Farm_00805,MKT048,30727.19
Farm_00806,MKT012,35695.4
Farm_00807,MKT006,5947.2
Farm_00808,MKT088,47821.51
Farm_00809,MKT085,40684.64
Farm_00810,MKT075,3170.64
Farm_00811,MKT014,22199.84
Farm_00812,MKT049,1904.93
Farm_00813,MKT002,1210.34
Farm_00814,MKT051,41561.35
Farm_00815,MKT085,32965.14
Farm_00816,MKT037,21695.75
Farm_00817,MKT077,21220.31
Farm_00818,MKT072,47181.55
Farm_00819,MKT037,7144.4
Farm_00820,MKT036,47181.06
Farm_00821,MKT031,13128.98
Farm_00822,MKT092,24737.48
