farm_id,disease,severity
Farm_00286,Fall Armyworm,Medium
Farm_00287,Rust,Medium
Farm_00288,Leaf Blight,Medium
Farm_00289,Fall Armyworm,Low
Farm_00290,Fall Armyworm,Low
Farm_00291,Healthy,Medium
Farm_00292,Fall Armyworm,Low
Farm_00293,Fall Armyworm,High
Farm_00294,Fall Armyworm,Low
Farm_00295,Leaf Blight,Low
Farm_00296,Rust,Medium
Farm_00297,Rust,Medium
Farm_00298,Fall Armyworm,Medium
Farm_00299,Fall Armyworm,Medium
Farm_00300,Fall Armyworm,Low
Farm_00301,Fall Armyworm,High
Farm_00302,Leaf Blight,High
Farm_00303,Root Rot,Medium
Farm_00304,Healthy,High
Farm_00305,Leaf Blight,Low
Farm_00306,Rust,Low
Farm_00307,Rust,Low
Farm_00308,Fall Armyworm,Low
Farm_00309,Rust,Low
Farm_00310,Fall Armyworm,Medium
Farm_00311,Root Rot,Low
Farm_00312,Root Rot,High
Farm_00313,Healthy,High
Farm_00314,Healthy,Medium
Farm_00315,Rust,Low
Farm_00316,Fall Armyworm,High
Farm_00317,Healthy,Low
Farm_00318,Healthy,High
Farm_00319,Fall Armyworm,High
Farm_00320,Healthy,Medium
Farm_00321,Rust,Medium
Farm_00322,Rust,High
Farm_00323,Root Rot,High
Farm_00324,Healthy,Medium
Farm_00325,Fall Armyworm,High
Farm_00326,Root Rot,Low
Farm_00327,Fall Armyworm,High
Farm_00328,Rust,Medium
Farm_00329,Leaf Blight,Low
Farm_00330,Root Rot,Medium
Farm_00331,Rust,Low
Farm_00332,Root Rot,Low
Farm_00333,Healthy,Medium
Farm_00334,Root Rot,Low
Farm_00335,Root Rot,High
Farm_00336,Leaf Blight,Low
Farm_00337,Healthy,Low
Farm_00338,Fall Armyworm,Medium
Farm_00339,Healthy,Medium
Farm_00340,Fall Armyworm,High
Farm_00341,Fall Armyworm,Low
Farm_00342,Healthy,High
Farm_00343,Fall Armyworm,High
Farm_00344,Rust,High
Farm_00345,Leaf Blight,High
Farm_00346,Healthy,Low
Farm_00347,Leaf Blight,Medium
Farm_00348,Rust,Medium
Farm_00349,Leaf Blight,Medium
Farm_00350,Fall Armyworm,Low
Farm_00351,Healthy,High
Farm_00352,Healthy,High
Farm_00353,Fall Armyworm,Medium
Farm_00354,Healthy,High
Farm_00355,Root Rot,Medium
Farm_00356,Root Rot,Low
Farm_00357,Rust,High
Farm_00358,Healthy,High
Farm_00359,Leaf Blight,Medium
Farm_00360,Rust,High
Farm_00361,Leaf Blight,Low
Farm_00362,Fall Armyworm,Low
Farm_00363,Leaf Blight,Low
Farm_00364,Healthy,High
Farm_00365,Fall Armyworm,High
Farm_00366,Fall Armyworm,Low
Farm_00367,Rust,Medium
Farm_00368,Root Rot,Medium
Farm_00369,Root Rot,High
Farm_00370,Rust,Low
Farm_00371,Rust,Medium
Farm_00372,Leaf Blight,Low
Farm_00373,Fall Armyworm,Medium
Farm_00374,Fall Armyworm,Low
Farm_00375,Root Rot,Low
Farm_00376,Healthy,Medium
Farm_00377,Fall Armyworm,Medium
Farm_00378,Healthy,High
Farm_00379,Leaf Blight,Low
Farm_00380,Root Rot,High
Farm_00381,Root Rot,High
Farm_00382,Root Rot,Low
Farm_00383,Fall Armyworm,High
Farm_00384,Fall Armyworm,Low
Farm_00385,Healthy,Medium
Farm_00386,Fall Armyworm,Medium
Farm_00387,Root Rot,High
Farm_00388,Root Rot,Low
Farm_00389,Root Rot,Low
Farm_00390,Root Rot,Medium
Farm_00391,Fall Armyworm,Medium
Farm_00392,Healthy,Medium
Farm_00393,Healthy,Medium
Farm_00394,Rust,High
Farm_00395,Healthy,Low
Farm_00396,Leaf Blight,Medium
Farm_00397,Healthy,High
Farm_00398,Rust,Medium
Farm_00399,Fall Armyworm,Medium
Farm_00400,Healthy,Medium
Farm_00401,Rust,Medium
Farm_00402,Fall Armyworm,High
Farm_00403,Healthy,Medium
Farm_00404,Root Rot,Medium
Farm_00405,Healthy,High
Farm_00406,Root Rot,Low
Farm_00407,Healthy,Medium
Farm_00408,Fall Armyworm,Low
Farm_00409,Rust,High
Farm_00410,Healthy,High
Farm_00411,Rust,Medium
Farm_00412,Leaf Blight,Low
Farm_00413,Rust,Low
Farm_00414,Healthy,Medium
Farm_00415,Root Rot,Medium
Farm_00416,Rust,Low
Farm_00417,Root Rot,Low
Farm_00418,Leaf Blight,High
Farm_00419,Root Rot,Low
Farm_00420,Healthy,Low
Farm_00421,Leaf Blight,Low
Farm_00422,Fall Armyworm,High
Farm_00423,Fall Armyworm,Low
Farm_00424,Fall Armyworm,Low
Farm_00425,Healthy,Low
Farm_00426,Fall Armyworm,Medium
Farm_00427,Healthy,Low
Farm_00428,Rust,Low
Farm_00429,Leaf Blight,Low
Farm_00430,Leaf Blight,High
Farm_00431,Rust,Medium
Farm_00432,Rust,Medium
Farm_00433,Leaf Blight,Low
Farm_00434,Fall Armyworm,Medium
Farm_00435,Leaf Blight,Medium
Farm_00436,Root Rot,Medium
Farm_00437,Root Rot,Medium
Farm_00438,Fall Armyworm,High
Farm_00439,Root Rot,Low
Farm_00440,Leaf Blight,Medium
Farm_00441,Rust,Low
Farm_00442,Root Rot,Medium
Farm_00443,Leaf Blight,Low
Farm_00444,Fall Armyworm,Low
Farm_00445,Rust,Medium
Farm_00446,Leaf Blight,Low
Farm_00447,Root Rot,High
Farm_00448,Rust,Medium
Farm_00449,Leaf Blight,Low
Farm_00450,Healthy,High
Farm_00451,Healthy,Medium
Farm_00452,Rust,High
Farm_00453,Leaf Blight,High
Farm_00454,Rust,Low
Farm_00455,Leaf Blight,High
Farm_00456,Leaf Blight,High
Farm_00457,Leaf Blight,Medium
Farm_00458,Healthy,Low
Farm_00459,Root Rot,Medium
Farm_00460,Healthy,High
Farm_00461,Healthy,Medium
Farm_00462,Rust,Medium
Farm_00463,Fall Armyworm,Medium
Farm_00464,Leaf Blight,Low
Farm_00465,Fall Armyworm,High
Farm_00466,Leaf Blight,High
Farm_00467,Fall Armyworm,High
Farm_00468,Fall Armyworm,High
Farm_00469,Fall Armyworm,Low
Farm_00470,Root Rot,Medium
Farm_00471,Leaf Blight,High
Farm_00472,Root Rot,Medium
Farm_00473,Rust,Low
Farm_00474,Rust,Medium
Farm_00475,Rust,Low
Farm_00476,Leaf Blight,Medium
Farm_00477,Healthy,Medium
Farm_00478,Rust,High
Farm_00479,Rust,Medium
Farm_00480,Root Rot,High
Farm_00481,Leaf Blight,Low
Farm_00482,Root Rot,High
Farm_00483,Healthy,Low
Farm_00484,Root Rot,Low
Farm_00485,Fall Armyworm,Low
Farm_00486,Rust,Medium
Farm_00487,Leaf Blight,Low
Farm_00488,Fall Armyworm,High
Farm_00489,Fall Armyworm,High
Farm_00490,Root Rot,High
Farm_00491,Root Rot,Low
Farm_00492,Healthy,High
Farm_00493,Leaf Blight,High
Farm_00494,Fall Armyworm,Low
Farm_00495,Leaf Blight,Low
Farm_00496,Healthy,Medium
Farm_00497,Root Rot,Low
Farm_00498,Rust,Medium
Farm_00499,Rust,Low
Farm_00500,Leaf Blight,High
Farm_00501,Leaf Blight,High
Farm_00502,Fall Armyworm,Medium
Farm_00503,Root Rot,Low
Farm_00504,Healthy,Low
Farm_00505,Leaf Blight,Low
Farm_00506,Rust,High
Farm_00507,Root Rot,Medium
Farm_00508,Leaf Blight,High
Farm_00509,Rust,Low
Farm_00510,Rust,Low
Farm_00511,Leaf Blight,High
Farm_00512,Leaf Blight,Medium
Farm_00513,Healthy,Low
Farm_00514,Root Rot,Medium
Farm_00515,Fall Armyworm,Low
Farm_00516,Healthy,Low
Farm_00517,Root Rot,Low
Farm_00518,Leaf Blight,Low
Farm_00519,Healthy,High
Farm_00520,Fall Armyworm,High
Farm_00521,Fall Armyworm,High
Farm_00522,Fall Armyworm,Medium
Farm_00523,Rust,Medium
Farm_00524,Healthy,High
Farm_00525,Root Rot,Low
Farm_00526,Fall Armyworm,Low
Farm_00527,Leaf Blight,High
Farm_00528,Root Rot,High
Farm_00529,Healthy,Medium
Farm_00530,Root Rot,Medium
Farm_00531,Healthy,Low
Farm_00532,Rust,Low
Farm_00533,Leaf Blight,Low
Farm_00534,Fall Armyworm,Low
Farm_00535,Healthy,High
Farm_00536,Healthy,Medium
Farm_00537,Healthy,High
Farm_00538,Healthy,Low
Farm_00539,Root Rot,High
Farm_00540,Root Rot,Medium
Farm_00541,Fall Armyworm,Medium
Farm_00542,Leaf Blight,High
Farm_00543,Rust,High
Farm_00544,Root Rot,Medium
Farm_00545,Root Rot,Medium
Farm_00546,Root Rot,High
Farm_00547,Root Rot,Medium
Farm_00548,Fall Armyworm,Low
Farm_00549,Root Rot,Medium
Farm_00550,Leaf Blight,Medium
Farm_00551,Fall Armyworm,Low
Farm_00552,Fall Armyworm,Medium
Farm_00553,Leaf Blight,Low
Farm_00554,Healthy,High
Farm_00555,Leaf Blight,High
Farm_00556,Root Rot,High
Farm_00557,Rust,Medium
Farm_00558,Root Rot,High
Farm_00559,Fall Armyworm,Low
Farm_00560,Rust,High
Farm_00561,Rust,Low
Farm_00562,Fall Armyworm,High
Farm_00563,Root Rot,Medium
Farm_00564,Healthy,Medium
Farm_00565,Root Rot,Medium
Farm_00566,Fall Armyworm,Medium
Farm_00567,Root Rot,Medium
Farm_00568,Fall Armyworm,High
Farm_00569,Leaf Blight,Low
Farm_00570,Healthy,Medium
Farm_00571,Rust,High
Farm_00572,Leaf Blight,Medium
Farm_00573,Leaf Blight,Medium
Farm_00574,Root Rot,High
Farm_00575,Healthy,Low
Farm_00576,Leaf Blight,High
Farm_00577,Rust,High
Farm_00578,Rust,Low
Farm_00579,Leaf Blight,Medium
Farm_00580,Rust,Low
Farm_00581,Rust,Low
Farm_00582,Rust,Medium
Farm_00583,Root Rot,Medium
Farm_00584,Leaf Blight,Low
Farm_00585,Rust,Medium
Farm_00586,Healthy,Medium
Farm_00587,Fall Armyworm,High
Farm_00588,Root Rot,Low
Farm_00589,Rust,Medium
Farm_00590,Root Rot,High
Farm_00591,Rust,High
Farm_00592,Healthy,High
Farm_00593,Leaf Blight,High
Farm_00594,Healthy,Medium
Farm_00595,Fall Armyworm,Medium
Farm_00596,Root Rot,Low
Farm_00597,Healthy,High
Farm_00598,Leaf Blight,Medium
Farm_00599,Fall Armyworm,Medium
Farm_00600,Healthy,High
Farm_00601,Rust,Medium
Farm_00602,Healthy,High
Farm_00603,Root Rot,Medium
Farm_00604,Rust,High
Farm_00605,Rust,Low
Farm_00606,Root Rot,Low
Farm_00607,Healthy,Low
Farm_00608,Healthy,High
Farm_00609,Leaf Blight,Low
Farm_00610,Fall Armyworm,High
Farm_00611,Fall Armyworm,Low
Farm_00612,Root Rot,Low
Farm_00613,Root Rot,Medium
Farm_00614,Root Rot,Medium
Farm_00615,Healthy,Low
Farm_00616,Rust,Medium
Farm_00617,Healthy,Medium
Farm_00618,Leaf Blight,Low
Farm_00619,Leaf Blight,Low
Farm_00620,Root Rot,Low
Farm_00621,Leaf Blight,High
Farm_00622,Healthy,Medium
Farm_00623,Healthy,Low
Farm_00624,Root Rot,Low
Farm_00625,Rust,Low
Farm_00626,Root Rot,Low
Farm_00627,Rust,High
Farm_00628,Fall Armyworm,Medium
Farm_00629,Rust,High
Farm_00630,Fall Armyworm,High
Farm_00631,Fall Armyworm,High
Farm_00632,Root Rot,Low
Farm_00633,Root Rot,High
Farm_00634,Rust,Medium
Farm_00635,Fall Armyworm,Medium
Farm_00636,Rust,Low
Farm_00637,Healthy,Medium
Farm_00638,Leaf Blight,High
Farm_00639,Healthy,Medium
Farm_00640,Rust,Low
Farm_00641,Leaf Blight,Medium
Farm_00642,Rust,Medium
Farm_00643,Fall Armyworm,Low
Farm_00644,Healthy,Low
Farm_00645,Leaf Blight,Medium
Farm_00646,Root Rot,Medium
Farm_00647,Leaf Blight,Low
Farm_00648,Leaf Blight,Medium
Farm_00649,Healthy,High
Farm_00650,Root Rot,High
Farm_00651,Rust,Medium
Farm_00652,Root Rot,Medium
Farm_00653,Healthy,Medium
Farm_00654,Root Rot,Low
Farm_00655,Root Rot,Low
Farm_00656,Rust,Low
Farm_00657,Root Rot,Low
Farm_00658,Root Rot,High
Farm_00659,Fall Armyworm,Low
Farm_00660,Rust,Low
Farm_00661,Healthy,Medium
Farm_00662,Healthy,High
Farm_00663,Rust,High
Farm_00664,Root Rot,Low
Farm_00665,Fall Armyworm,Medium
Farm_00666,Healthy,High
Farm_00667,Fall Armyworm,High
Farm_00668,Healthy,Medium
Farm_00669,Leaf Blight,Medium
Farm_00670,Root Rot,High
Farm_00671,Leaf Blight,Low
Farm_00672,Fall Armyworm,Medium
Farm_00673,Rust,Low
Farm_00674,Rust,High
Farm_00675,Root Rot,Medium
Farm_00676,Rust,Medium
Farm_00677,Root Rot,Low
Farm_00678,Leaf Blight,Low
Farm_00679,Leaf Blight,High
Farm_00680,Leaf Blight,Medium
Farm_00681,Root Rot,Medium
Farm_00682,Leaf Blight,Low
Farm_00683,Root Rot,High
Farm_00684,Healthy,Low
Farm_00685,Leaf Blight,Low
Farm_00686,Healthy,Low
Farm_00687,Healthy,Low
Farm_00688,Healthy,High
Farm_00689,Leaf Blight,Medium
Farm_00690,Root Rot,Medium
Farm_00691,Rust,High
Farm_00692,Rust,High
Farm_00693,Leaf Blight,High
Farm_00694,Fall Armyworm,Low
Farm_00695,Rust,Low
Farm_00696,Fall Armyworm,Low
Farm_00697,Leaf Blight,High
Farm_00698,Leaf Blight,High
Farm_00699,Root Rot,High
Farm_00700,Rust,High
Farm_00701,Root Rot,High
Farm_00702,Healthy,High
Farm_00703,Fall Armyworm,Medium
Farm_00704,Leaf Blight,High
Farm_00705,Leaf Blight,High
Farm_00706,Leaf Blight,Medium
Farm_00707,Fall Armyworm,High
Farm_00708,Root Rot,Low
Farm_00709,Fall Armyworm,High
Farm_00710,Rust,High
Farm_00711,Healthy,Medium
Farm_00712,Healthy,Low
Farm_00713,Root Rot,High
Farm_00714,Fall Armyworm,Low
Farm_00715,Root Rot,Medium
Farm_00716,Healthy,Low
Farm_00717,Rust,High
Farm_00718,Healthy,Medium
Farm_00719,Root Rot,Medium
Farm_00720,Rust,High
Farm_00721,Leaf Blight,Medium
Farm_00722,Healthy,High
Farm_00723,Healthy,Low
Farm_00724,Rust,Medium
Farm_00725,Root Rot,High
Farm_00726,Leaf Blight,Medium
Farm_00727,Fall Armyworm,High
Farm_00728,Fall Armyworm,Low
Farm_00729,Healthy,High
Farm_00730,Root Rot,Medium
Farm_00731,Fall Armyworm,Medium
Farm_00732,Rust,Medium
Farm_00733,Fall Armyworm,Low
Farm_00734,Healthy,Low
Farm_00735,Rust,Medium
Farm_00736,Healthy,Medium
Farm_00737,Fall Armyworm,Low
Farm_00738,Fall Armyworm,High
Farm_00739,Rust,Low
Farm_00740,Fall Armyworm,High
Farm_00741,Rust,High
Farm_00742,Leaf Blight,Medium
Farm_00743,Fall Armyworm,Medium
Farm_00744,Root Rot,Low
Farm_00745,Rust,High
Farm_00746,Healthy,High
Farm_00747,Root Rot,Medium
Farm_00748,Root Rot,Medium
Farm_00749,Rust,High
Farm_00750,Root Rot,Medium
Farm_00751,Healthy,Medium
Farm_00752,Leaf Blight,High
Farm_00753,Leaf Blight,Low
Farm_00754,Healthy,Low
Farm_00755,Root Rot,Medium
Farm_00756,Healthy,Low
Farm_00757,Fall Armyworm,Low
Farm_00758,Leaf Blight,Low
Farm_00759,Rust,Medium
Farm_00760,Root Rot,Medium
Farm_00761,Rust,Low
Farm_00762,Leaf Blight,Medium
Farm_00763,Healthy,High
Farm_00764,Leaf Blight,High
Farm_00765,Leaf Blight,Medium
Farm_00766,Healthy,Low
Farm_00767,Root Rot,High
Farm_00768,Root Rot,High
Farm_00769,Root Rot,Low
Farm_00770,Fall Armyworm,Medium
Farm_00771,Rust,Low
Farm_00772,Rust,Medium
Farm_00773,Healthy,Low
Farm_00774,Healthy,High
Farm_00775,Leaf Blight,Low
Farm_00776,Root Rot,High
Farm_00777,Fall Armyworm,High
Farm_00778,Rust,Medium
Farm_00779,Leaf Blight,High
Farm_00780,Rust,Medium
Farm_00781,Fall Armyworm,High
Farm_00782,Leaf Blight,Medium
Farm_00783,Rust,High
Farm_00784,Rust,Medium
Farm_00785,Fall Armyworm,High
Farm_00786,Healthy,Low
Farm_00787,Fall Armyworm,Low
Farm_00788,Healthy,Medium
Farm_00789,Leaf Blight,Low
Farm_00790,Rust,High
Farm_00791,Fall Armyworm,High
Farm_00792,Rust,High
Farm_00793,Root Rot,High
Farm_00794,Root Rot,Low
Farm_00795,Root Rot,High
Farm_00796,Healthy,High
Farm_00797,Root Rot,Low
Farm_00798,Healthy,Medium
Farm_00799,Fall Armyworm,High
Farm_00800,Rust,Low
Farm_00801,Fall Armyworm,High
Farm_00802,Rust,Medium
Farm_00803,Healthy,High
Farm_00804,Rust,Medium
Farm_00805,Leaf Blight,Low
Farm_00806,Healthy,High
Farm_00807,Rust,Medium
Farm_00808,Fall Armyworm,Low
Farm_00809,Healthy,Low
Farm_00810,Fall Armyworm,High
Farm_00811,Leaf Blight,Medium
Farm_00812,Rust,Medium
Farm_00813,Healthy,Medium
Farm_00814,Fall Armyworm,Medium
Farm_00815,Healthy,High
Farm_00816,Fall Armyworm,High
Farm_00817,Healthy,Medium
Farm_00818,Leaf Blight,Medium
Farm_00819,Fall Armyworm,High
Farm_00820,Fall Armyworm,Medium
Farm_00821,Leaf Blight,High
Farm_00822,Root Rot,Low
Farm_00823,Fall Armyworm,High
Farm_00824,Leaf Blight,Low
Farm_00825,Fall Armyworm,Medium
Farm_00826,Rust,Low
Farm_00827,Fall Armyworm,High
Farm_00828,Root Rot,High
Farm_00829,Fall Armyworm,Medium
Farm_00830,Root Rot,Medium
Farm_00831,Healthy,Medium
Farm_00832,Fall Armyworm,Medium
Farm_00833,Root Rot,High
Farm_00834,Healthy,High
Farm_00835,Fall Armyworm,High
Farm_00836,Leaf Blight,Medium
Farm_00837,Fall Armyworm,High
Farm_00838,Rust,High
Farm_00839,Root Rot,Low
Farm_00840,Rust,High
Farm_00841,Root Rot,High
Farm_00842,Rust,High
Farm_00843,Healthy,Medium
Farm_00844,Fall Armyworm,Medium
Farm_00845,Rust,Medium
Farm_00846,Rust,Medium
Farm_00847,Root Rot,Medium
Farm_00848,Leaf Blight,Low
Farm_00849,Rust,High
Farm_00850,Leaf Blight,Medium
Farm_00851,Root Rot,Low
