farm_id,season,crop,yield_tons
Farm_00103,2026,Millet,20.15
Farm_00104,2026,Tomato,65.65
Farm_00105,2025,Maize,70.23
Farm_00106,2025,Rice,41.2
Farm_00107,2026,Sorghum,53.05
Farm_00108,2026,Yam,52.2
Farm_00109,2024,Maize,7.89
Farm_00110,2026,Sorghum,46.42
Farm_00111,2024,Millet,5.75
Farm_00112,2025,Yam,5.74
Farm_00113,2024,Millet,13.77
Farm_00114,2025,Millet,51.73
Farm_00115,2024,Maize,42.86
Farm_00116,2026,Maize,57.7
Farm_00117,2026,Millet,25.93
Farm_00118,2026,Tomato,38.65
Farm_00119,2024,Cassava,22.73
Farm_00120,2025,Soybean,21.19
Farm_00121,2026,Tomato,46.84
Farm_00122,2024,Yam,74.14
Farm_00123,2025,Yam,16.03
Farm_00124,2026,Maize,47.12
Farm_00125,2026,Sorghum,10.83
Farm_00126,2025,Soybean,55.19
Farm_00127,2024,Sorghum,58.53
Farm_00128,2025,Maize,3.56
Farm_00129,2026,Sorghum,46.76
Farm_00130,2026,Sorghum,4.32
Farm_00131,2026,Rice,9.66
Farm_00132,2024,Sorghum,7.96
Farm_00133,2025,Maize,47.04
Farm_00134,2025,Millet,46.43
Farm_00135,2025,Sorghum,44.09
Farm_00136,2025,Rice,76.51
Farm_00137,2026,Sorghum,57.03
Farm_00138,2026,Tomato,73.52
Farm_00139,2024,Rice,41.76
Farm_00140,2025,Soybean,51.33
Farm_00141,2024,Millet,60.55
Farm_00142,2024,Tomato,40.67
Farm_00143,2024,Rice,72.41
Farm_00144,2025,Yam,42.92
Farm_00145,2025,Millet,6.64
Farm_00146,2025,Maize,17.25
Farm_00147,2025,Sorghum,71.89
Farm_00148,2024,Tomato,17.11
Farm_00149,2026,Tomato,69.09
Farm_00150,2024,Maize,75.35
Farm_00151,2026,Cassava,49.41
Farm_00152,2024,Yam,8.09
Farm_00153,2025,Soybean,64.29
Farm_00154,2024,Yam,71.3
Farm_00155,2024,Soybean,49.24
Farm_00156,2026,Cassava,55.32
Farm_00157,2026,Sorghum,53.27
Farm_00158,2024,Maize,72.83
Farm_00159,2024,Maize,72.88
Farm_00160,2025,Yam,21.96
Farm_00161,2025,Yam,64.49
Farm_00162,2025,Millet,41.42
Farm_00163,2026,Maize,44.28
Farm_00164,2025,Cassava,73.27
Farm_00165,2026,Rice,19.69
Farm_00166,2026,Yam,19.37
Farm_00167,2026,Tomato,62.7
Farm_00168,2024,Rice,55.98
Farm_00169,2026,Sorghum,26.96
Farm_00170,2025,Millet,11.92
Farm_00171,2025,Soybean,61.93
Farm_00172,2025,Soybean,62.26
Farm_00173,2025,Sorghum,55.04
Farm_00174,2024,Rice,37.19
Farm_00175,2024,Soybean,58.62
Farm_00176,2026,Soybean,60.69
Farm_00177,2024,Soybean,63.69
Farm_00178,2026,Maize,38.17
Farm_00179,2025,Maize,79.9
Farm_00180,2026,Tomato,72.1
Farm_00181,2024,Soybean,64.41
Farm_00182,2026,Soybean,18.1
Farm_00183,2024,Rice,38.27
Farm_00184,2026,Cassava,12.48
Farm_00185,2025,Rice,10.18
Farm_00186,2026,Millet,77.72
Farm_00187,2024,Tomato,16.6
Farm_00188,2026,Cassava,2.09
Farm_00189,2025,Cassava,76.48
Farm_00190,2025,Millet,47.34
Farm_00191,2026,Rice,34.71
Farm_00192,2024,Maize,18.02
Farm_00193,2024,Sorghum,50.83
Farm_00194,2026,Yam,30.05
Farm_00195,2025,Tomato,76.0
Farm_00196,2025,Rice,7.92
Farm_00197,2025,Soybean,9.73
Farm_00198,2026,Cassava,46.38
Farm_00199,2026,Soybean,74.08
Farm_00200,2026,Cassava,63.42
Farm_00201,2025,Millet,53.25
Farm_00202,2026,Millet,55.17
Farm_00203,2026,Tomato,10.24
Farm_00204,2026,Yam,11.17
Farm_00205,2024,Tomato,60.62
Farm_00206,2025,Millet,23.8
Farm_00207,2024,Tomato,30.96
Farm_00208,2025,Soybean,79.46
Farm_00209,2025,Millet,13.62
Farm_00210,2025,Tomato,29.26
Farm_00211,2025,Sorghum,21.41
Farm_00212,2026,Yam,11.59
Farm_00213,2024,Cassava,15.0
Farm_00214,2024,Maize,79.19
Farm_00215,2024,Tomato,18.7
Farm_00216,2024,Sorghum,21.83
Farm_00217,2024,Cassava,33.54
Farm_00218,2026,Soybean,14.58
Farm_00219,2024,Soybean,69.21
Farm_00220,2025,Tomato,17.68
Farm_00221,2026,Millet,24.41
Farm_00222,2025,Cassava,24.71
Farm_00223,2025,Millet,71.89
Farm_00224,2024,Rice,44.67
Farm_00225,2024,Millet,23.25
Farm_00226,2024,Millet,79.8
Farm_00227,2026,Rice,78.12
Farm_00228,2026,Soybean,14.97
Farm_00229,2024,Millet,2.92
Farm_00230,2026,Maize,63.09
Farm_00231,2024,Sorghum,20.61
Farm_00232,2026,Cassava,33.46
Farm_00233,2025,Maize,50.04
Farm_00234,2026,Yam,61.14
Farm_00235,2026,Cassava,14.01
Farm_00236,2026,Sorghum,54.84
Farm_00237,2026,Yam,66.77
Farm_00238,2026,Cassava,23.26
Farm_00239,2026,Rice,28.4
Farm_00240,2026,Yam,13.37
Farm_00241,2025,Millet,57.04
Farm_00242,2026,Rice,36.33
Farm_00243,2025,Yam,35.89
Farm_00244,2024,Sorghum,65.44
Farm_00245,2024,Soybean,46.24
Farm_00246,2025,Sorghum,24.08
Farm_00247,2026,Sorghum,33.66
Farm_00248,2025,Soybean,7.85
Farm_00249,2025,Yam,28.69
Farm_00250,2025,Yam,17.37
Farm_00251,2025,Sorghum,24.79
Farm_00252,2025,Maize,79.59
Farm_00253,2024,Tomato,40.78
Farm_00254,2024,Cassava,60.93
Farm_00255,2025,Soybean,46.23
Farm_00256,2025,Rice,54.21
Farm_00257,2026,Sorghum,11.3
Farm_00258,2025,Sorghum,74.96
Farm_00259,2024,Millet,32.21
Farm_00260,2025,Sorghum,78.8
Farm_00261,2026,Millet,69.37
Farm_00262,2025,Millet,28.64
Farm_00263,2024,Cassava,3.03
Farm_00264,2026,Millet,74.73
Farm_00265,2026,Rice,13.14
Farm_00266,2025,Tomato,4.1
Farm_00267,2025,Maize,77.51
Farm_00268,2025,Yam,38.77
Farm_00269,2024,Rice,41.27
Farm_00270,2025,Tomato,15.7
Farm_00271,2026,Tomato,25.79
Farm_00272,2025,Millet,21.11
Farm_00273,2025,Sorghum,33.3
Farm_00274,2024,Millet,48.31
Farm_00275,2024,Rice,54.68
Farm_00276,2026,Tomato,50.81
Farm_00277,2026,Rice,10.98
Farm_00278,2026,Maize,50.18
Farm_00279,2025,Maize,8.34
Farm_00280,2025,Cassava,16.74
Farm_00281,2026,Soybean,10.89
Farm_00282,2024,Yam,58.97
Farm_00283,2025,Millet,59.32
Farm_00284,2024,Rice,14.57
Farm_00285,2024,Rice,20.1
Farm_00286,2026,Rice,43.55
Farm_00287,2024,Yam,52.63
Farm_00288,2024,Sorghum,12.78
Farm_00289,2025,Cassava,15.08
Farm_00290,2026,Rice,12.92
Farm_00291,2024,Maize,73.87
Farm_00292,2024,Yam,34.46
Farm_00293,2026,Cassava,77.51
Farm_00294,2024,Maize,49.49
Farm_00295,2026,Yam,67.42
Farm_00296,2024,Cassava,47.34
Farm_00297,2024,Rice,37.68
Farm_00298,2024,Sorghum,44.05
Farm_00299,2026,Yam,43.89
Farm_00300,2024,Soybean,22.1
Farm_00301,2025,Cassava,31.23
Farm_00302,2024,Millet,43.24
Farm_00303,2025,Millet,78.93
Farm_00304,2024,Sorghum,75.84
Farm_00305,2026,Maize,22.91
Farm_00306,2026,Maize,16.04
Farm_00307,2025,Rice,15.52
Farm_00308,2025,Yam,25.57
Farm_00309,2025,Cassava,46.4
Farm_00310,2025,Soybean,75.3
Farm_00311,2026,Tomato,9.9
Farm_00312,2024,Tomato,32.38
Farm_00313,2026,Yam,18.78
Farm_00314,2025,Yam,49.24
Farm_00315,2025,Maize,73.5
Farm_00316,2025,Millet,61.39
Farm_00317,2024,Maize,17.8
Farm_00318,2025,Soybean,41.11
Farm_00319,2024,Millet,37.83
Farm_00320,2025,Yam,20.62
Farm_00321,2025,Soybean,17.25
Farm_00322,2026,Sorghum,54.59
Farm_00323,2025,Yam,60.41
Farm_00324,2025,Cassava,37.01
Farm_00325,2024,Maize,41.18
Farm_00326,2024,Yam,32.59
Farm_00327,2026,Millet,37.12
Farm_00328,2025,Soybean,64.71
Farm_00329,2025,Sorghum,72.07
Farm_00330,2024,Soybean,13.6
Farm_00331,2026,Cassava,57.78
Farm_00332,2026,Tomato,37.06
Farm_00333,2026,Rice,61.85
Farm_00334,2025,Millet,12.28
Farm_00335,2024,Rice,48.62
Farm_00336,2026,Tomato,1.92
Farm_00337,2024,Rice,42.33
Farm_00338,2024,Rice,45.57
Farm_00339,2024,Cassava,15.27
Farm_00340,2025,Rice,29.57
Farm_00341,2024,Cassava,7.95
Farm_00342,2024,Yam,55.97
Farm_00343,2025,Rice,73.8
Farm_00344,2024,Yam,29.24
Farm_00345,2025,Cassava,2.37
Farm_00346,2025,Rice,63.53
Farm_00347,2024,Sorghum,28.1
Farm_00348,2024,Soybean,33.97
Farm_00349,2024,Yam,30.44
Farm_00350,2024,Rice,73.4
Farm_00351,2025,Millet,18.44
Farm_00352,2024,Millet,13.28
Farm_00353,2026,Tomato,17.92
Farm_00354,2025,Sorghum,48.3
Farm_00355,2024,Yam,63.46
Farm_00356,2024,Yam,60.21
Farm_00357,2025,Tomato,9.43
Farm_00358,2025,Yam,70.33
Farm_00359,2025,Sorghum,51.81
Farm_00360,2026,Yam,40.41
Farm_00361,2024,Yam,43.94
Farm_00362,2026,Maize,60.66
Farm_00363,2025,Cassava,8.86
Farm_00364,2025,Millet,45.09
Farm_00365,2026,Tomato,69.05
Farm_00366,2025,Sorghum,70.81
Farm_00367,2024,Rice,12.04
Farm_00368,2026,Yam,44.39
Farm_00369,2025,Tomato,12.22
Farm_00370,2025,Cassava,55.88
Farm_00371,2025,Tomato,54.25
Farm_00372,2024,Cassava,62.17
Farm_00373,2024,Tomato,57.39
Farm_00374,2025,Maize,21.78
Farm_00375,2025,Cassava,31.76
Farm_00376,2024,Rice,21.25
Farm_00377,2024,Yam,77.87
Farm_00378,2026,Sorghum,11.08
Farm_00379,2026,Yam,30.83
Farm_00380,2025,Sorghum,4.61
Farm_00381,2024,Millet,39.71
Farm_00382,2026,Millet,41.83
Farm_00383,2025,Maize,58.11
Farm_00384,2025,Yam,9.73
Farm_00385,2025,Soybean,41.76
Farm_00386,2026,Tomato,72.2
Farm_00387,2025,Soybean,66.66
Farm_00388,2025,Yam,61.78
Farm_00389,2024,Rice,42.36
Farm_00390,2026,Sorghum,39.06
Farm_00391,2025,Sorghum,38.8
Farm_00392,2024,Tomato,15.56
Farm_00393,2026,Tomato,56.49
Farm_00394,2025,Millet,63.22
Farm_00395,2026,Soybean,24.03
Farm_00396,2024,Yam,54.94
Farm_00397,2025,Cassava,21.19
Farm_00398,2026,Rice,54.47
Farm_00399,2026,Sorghum,10.32
Farm_00400,2024,Sorghum,15.44
Farm_00401,2026,Sorghum,8.57
Farm_00402,2025,Soybean,42.58
Farm_00403,2024,Rice,70.79
Farm_00404,2024,Millet,20.67
Farm_00405,2026,Maize,38.87
Farm_00406,2025,Tomato,3.99
Farm_00407,2025,Cassava,71.32
Farm_00408,2025,Soybean,55.66
Farm_00409,2024,Yam,52.3
Farm_00410,2025,Cassava,58.73
Farm_00411,2026,Millet,8.78
Farm_00412,2026,Rice,32.52
Farm_00413,2025,Maize,17.4
Farm_00414,2025,Tomato,53.1
Farm_00415,2025,Cassava,73.22
Farm_00416,2026,Tomato,43.58
Farm_00417,2024,Millet,69.56
Farm_00418,2026,Soybean,58.5
Farm_00419,2026,Yam,71.03
Farm_00420,2024,Rice,31.39
Farm_00421,2026,Sorghum,1.37
Farm_00422,2026,Tomato,8.71
Farm_00423,2024,Tomato,7.83
Farm_00424,2025,Soybean,24.28
Farm_00425,2026,Sorghum,71.98
Farm_00426,2026,Sorghum,71.01
Farm_00427,2025,Tomato,47.6
Farm_00428,2025,Cassava,15.49
Farm_00429,2025,Cassava,61.7
Farm_00430,2026,Maize,36.6
Farm_00431,2024,Soybean,60.65
Farm_00432,2024,Rice,38.85
Farm_00433,2026,Maize,33.85
Farm_00434,2026,Sorghum,63.38
Farm_00435,2025,Cassava,5.47
Farm_00436,2025,Millet,59.72
Farm_00437,2026,Cassava,9.78
Farm_00438,2026,Millet,8.14
Farm_00439,2026,Yam,67.39
Farm_00440,2025,Millet,46.47
Farm_00441,2024,Rice,21.82
Farm_00442,2026,Cassava,69.3
Farm_00443,2026,Yam,31.8
Farm_00444,2025,Maize,75.8
Farm_00445,2025,Sorghum,67.94
Farm_00446,2025,Yam,17.11
Farm_00447,2025,Soybean,4.88
Farm_00448,2025,Soybean,4.36
Farm_00449,2024,Cassava,73.93
Farm_00450,2025,Cassava,64.8
Farm_00451,2025,Soybean,47.25
Farm_00452,2025,Yam,3.87
Farm_00453,2026,Maize,69.99
Farm_00454,2026,Maize,39.54
Farm_00455,2024,Cassava,44.56
Farm_00456,2024,Millet,3.83
Farm_00457,2024,Soybean,10.34
Farm_00458,2025,Millet,43.27
Farm_00459,2024,Maize,11.14
Farm_00460,2024,Yam,8.25
Farm_00461,2024,Tomato,52.14
Farm_00462,2026,Rice,1.22
Farm_00463,2025,Sorghum,73.25
Farm_00464,2026,Cassava,45.09
Farm_00465,2026,Cassava,59.08
Farm_00466,2025,Soybean,26.51
Farm_00467,2024,Maize,48.61
Farm_00468,2026,Sorghum,59.14
Farm_00469,2024,Maize,7.27
Farm_00470,2026,Rice,6.97
Farm_00471,2026,Soybean,19.79
Farm_00472,2026,Tomato,70.84
Farm_00473,2026,Tomato,47.23
Farm_00474,2025,Rice,3.78
Farm_00475,2025,Soybean,16.46
Farm_00476,2026,Soybean,1.54
Farm_00477,2026,Cassava,36.46
Farm_00478,2026,Rice,8.52
Farm_00479,2025,Cassava,21.15
Farm_00480,2026,Yam,60.39
Farm_00481,2024,Cassava,52.88
Farm_00482,2024,Sorghum,63.81
Farm_00483,2024,Cassava,34.36
Farm_00484,2024,Millet,66.57
Farm_00485,2024,Yam,13.06
Farm_00486,2024,Millet,44.88
Farm_00487,2024,Soybean,43.48
Farm_00488,2024,Yam,52.38
Farm_00489,2025,Yam,34.85
Farm_00490,2026,Soybean,5.5
Farm_00491,2024,Maize,12.28
Farm_00492,2026,Cassava,55.16
Farm_00493,2026,Yam,58.47
Farm_00494,2025,Cassava,46.31
Farm_00495,2026,Millet,18.72
Farm_00496,2025,Sorghum,70.14
Farm_00497,2024,Tomato,38.56
Farm_00498,2025,Millet,48.88
Farm_00499,2024,Soybean,13.33
Farm_00500,2024,Cassava,24.79
Farm_00501,2024,Millet,47.24
Farm_00502,2025,Soybean,46.0
Farm_00503,2024,Soybean,74.28
Farm_00504,2024,Maize,67.79
Farm_00505,2026,Soybean,70.07
Farm_00506,2025,Rice,19.77
Farm_00507,2026,Soybean,61.86
Farm_00508,2024,Cassava,72.73
Farm_00509,2026,Millet,69.87
Farm_00510,2026,Rice,76.13
Farm_00511,2025,Yam,72.36
Farm_00512,2025,Sorghum,68.29
Farm_00513,2026,Soybean,50.72
Farm_00514,2025,Millet,48.48
Farm_00515,2024,Maize,74.19
Farm_00516,2024,Millet,11.63
Farm_00517,2026,Maize,19.26
Farm_00518,2025,Tomato,75.4
Farm_00519,2026,Cassava,65.5
Farm_00520,2024,Yam,19.13
Farm_00521,2025,Sorghum,19.67
Farm_00522,2024,Tomato,50.34
Farm_00523,2025,Soybean,34.51
Farm_00524,2026,Yam,42.33
Farm_00525,2026,Soybean,25.73
Farm_00526,2024,Soybean,12.35
Farm_00527,2026,Rice,36.3
Farm_00528,2024,Cassava,47.95
Farm_00529,2025,Maize,3.59
Farm_00530,2024,Sorghum,6.83
Farm_00531,2026,Millet,56.17
Farm_00532,2025,Rice,66.49
Farm_00533,2024,Soybean,55.77
Farm_00534,2026,Tomato,7.93
Farm_00535,2024,Millet,24.36
Farm_00536,2024,Sorghum,10.1
Farm_00537,2024,Tomato,64.02
Farm_00538,2026,Soybean,19.87
Farm_00539,2024,Yam,20.64
Farm_00540,2024,Yam,36.58
Farm_00541,2025,Yam,43.75
Farm_00542,2025,Soybean,44.04
Farm_00543,2025,Tomato,33.69
Farm_00544,2025,Millet,70.82
Farm_00545,2024,Rice,50.05
Farm_00546,2026,Yam,41.29
Farm_00547,2024,Rice,64.43
Farm_00548,2026,Tomato,13.39
Farm_00549,2024,Millet,51.41
Farm_00550,2025,Soybean,7.97
Farm_00551,2025,Soybean,78.67
Farm_00552,2025,Yam,53.85
Farm_00553,2026,Cassava,37.63
Farm_00554,2026,Cassava,52.1
Farm_00555,2024,Maize,64.87
Farm_00556,2026,Millet,13.97
Farm_00557,2025,Soybean,47.21
Farm_00558,2026,Cassava,19.07
Farm_00559,2026,Yam,6.99
Farm_00560,2025,Rice,16.43
Farm_00561,2026,Sorghum,74.73
Farm_00562,2025,Sorghum,58.78
Farm_00563,2024,Maize,16.4
Farm_00564,2025,Soybean,45.15
Farm_00565,2026,Maize,20.28
Farm_00566,2026,Cassava,74.19
Farm_00567,2026,Tomato,15.06
Farm_00568,2025,Maize,56.47
Farm_00569,2026,Cassava,2.65
Farm_00570,2025,Cassava,13.96
Farm_00571,2025,Sorghum,65.55
Farm_00572,2024,Sorghum,18.58
Farm_00573,2026,Maize,57.06
Farm_00574,2026,Yam,6.44
Farm_00575,2024,Tomato,21.66
Farm_00576,2026,Soybean,43.16
Farm_00577,2024,Cassava,24.09
Farm_00578,2026,Millet,51.7
Farm_00579,2024,Sorghum,18.56
Farm_00580,2024,Cassava,77.08
Farm_00581,2025,Maize,61.02
Farm_00582,2024,Soybean,24.33
Farm_00583,2024,Tomato,52.92
Farm_00584,2025,Maize,18.69
Farm_00585,2024,Rice,13.67
Farm_00586,2025,Tomato,64.37
Farm_00587,2024,Sorghum,73.47
Farm_00588,2025,Maize,29.98
Farm_00589,2026,Millet,40.87
Farm_00590,2026,Tomato,28.5
Farm_00591,2024,Soybean,32.97
Farm_00592,2024,Cassava,72.17
Farm_00593,2024,Tomato,60.5
Farm_00594,2026,Maize,29.95
Farm_00595,2025,Cassava,46.66
Farm_00596,2025,Cassava,39.03
Farm_00597,2024,Cassava,9.24
Farm_00598,2024,Cassava,26.26
Farm_00599,2025,Tomato,56.24
Farm_00600,2026,Sorghum,44.98
Farm_00601,2026,Millet,49.43
Farm_00602,2024,Rice,49.52
Farm_00603,2026,Yam,10.87
Farm_00604,2026,Yam,77.43
Farm_00605,2024,Maize,70.92
Farm_00606,2025,Sorghum,16.34
Farm_00607,2026,Sorghum,52.12
Farm_00608,2026,Soybean,77.69
Farm_00609,2025,Maize,19.1
Farm_00610,2025,Maize,48.25
Farm_00611,2024,Soybean,62.17
Farm_00612,2026,Rice,19.85
Farm_00613,2026,Cassava,10.6
Farm_00614,2026,Rice,24.59
Farm_00615,2025,Yam,49.15
Farm_00616,2024,Yam,3.1
Farm_00617,2024,Millet,9.09
Farm_00618,2026,Maize,11.31
Farm_00619,2026,Tomato,74.13
Farm_00620,2025,Cassava,6.93
Farm_00621,2025,Tomato,29.28
Farm_00622,2025,Tomato,29.88
Farm_00623,2025,Yam,7.82
Farm_00624,2025,Rice,43.21
Farm_00625,2026,Millet,67.21
Farm_00626,2025,Cassava,24.54
Farm_00627,2026,Cassava,7.96
Farm_00628,2025,Yam,57.12
Farm_00629,2026,Cassava,67.82
Farm_00630,2026,Maize,10.8
Farm_00631,2024,Cassava,41.71
Farm_00632,2024,Tomato,39.21
Farm_00633,2025,Cassava,11.0
Farm_00634,2024,Rice,28.07
Farm_00635,2026,Sorghum,26.55
Farm_00636,2026,Sorghum,41.74
Farm_00637,2026,Tomato,45.33
Farm_00638,2024,Cassava,16.13
Farm_00639,2026,Sorghum,55.89
Farm_00640,2026,Yam,19.72
Farm_00641,2025,Yam,43.36
Farm_00642,2026,Millet,39.0
Farm_00643,2025,Soybean,77.37
Farm_00644,2026,Yam,58.53
Farm_00645,2025,Soybean,74.26
Farm_00646,2025,Millet,63.61
Farm_00647,2026,Yam,31.77
Farm_00648,2026,Soybean,37.9
Farm_00649,2026,Tomato,37.3
Farm_00650,2024,Millet,12.97
Farm_00651,2025,Millet,18.13
Farm_00652,2024,Tomato,28.44
Farm_00653,2025,Soybean,47.51
Farm_00654,2026,Yam,59.69
Farm_00655,2025,Tomato,57.16
Farm_00656,2025,Soybean,29.84
Farm_00657,2026,Tomato,15.54
Farm_00658,2025,Rice,60.95
Farm_00659,2024,Rice,13.56
Farm_00660,2024,Sorghum,78.33
Farm_00661,2024,Millet,42.83
Farm_00662,2026,Millet,48.0
Farm_00663,2026,Rice,74.01
Farm_00664,2025,Soybean,59.75
Farm_00665,2024,Tomato,66.97
Farm_00666,2026,Sorghum,38.78
Farm_00667,2026,Maize,52.43
Farm_00668,2024,Maize,77.28
Farm_00669,2024,Cassava,22.36
Farm_00670,2024,Soybean,7.56
Farm_00671,2024,Soybean,33.56
Farm_00672,2026,Rice,54.42
Farm_00673,2026,Sorghum,65.89
Farm_00674,2025,Maize,77.84
Farm_00675,2025,Cassava,61.36
Farm_00676,2024,Rice,63.59
Farm_00677,2025,Maize,55.23
Farm_00678,2025,Yam,62.03
Farm_00679,2026,Tomato,18.35
Farm_00680,2026,Rice,39.62
Farm_00681,2024,Rice,5.21
Farm_00682,2026,Rice,4.16
Farm_00683,2025,Tomato,26.76
Farm_00684,2026,Maize,72.68
Farm_00685,2025,Cassava,77.22
Farm_00686,2026,Soybean,75.24
Farm_00687,2025,Rice,26.66
Farm_00688,2024,Millet,13.9
Farm_00689,2025,Rice,35.5
Farm_00690,2025,Rice,73.71
Farm_00691,2025,Tomato,35.08
Farm_00692,2026,Millet,41.04
Farm_00693,2026,Rice,10.42
Farm_00694,2026,Soybean,67.24
Farm_00695,2025,Soybean,56.28
Farm_00696,2025,Sorghum,62.0
Farm_00697,2024,Rice,27.17
Farm_00698,2026,Tomato,41.43
Farm_00699,2026,Sorghum,23.87
Farm_00700,2026,Rice,32.53
Farm_00701,2026,Sorghum,23.31
Farm_00702,2026,Rice,78.42
Farm_00703,2026,Rice,15.71
Farm_00704,2026,Rice,51.58
Farm_00705,2024,Soybean,18.02
Farm_00706,2026,Millet,74.04
Farm_00707,2025,Maize,70.08
Farm_00708,2026,Maize,60.73
Farm_00709,2024,Millet,22.56
Farm_00710,2026,Cassava,67.43
Farm_00711,2024,Sorghum,78.35
Farm_00712,2026,Maize,55.24
Farm_00713,2025,Tomato,38.43
Farm_00714,2024,Tomato,62.26
Farm_00715,2025,Cassava,35.92
Farm_00716,2025,Tomato,28.13
Farm_00717,2025,Yam,11.45
Farm_00718,2026,Soybean,47.34
Farm_00719,2024,Millet,11.42
Farm_00720,2026,Cassava,9.11
Farm_00721,2025,Tomato,14.39
Farm_00722,2026,Tomato,5.48
Farm_00723,2026,Maize,12.25
Farm_00724,2025,Cassava,4.01
Farm_00725,2025,Yam,56.59
Farm_00726,2024,Maize,1.18
Farm_00727,2025,Tomato,23.36
Farm_00728,2024,Sorghum,19.38
Farm_00729,2026,Rice,62.71
Farm_00730,2026,Sorghum,66.11
Farm_00731,2024,Soybean,55.74
Farm_00732,2025,Tomato,35.06
Farm_00733,2025,Cassava,40.68
Farm_00734,2025,Tomato,3.59
Farm_00735,2024,Maize,7.14
Farm_00736,2026,Soybean,73.15
Farm_00737,2024,Millet,7.2
Farm_00738,2024,Cassava,23.66
Farm_00739,2024,Maize,50.51
Farm_00740,2024,Tomato,64.31
Farm_00741,2025,Rice,17.01
Farm_00742,2026,Rice,12.61
Farm_00743,2024,Millet,11.38
Farm_00744,2024,Yam,22.96
Farm_00745,2025,Maize,9.68
Farm_00746,2024,Maize,16.91
Farm_00747,2025,Millet,25.74
Farm_00748,2026,Yam,79.99
Farm_00749,2026,Rice,12.34
Farm_00750,2026,Yam,8.52
