farmer_id,name,region,experience_years
FRM00129,Farmer 129,Nasarawa,8
FRM00130,Farmer 130,Kano,31
FRM00131,Farmer 131,Kaduna,32
FRM00132,Farmer 132,Kano,3
FRM00133,Farmer 133,Kano,3
FRM00134,Farmer 134,Enugu,38
FRM00135,Farmer 135,Benue,39
FRM00136,Farmer 136,Benue,3
FRM00137,Farmer 137,Plateau,7
FRM00138,Farmer 138,Kano,20
FRM00139,Farmer 139,Oyo,25
FRM00140,Farmer 140,Ogun,21
FRM00141,Farmer 141,Oyo,8
FRM00142,Farmer 142,Nasarawa,32
FRM00143,Farmer 143,Benue,3
FRM00144,Farmer 144,Niger,33
FRM00145,Farmer 145,Kano,6
FRM00146,Farmer 146,Kano,13
FRM00147,Farmer 147,Niger,2
FRM00148,Farmer 148,Enugu,25
FRM00149,Farmer 149,Nasarawa,7
FRM00150,Farmer 150,Benue,37
FRM00151,Farmer 151,Kano,34
FRM00152,Farmer 152,Enugu,8
FRM00153,Farmer 153,Bauchi,25
FRM00154,Farmer 154,Niger,31
FRM00155,Farmer 155,Kaduna,34
FRM00156,Farmer 156,Bauchi,5
FRM00157,Farmer 157,Ogun,14
FRM00158,Farmer 158,Plateau,9
FRM00159,Farmer 159,Kaduna,25
FRM00160,Farmer 160,Benue,14
FRM00161,Farmer 161,Ogun,12
FRM00162,Farmer 162,Kaduna,9
FRM00163,Farmer 163,Nasarawa,12
FRM00164,Farmer 164,Kaduna,28
FRM00165,Farmer 165,Enugu,16
FRM00166,Farmer 166,Kaduna,22
FRM00167,Farmer 167,Niger,27
FRM00168,Farmer 168,Niger,30
FRM00169,Farmer 169,Kano,19
FRM00170,Farmer 170,Benue,31
FRM00171,Farmer 171,Kaduna,19
FRM00172,Farmer 172,Enugu,12
FRM00173,Farmer 173,Oyo,29
FRM00174,Farmer 174,Niger,5
FRM00175,Farmer 175,Niger,7
FRM00176,Farmer 176,Nasarawa,18
FRM00177,Farmer 177,Niger,22
FRM00178,Farmer 178,Kaduna,24
FRM00179,Farmer 179,Oyo,15
FRM00180,Farmer 180,Kano,21
FRM00181,Farmer 181,Niger,10
FRM00182,Farmer 182,Bauchi,28
FRM00183,Farmer 183,Ogun,13
FRM00184,Farmer 184,Oyo,37
FRM00185,Farmer 185,Plateau,2
FRM00186,Farmer 186,Nasarawa,11
FRM00187,Farmer 187,Oyo,12
FRM00188,Farmer 188,Kaduna,12
FRM00189,Farmer 189,Oyo,1
FRM00190,Farmer 190,Enugu,22
FRM00191,Farmer 191,Plateau,29
FRM00192,Farmer 192,Plateau,35
FRM00193,Farmer 193,Plateau,11
FRM00194,Farmer 194,Ogun,13
FRM00195,Farmer 195,Nasarawa,36
FRM00196,Farmer 196,Benue,33
FRM00197,Farmer 197,Niger,14
FRM00198,Farmer 198,Oyo,24
FRM00199,Farmer 199,Nasarawa,31
FRM00200,Farmer 200,Niger,28
FRM00201,Farmer 201,Oyo,30
FRM00202,Farmer 202,Ogun,7
FRM00203,Farmer 203,Nasarawa,18
FRM00204,Farmer 204,Enugu,37
FRM00205,Farmer 205,Benue,19
FRM00206,Farmer 206,Oyo,22
FRM00207,Farmer 207,Kaduna,13
FRM00208,Farmer 208,Benue,31
FRM00209,Farmer 209,Kaduna,31
FRM00210,Farmer 210,Oyo,30
FRM00211,Farmer 211,Enugu,22
FRM00212,Farmer 212,Ogun,35
FRM00213,Farmer 213,Nasarawa,32
FRM00214,Farmer 214,Nasarawa,22
FRM00215,Farmer 215,Niger,35
FRM00216,Farmer 216,Niger,26
FRM00217,Farmer 217,Niger,11
FRM00218,Farmer 218,Enugu,33
FRM00219,Farmer 219,Kaduna,14
FRM00220,Farmer 220,Enugu,20
FRM00221,Farmer 221,Kaduna,32
FRM00222,Farmer 222,Plateau,6
FRM00223,Farmer 223,Enugu,38
FRM00224,Farmer 224,Kano,26
FRM00225,Farmer 225,Oyo,4
FRM00226,Farmer 226,Enugu,20
FRM00227,Farmer 227,Niger,7
FRM00228,Farmer 228,Kano,5
FRM00229,Farmer 229,Nasarawa,6
FRM00230,Farmer 230,Kano,38
FRM00231,Farmer 231,Kaduna,17
FRM00232,Farmer 232,Kaduna,12
FRM00233,Farmer 233,Kaduna,4
FRM00234,Farmer 234,Bauchi,3
FRM00235,Farmer 235,Enugu,31
FRM00236,Farmer 236,Oyo,29
FRM00237,Farmer 237,Niger,14
FRM00238,Farmer 238,Plateau,40
FRM00239,Farmer 239,Kaduna,26
FRM00240,Farmer 240,Benue,25
FRM00241,Farmer 241,Niger,33
FRM00242,Farmer 242,Kano,15
FRM00243,Farmer 243,Nasarawa,29
FRM00244,Farmer 244,Niger,28
FRM00245,Farmer 245,Enugu,7
FRM00246,Farmer 246,Oyo,14
FRM00247,Farmer 247,Oyo,7
FRM00248,Farmer 248,Nasarawa,17
FRM00249,Farmer 249,Ogun,9
FRM00250,Farmer 250,Kano,33
FRM00251,Farmer 251,Kano,7
FRM00252,Farmer 252,Kano,9
FRM00253,Farmer 253,Kaduna,4
FRM00254,Farmer 254,Benue,6
FRM00255,Farmer 255,Kano,7
FRM00256,Farmer 256,Bauchi,2
FRM00257,Farmer 257,Niger,23
FRM00258,Farmer 258,Bauchi,29
FRM00259,Farmer 259,Enugu,38
FRM00260,Farmer 260,Enugu,14
FRM00261,Farmer 261,Benue,23
FRM00262,Farmer 262,Nasarawa,7
FRM00263,Farmer 263,Kano,16
FRM00264,Farmer 264,Enugu,12
FRM00265,Farmer 265,Kaduna,12
FRM00266,Farmer 266,Enugu,23
FRM00267,Farmer 267,Ogun,4
FRM00268,Farmer 268,Niger,37
FRM00269,Farmer 269,Ogun,35
FRM00270,Farmer 270,Kaduna,36
FRM00271,Farmer 271,Nasarawa,8
FRM00272,Farmer 272,Enugu,36
FRM00273,Farmer 273,Plateau,10
FRM00274,Farmer 274,Oyo,13
FRM00275,Farmer 275,Benue,38
FRM00276,Farmer 276,Ogun,9
FRM00277,Farmer 277,Nasarawa,20
FRM00278,Farmer 278,Enugu,20
FRM00279,Farmer 279,Nasarawa,5
FRM00280,Farmer 280,Bauchi,1
FRM00281,Farmer 281,Oyo,37
FRM00282,Farmer 282,Niger,33
FRM00283,Farmer 283,Kaduna,25
FRM00284,Farmer 284,Ogun,21
FRM00285,Farmer 285,Oyo,34
FRM00286,Farmer 286,Kano,24
FRM00287,Farmer 287,Kano,27
FRM00288,Farmer 288,Plateau,40
FRM00289,Farmer 289,Kaduna,38
FRM00290,Farmer 290,Kano,32
FRM00291,Farmer 291,Plateau,11
FRM00292,Farmer 292,Benue,7
FRM00293,Farmer 293,Kaduna,33
FRM00294,Farmer 294,Niger,5
FRM00295,Farmer 295,Nasarawa,38
FRM00296,Farmer 296,Plateau,2
FRM00297,Farmer 297,Bauchi,14
FRM00298,Farmer 298,Kaduna,25
FRM00299,Farmer 299,Kano,39
FRM00300,Farmer 300,Plateau,37
FRM00301,Farmer 301,Benue,31
FRM00302,Farmer 302,Plateau,15
FRM00303,Farmer 303,Nasarawa,35
FRM00304,Farmer 304,Benue,31
FRM00305,Farmer 305,Enugu,4
FRM00306,Farmer 306,Niger,36
FRM00307,Farmer 307,Enugu,32
FRM00308,Farmer 308,Kano,39
FRM00309,Farmer 309,Kaduna,24
FRM00310,Farmer 310,Enugu,12
FRM00311,Farmer 311,Niger,4
FRM00312,Farmer 312,Kano,38
FRM00313,Farmer 313,Bauchi,19
FRM00314,Farmer 314,Kano,6
FRM00315,Farmer 315,Ogun,23
FRM00316,Farmer 316,Ogun,40
FRM00317,Farmer 317,Niger,24
FRM00318,Farmer 318,Kano,34
FRM00319,Farmer 319,Enugu,6
FRM00320,Farmer 320,Ogun,19
FRM00321,Farmer 321,Enugu,32
FRM00322,Farmer 322,Oyo,29
FRM00323,Farmer 323,Nasarawa,12
FRM00324,Farmer 324,Kano,38
FRM00325,Farmer 325,Nasarawa,21
FRM00326,Farmer 326,Kano,8
FRM00327,Farmer 327,Enugu,14
FRM00328,Farmer 328,Ogun,20
FRM00329,Farmer 329,Benue,12
FRM00330,Farmer 330,Kano,11
FRM00331,Farmer 331,Enugu,13
FRM00332,Farmer 332,Niger,34
FRM00333,Farmer 333,Nasarawa,37
FRM00334,Farmer 334,Kano,6
FRM00335,Farmer 335,Niger,37
FRM00336,Farmer 336,Plateau,34
FRM00337,Farmer 337,Kano,40
FRM00338,Farmer 338,Ogun,5
FRM00339,Farmer 339,Enugu,37
FRM00340,Farmer 340,Kaduna,27
FRM00341,Farmer 341,Nasarawa,3
FRM00342,Farmer 342,Kano,27
FRM00343,Farmer 343,Ogun,40
FRM00344,Farmer 344,Plateau,8
FRM00345,Farmer 345,Nasarawa,9
FRM00346,Farmer 346,Bauchi,36
FRM00347,Farmer 347,Nasarawa,20
FRM00348,Farmer 348,Kano,22
FRM00349,Farmer 349,Ogun,32
FRM00350,Farmer 350,Kaduna,20
FRM00351,Farmer 351,Kano,38
FRM00352,Farmer 352,Nasarawa,1
FRM00353,Farmer 353,Benue,25
FRM00354,Farmer 354,Ogun,30
FRM00355,Farmer 355,Oyo,25
FRM00356,Farmer 356,Enugu,12
FRM00357,Farmer 357,Oyo,16
FRM00358,Farmer 358,Oyo,7
FRM00359,Farmer 359,Enugu,22
FRM00360,Farmer 360,Benue,32
FRM00361,Farmer 361,Kano,27
FRM00362,Farmer 362,Bauchi,22
FRM00363,Farmer 363,Kano,31
FRM00364,Farmer 364,Plateau,27
FRM00365,Farmer 365,Kano,20
FRM00366,Farmer 366,Kano,6
FRM00367,Farmer 367,Oyo,33
FRM00368,Farmer 368,Niger,36
FRM00369,Farmer 369,Enugu,7
FRM00370,Farmer 370,Ogun,4
FRM00371,Farmer 371,Kano,27
FRM00372,Farmer 372,Niger,19
FRM00373,Farmer 373,Ogun,22
FRM00374,Farmer 374,Bauchi,1
FRM00375,Farmer 375,Niger,18
FRM00376,Farmer 376,Ogun,22
FRM00377,Farmer 377,Bauchi,3
FRM00378,Farmer 378,Plateau,29
FRM00379,Farmer 379,Benue,11
FRM00380,Farmer 380,Benue,33
FRM00381,Farmer 381,Nasarawa,26
FRM00382,Farmer 382,Oyo,14
FRM00383,Farmer 383,Kaduna,26
FRM00384,Farmer 384,Oyo,30
FRM00385,Farmer 385,Oyo,37
FRM00386,Farmer 386,Plateau,31
FRM00387,Farmer 387,Plateau,33
FRM00388,Farmer 388,Enugu,2
FRM00389,Farmer 389,Bauchi,37
FRM00390,Farmer 390,Plateau,38
FRM00391,Farmer 391,Benue,13
FRM00392,Farmer 392,Plateau,13
FRM00393,Farmer 393,Plateau,8
FRM00394,Farmer 394,Niger,16
FRM00395,Farmer 395,Nasarawa,38
FRM00396,Farmer 396,Niger,27
FRM00397,Farmer 397,Oyo,3
FRM00398,Farmer 398,Kaduna,22
FRM00399,Farmer 399,Bauchi,22
FRM00400,Farmer 400,Kano,7
FRM00401,Farmer 401,Ogun,35
FRM00402,Farmer 402,Oyo,5
FRM00403,Farmer 403,Niger,19
FRM00404,Farmer 404,Oyo,21
FRM00405,Farmer 405,Bauchi,19
FRM00406,Farmer 406,Oyo,28
FRM00407,Farmer 407,Nasarawa,39
FRM00408,Farmer 408,Kaduna,35
FRM00409,Farmer 409,Oyo,33
FRM00410,Farmer 410,Nasarawa,20
FRM00411,Farmer 411,Oyo,34
FRM00412,Farmer 412,Niger,40
FRM00413,Farmer 413,Niger,32
FRM00414,Farmer 414,Benue,26
FRM00415,Farmer 415,Kano,39
FRM00416,Farmer 416,Ogun,37
FRM00417,Farmer 417,Niger,25
FRM00418,Farmer 418,Plateau,19
FRM00419,Farmer 419,Ogun,5
FRM00420,Farmer 420,Niger,6
FRM00421,Farmer 421,Oyo,19
FRM00422,Farmer 422,Oyo,11
FRM00423,Farmer 423,Bauchi,15
FRM00424,Farmer 424,Oyo,28
FRM00425,Farmer 425,Nasarawa,5
FRM00426,Farmer 426,Plateau,16
FRM00427,Farmer 427,Benue,12
FRM00428,Farmer 428,Benue,11
FRM00429,Farmer 429,Ogun,17
FRM00430,Farmer 430,Kano,6
FRM00431,Farmer 431,Kaduna,18
FRM00432,Farmer 432,Nasarawa,4
FRM00433,Farmer 433,Nasarawa,37
FRM00434,Farmer 434,Bauchi,35
FRM00435,Farmer 435,Enugu,39
FRM00436,Farmer 436,Niger,39
FRM00437,Farmer 437,Kano,8
FRM00438,Farmer 438,Kano,14
FRM00439,Farmer 439,Nasarawa,8
FRM00440,Farmer 440,Oyo,30
FRM00441,Farmer 441,Niger,1
FRM00442,Farmer 442,Bauchi,12
FRM00443,Farmer 443,Enugu,17
FRM00444,Farmer 444,Benue,20
FRM00445,Farmer 445,Kaduna,19
FRM00446,Farmer 446,Kano,9
FRM00447,Farmer 447,Benue,27
FRM00448,Farmer 448,Niger,22
FRM00449,Farmer 449,Benue,3
FRM00450,Farmer 450,Ogun,35
FRM00451,Farmer 451,Enugu,30
FRM00452,Farmer 452,Kaduna,10
FRM00453,Farmer 453,Benue,3
FRM00454,Farmer 454,Plateau,12
FRM00455,Farmer 455,Niger,14
FRM00456,Farmer 456,Kaduna,5
FRM00457,Farmer 457,Benue,11
FRM00458,Farmer 458,Oyo,1
FRM00459,Farmer 459,Bauchi,30
FRM00460,Farmer 460,Benue,32
FRM00461,Farmer 461,Bauchi,38
FRM00462,Farmer 462,Oyo,2
FRM00463,Farmer 463,Enugu,14
FRM00464,Farmer 464,Niger,36
FRM00465,Farmer 465,Benue,34
FRM00466,Farmer 466,Oyo,32
FRM00467,Farmer 467,Oyo,17
FRM00468,Farmer 468,Nasarawa,39
FRM00469,Farmer 469,Oyo,40
FRM00470,Farmer 470,Nasarawa,2
FRM00471,Farmer 471,Kaduna,12
FRM00472,Farmer 472,Bauchi,37
FRM00473,Farmer 473,Bauchi,13
FRM00474,Farmer 474,Benue,24
FRM00475,Farmer 475,Nasarawa,15
FRM00476,Farmer 476,Bauchi,15
FRM00477,Farmer 477,Benue,21
FRM00478,Farmer 478,Plateau,38
FRM00479,Farmer 479,Kano,6
FRM00480,Farmer 480,Kaduna,8
FRM00481,Farmer 481,Nasarawa,18
FRM00482,Farmer 482,Nasarawa,26
FRM00483,Farmer 483,Kaduna,3
FRM00484,Farmer 484,Bauchi,17
FRM00485,Farmer 485,Niger,12
FRM00486,Farmer 486,Niger,25
FRM00487,Farmer 487,Kaduna,8
FRM00488,Farmer 488,Plateau,11
FRM00489,Farmer 489,Nasarawa,38
FRM00490,Farmer 490,Niger,38
FRM00491,Farmer 491,Plateau,15
FRM00492,Farmer 492,Benue,7
FRM00493,Farmer 493,Bauchi,11
FRM00494,Farmer 494,Benue,7
FRM00495,Farmer 495,Niger,20
FRM00496,Farmer 496,Oyo,37
FRM00497,Farmer 497,Ogun,20
FRM00498,Farmer 498,Kaduna,32
FRM00499,Farmer 499,Kaduna,2
FRM00500,Farmer 500,Oyo,35
FRM00501,Farmer 501,Kaduna,13
FRM00502,Farmer 502,Kaduna,27
FRM00503,Farmer 503,Nasarawa,37
FRM00504,Farmer 504,Oyo,21
FRM00505,Farmer 505,Oyo,33
FRM00506,Farmer 506,Enugu,31
FRM00507,Farmer 507,Nasarawa,2
FRM00508,Farmer 508,Oyo,13
FRM00509,Farmer 509,Oyo,20
FRM00510,Farmer 510,Kaduna,21
FRM00511,Farmer 511,Kaduna,37
FRM00512,Farmer 512,Nasarawa,28
FRM00513,Farmer 513,Nasarawa,2
FRM00514,Farmer 514,Kano,40
FRM00515,Farmer 515,Bauchi,3
FRM00516,Farmer 516,Ogun,23
FRM00517,Farmer 517,Kaduna,10
FRM00518,Farmer 518,Oyo,22
FRM00519,Farmer 519,Kaduna,30
FRM00520,Farmer 520,Ogun,36
FRM00521,Farmer 521,Kaduna,28
FRM00522,Farmer 522,Kaduna,17
FRM00523,Farmer 523,Benue,20
FRM00524,Farmer 524,Niger,13
FRM00525,Farmer 525,Niger,1
FRM00526,Farmer 526,Nasarawa,32
FRM00527,Farmer 527,Bauchi,11
FRM00528,Farmer 528,Kano,35
FRM00529,Farmer 529,Benue,33
FRM00530,Farmer 530,Kaduna,34
FRM00531,Farmer 531,Oyo,15
FRM00532,Farmer 532,Niger,27
FRM00533,Farmer 533,Enugu,11
FRM00534,Farmer 534,Nasarawa,31
FRM00535,Farmer 535,Nasarawa,33
FRM00536,Farmer 536,Ogun,11
FRM00537,Farmer 537,Oyo,19
FRM00538,Farmer 538,Ogun,13
FRM00539,Farmer 539,Oyo,39
FRM00540,Farmer 540,Plateau,35
FRM00541,Farmer 541,Bauchi,32
FRM00542,Farmer 542,Nasarawa,20
FRM00543,Farmer 543,Oyo,24
FRM00544,Farmer 544,Kaduna,21
FRM00545,Farmer 545,Nasarawa,1
FRM00546,Farmer 546,Oyo,20
FRM00547,Farmer 547,Niger,34
FRM00548,Farmer 548,Nasarawa,32
FRM00549,Farmer 549,Nasarawa,26
FRM00550,Farmer 550,Kaduna,23
FRM00551,Farmer 551,Nasarawa,28
FRM00552,Farmer 552,Niger,12
FRM00553,Farmer 553,Bauchi,10
FRM00554,Farmer 554,Plateau,11
FRM00555,Farmer 555,Kaduna,8
FRM00556,Farmer 556,Ogun,14
FRM00557,Farmer 557,Benue,1
FRM00558,Farmer 558,Benue,29
FRM00559,Farmer 559,Niger,24
FRM00560,Farmer 560,Kaduna,5
FRM00561,Farmer 561,Oyo,26
FRM00562,Farmer 562,Niger,29
FRM00563,Farmer 563,Enugu,26
FRM00564,Farmer 564,Oyo,32
FRM00565,Farmer 565,Niger,15
FRM00566,Farmer 566,Bauchi,35
FRM00567,Farmer 567,Nasarawa,36
FRM00568,Farmer 568,Niger,28
FRM00569,Farmer 569,Bauchi,30
FRM00570,Farmer 570,Plateau,6
FRM00571,Farmer 571,Niger,39
FRM00572,Farmer 572,Plateau,6
FRM00573,Farmer 573,Nasarawa,26
FRM00574,Farmer 574,Enugu,22
FRM00575,Farmer 575,Enugu,36
FRM00576,Farmer 576,Plateau,8
FRM00577,Farmer 577,Niger,23
FRM00578,Farmer 578,Kano,8
FRM00579,Farmer 579,Kaduna,26
FRM00580,Farmer 580,Niger,34
FRM00581,Farmer 581,Benue,38
FRM00582,Farmer 582,Kaduna,27
FRM00583,Farmer 583,Nasarawa,1
FRM00584,Farmer 584,Kano,16
FRM00585,Farmer 585,Ogun,8
FRM00586,Farmer 586,Oyo,7
FRM00587,Farmer 587,Kaduna,28
FRM00588,Farmer 588,Nasarawa,36
FRM00589,Farmer 589,Niger,33
FRM00590,Farmer 590,Plateau,18
FRM00591,Farmer 591,Nasarawa,26
FRM00592,Farmer 592,Oyo,28
FRM00593,Farmer 593,Benue,20
FRM00594,Farmer 594,Ogun,26
FRM00595,Farmer 595,Benue,38
FRM00596,Farmer 596,Kaduna,15
FRM00597,Farmer 597,Niger,8
FRM00598,Farmer 598,Benue,22
FRM00599,Farmer 599,Nasarawa,39
FRM00600,Farmer 600,Nasarawa,23
FRM00601,Farmer 601,Kano,1
FRM00602,Farmer 602,Enugu,35
FRM00603,Farmer 603,Benue,18
FRM00604,Farmer 604,Enugu,22
FRM00605,Farmer 605,Bauchi,20
FRM00606,Farmer 606,Kaduna,37
FRM00607,Farmer 607,Kaduna,14
FRM00608,Farmer 608,Oyo,1
FRM00609,Farmer 609,Bauchi,21
FRM00610,Farmer 610,Bauchi,19
FRM00611,Farmer 611,Enugu,11
FRM00612,Farmer 612,Enugu,14
FRM00613,Farmer 613,Niger,15
FRM00614,Farmer 614,Benue,36
FRM00615,Farmer 615,Kaduna,11
FRM00616,Farmer 616,Oyo,30
FRM00617,Farmer 617,Bauchi,37
FRM00618,Farmer 618,Kaduna,33
FRM00619,Farmer 619,Plateau,38
FRM00620,Farmer 620,Ogun,32
FRM00621,Farmer 621,Kaduna,18
FRM00622,Farmer 622,Nasarawa,9
FRM00623,Farmer 623,Nasarawa,17
FRM00624,Farmer 624,Bauchi,15
FRM00625,Farmer 625,Oyo,14
FRM00626,Farmer 626,Ogun,20
FRM00627,Farmer 627,Benue,26
FRM00628,Farmer 628,Plateau,8
FRM00629,Farmer 629,Bauchi,20
FRM00630,Farmer 630,Ogun,28
FRM00631,Farmer 631,Oyo,5
FRM00632,Farmer 632,Benue,14
FRM00633,Farmer 633,Plateau,27
FRM00634,Farmer 634,Bauchi,25
FRM00635,Farmer 635,Kaduna,6
FRM00636,Farmer 636,Plateau,16
FRM00637,Farmer 637,Ogun,38
FRM00638,Farmer 638,Kano,12
FRM00639,Farmer 639,Niger,15
FRM00640,Farmer 640,Kano,38
FRM00641,Farmer 641,Enugu,5
FRM00642,Farmer 642,Ogun,20
FRM00643,Farmer 643,Niger,23
FRM00644,Farmer 644,Ogun,13
FRM00645,Farmer 645,Benue,34
FRM00646,Farmer 646,Enugu,35
FRM00647,Farmer 647,Kaduna,33
FRM00648,Farmer 648,Bauchi,12
FRM00649,Farmer 649,Plateau,7
FRM00650,Farmer 650,Nasarawa,7
FRM00651,Farmer 651,Kaduna,14
FRM00652,Farmer 652,Benue,17
FRM00653,Farmer 653,Kano,11
FRM00654,Farmer 654,Plateau,22
FRM00655,Farmer 655,Benue,38
FRM00656,Farmer 656,Kano,12
FRM00657,Farmer 657,Oyo,24
FRM00658,Farmer 658,Kaduna,17
FRM00659,Farmer 659,Kano,13
FRM00660,Farmer 660,Benue,14
FRM00661,Farmer 661,Oyo,13
FRM00662,Farmer 662,Plateau,15
FRM00663,Farmer 663,Nasarawa,12
FRM00664,Farmer 664,Kaduna,22
FRM00665,Farmer 665,Enugu,7
FRM00666,Farmer 666,Ogun,12
FRM00667,Farmer 667,Niger,1
FRM00668,Farmer 668,Bauchi,8
FRM00669,Farmer 669,Kano,25
FRM00670,Farmer 670,Kano,40
FRM00671,Farmer 671,Plateau,26
FRM00672,Farmer 672,Oyo,36
FRM00673,Farmer 673,Enugu,11
FRM00674,Farmer 674,Nasarawa,28
FRM00675,Farmer 675,Enugu,39
FRM00676,Farmer 676,Bauchi,23
FRM00677,Farmer 677,Kano,32
FRM00678,Farmer 678,Ogun,30
FRM00679,Farmer 679,Kano,7
FRM00680,Farmer 680,Kano,40
FRM00681,Farmer 681,Benue,36
FRM00682,Farmer 682,Kano,6
FRM00683,Farmer 683,Oyo,39
FRM00684,Farmer 684,Bauchi,12
FRM00685,Farmer 685,Niger,12
FRM00686,Farmer 686,Plateau,17
FRM00687,Farmer 687,Ogun,25
FRM00688,Farmer 688,Oyo,38
FRM00689,Farmer 689,Enugu,17
FRM00690,Farmer 690,Niger,5
FRM00691,Farmer 691,Kano,20
FRM00692,Farmer 692,Kano,33
FRM00693,Farmer 693,Ogun,13
FRM00694,Farmer 694,Enugu,22
FRM00695,Farmer 695,Niger,25
