region,station,rainfall_mm,temperature_c,humidity_pct
Niger,WX007,127,20.2,49
Enugu,WX028,74,20.9,44
Nasarawa,WX013,152,27.6,86
Benue,WX015,202,33.5,34
Kano,WX021,67,28.7,78
Enugu,WX014,211,27.0,44
Bauchi,WX040,187,31.6,40
Niger,WX021,110,34.9,31
Kaduna,WX006,205,22.5,66
Bauchi,WX026,117,19.6,38
Ogun,WX015,67,36.0,74
Plateau,WX024,178,33.2,47
Kaduna,WX019,47,27.9,92
Benue,WX025,68,19.3,85
Ogun,WX033,46,31.5,34
Kaduna,WX021,189,22.2,38
Nasarawa,WX002,185,25.9,50
Kaduna,WX029,242,26.6,58
Enugu,WX038,214,34.8,54
Kaduna,WX012,159,38.1,59
Niger,WX038,156,37.8,75
Niger,WX038,51,22.2,31
Kano,WX017,125,19.2,40
Benue,WX010,88,34.7,87
Kaduna,WX030,197,22.0,53
Enugu,WX016,158,18.6,71
Oyo,WX021,198,19.1,88
Niger,WX035,194,35.5,51
Niger,WX022,245,23.2,62
Nasarawa,WX024,198,25.4,78
Niger,WX023,256,21.6,70
Kaduna,WX032,229,19.1,89
Oyo,WX035,132,37.5,45
Kano,WX033,227,38.4,92
Niger,WX002,148,20.9,63
Bauchi,WX032,40,27.3,41
Ogun,WX033,115,21.9,91
Oyo,WX031,130,28.7,81
Plateau,WX031,152,28.4,76
Nasarawa,WX002,59,22.1,37
Oyo,WX003,61,19.2,45
Kaduna,WX023,200,33.5,37
Oyo,WX033,41,35.7,76
Enugu,WX035,165,38.0,40
Plateau,WX003,166,35.5,68
Plateau,WX023,203,35.9,61
Plateau,WX031,259,34.5,62
Ogun,WX034,215,20.5,70
Nasarawa,WX002,121,22.3,45
Benue,WX016,211,20.3,66
Niger,WX038,229,28.8,71
Oyo,WX024,105,29.4,50
Nasarawa,WX022,161,34.1,58
Niger,WX007,220,28.8,51
Oyo,WX030,40,32.7,80
Ogun,WX037,247,27.4,38
Nasarawa,WX029,85,18.1,41
Enugu,WX034,92,28.1,73
Benue,WX003,249,23.4,71
Oyo,WX012,164,20.1,55
Kaduna,WX024,170,20.5,64
Benue,WX021,71,18.8,71
Kaduna,WX030,43,19.1,78
Oyo,WX023,172,25.7,51
Enugu,WX022,81,26.8,76
Ogun,WX012,217,21.9,94
Nasarawa,WX004,207,37.6,40
Nasarawa,WX005,45,31.1,45
Niger,WX030,252,22.1,58
Niger,WX010,148,37.3,90
Niger,WX007,241,38.4,85
Enugu,WX002,91,27.3,43
Kaduna,WX006,107,28.3,62
Enugu,WX033,231,27.3,85
Kaduna,WX013,160,35.2,68
Plateau,WX020,46,34.4,77
Enugu,WX017,91,21.2,79
Kano,WX002,247,25.9,46
Oyo,WX028,56,30.0,57
Enugu,WX033,110,30.5,60
Niger,WX034,215,26.8,54
Kano,WX024,240,23.6,88
Nasarawa,WX001,151,22.6,89
Kano,WX032,180,21.1,81
Kaduna,WX028,239,29.0,87
Kaduna,WX029,47,18.4,91
Kaduna,WX032,218,28.4,77
Bauchi,WX039,110,32.0,30
Enugu,WX035,51,32.8,31
Oyo,WX019,134,18.4,64
Niger,WX020,98,36.9,36
Plateau,WX010,102,32.6,32
Kaduna,WX030,209,19.1,82
Benue,WX008,155,19.3,86
Niger,WX029,252,27.8,91
Kano,WX027,135,30.1,88
Nasarawa,WX037,170,22.3,36
Niger,WX006,164,24.8,81
Enugu,WX015,198,35.7,31
Oyo,WX036,193,33.9,92
Oyo,WX013,187,21.1,82
Nasarawa,WX020,112,18.3,64
Ogun,WX039,216,20.1,61
Kano,WX007,172,31.1,78
Kano,WX021,132,32.4,82
Kano,WX032,152,37.8,62
Kaduna,WX032,189,35.7,35
Benue,WX015,71,19.0,53
Kano,WX022,205,28.9,48
Bauchi,WX026,166,27.4,45
Niger,WX030,77,38.3,84
Bauchi,WX012,226,33.1,72
Enugu,WX010,115,23.5,86
Enugu,WX009,72,36.6,76
Benue,WX004,218,33.6,44
Nasarawa,WX039,204,32.9,71
Kano,WX031,74,29.6,83
Enugu,WX029,143,21.8,68
Kaduna,WX027,243,37.9,63
Enugu,WX038,132,27.4,47
Ogun,WX016,233,34.4,49
Niger,WX034,124,38.2,30
Ogun,WX029,188,24.5,74
Kaduna,WX020,234,33.4,51
Nasarawa,WX022,124,37.1,72
Enugu,WX037,182,37.6,78
Plateau,WX030,155,34.7,52
Oyo,WX035,73,20.7,86
Benue,WX028,120,38.9,50
Ogun,WX032,87,37.5,66
Nasarawa,WX030,201,38.3,89
Enugu,WX007,46,34.4,79
Nasarawa,WX001,174,26.8,44
Bauchi,WX015,97,21.7,73
Oyo,WX007,67,24.5,45
Niger,WX020,95,29.3,91
Kaduna,WX001,248,23.5,61
Ogun,WX013,200,30.6,78
Oyo,WX018,78,31.4,48
Kano,WX027,175,38.2,77
Kano,WX020,151,34.8,63
Plateau,WX036,62,38.4,66
Kaduna,WX020,135,26.7,92
Kano,WX006,162,25.7,49
Plateau,WX009,197,28.8,88
Benue,WX034,136,34.5,53
Kaduna,WX029,254,24.9,71
Niger,WX037,107,22.4,44
Nasarawa,WX037,155,36.0,77
Plateau,WX025,235,35.1,60
Bauchi,WX003,117,31.4,92
Kaduna,WX040,168,18.9,79
Kano,WX022,78,36.9,35
Plateau,WX020,222,29.3,50
Benue,WX019,258,20.4,95
Plateau,WX024,132,29.7,64
Nasarawa,WX016,133,38.0,36
Benue,WX013,187,31.3,37
Enugu,WX005,188,37.9,75
Niger,WX033,147,20.3,89
Enugu,WX022,114,22.7,75
Kano,WX029,229,19.9,76
Kaduna,WX018,198,24.6,47
Enugu,WX004,99,22.6,47
Niger,WX035,48,20.8,50
Kano,WX003,219,27.6,79
Bauchi,WX035,199,36.3,34
Kano,WX024,64,30.8,53
Ogun,WX019,82,22.3,38
Ogun,WX039,175,21.8,53
Niger,WX003,246,38.1,55
Kano,WX021,71,22.6,55
Enugu,WX033,162,29.7,39
Ogun,WX040,154,19.5,93
Enugu,WX022,218,23.8,39
Oyo,WX023,214,18.2,41
Nasarawa,WX031,60,18.3,35
Kano,WX007,113,30.6,75
Nasarawa,WX032,57,35.7,57
Kano,WX009,247,33.8,35
Enugu,WX030,41,26.2,49
Ogun,WX033,121,21.4,67
Benue,WX009,222,31.7,82
Kano,WX005,50,35.8,40
Enugu,WX014,245,35.9,44
Niger,WX003,88,29.5,82
Nasarawa,WX020,209,21.1,47
Kano,WX033,191,34.7,44
Niger,WX016,47,28.9,54
Plateau,WX037,140,19.9,83
Kano,WX039,154,35.7,33
Ogun,WX012,162,25.6,91
Enugu,WX032,125,34.0,82
Kaduna,WX023,144,29.0,72
Nasarawa,WX031,133,38.9,47
Kano,WX038,73,20.0,47
Ogun,WX002,254,19.3,62
Plateau,WX017,155,23.5,75
Nasarawa,WX025,208,29.1,67
Bauchi,WX015,255,34.8,48
Nasarawa,WX001,134,21.4,91
Kano,WX012,98,28.2,64
Ogun,WX015,158,32.5,72
Kaduna,WX028,99,25.6,39
Kano,WX026,133,34.6,55
Nasarawa,WX020,157,37.6,32
Benue,WX007,137,38.0,85
Ogun,WX016,224,37.1,52
Oyo,WX016,132,34.9,66
Enugu,WX023,220,30.1,53
Oyo,WX012,42,35.3,50
Oyo,WX021,211,25.0,65
Enugu,WX014,61,25.5,54
Benue,WX034,90,34.1,68
Kano,WX040,122,22.3,41
Bauchi,WX025,96,33.9,42
Kano,WX039,224,29.6,44
Plateau,WX018,192,19.0,67
Kano,WX021,257,26.0,57
Kano,WX040,111,26.6,94
Oyo,WX039,60,29.9,35
Niger,WX022,226,18.8,85
Enugu,WX030,222,24.1,87
Ogun,WX018,144,21.9,94
Kano,WX030,146,36.1,50
Niger,WX037,254,31.0,80
Ogun,WX020,65,23.3,43
Bauchi,WX017,159,26.5,83
Niger,WX036,179,22.1,55
Ogun,WX020,166,21.9,64
Bauchi,WX007,188,36.6,78
Plateau,WX007,162,23.6,56
Benue,WX034,226,25.7,52
Benue,WX008,255,34.3,36
Nasarawa,WX009,43,27.3,91
Oyo,WX018,110,38.9,90
Kaduna,WX009,253,28.6,84
Oyo,WX010,227,36.8,72
Oyo,WX033,68,27.6,78
Plateau,WX024,115,21.3,33
Plateau,WX009,116,38.2,43
Enugu,WX037,223,29.2,87
Bauchi,WX016,235,34.3,62
Plateau,WX039,98,31.6,60
Benue,WX032,153,21.0,60
Plateau,WX026,206,33.6,77
Plateau,WX010,47,36.3,49
Niger,WX035,226,29.6,57
Nasarawa,WX039,64,29.4,35
Niger,WX023,135,32.5,84
Oyo,WX023,205,26.3,80
Kaduna,WX033,62,32.9,84
Bauchi,WX024,110,30.5,65
Kano,WX037,142,24.6,57
Ogun,WX006,83,32.3,70
Oyo,WX024,99,28.8,39
Niger,WX027,62,30.0,44
Oyo,WX016,163,24.7,40
Bauchi,WX040,127,33.5,92
Oyo,WX031,183,30.0,43
Nasarawa,WX022,110,22.7,83
Kaduna,WX004,85,24.5,83
Oyo,WX008,111,34.7,66
Nasarawa,WX028,189,34.4,53
Oyo,WX031,217,24.7,59
Niger,WX034,158,27.3,66
Niger,WX018,64,33.6,78
Benue,WX014,158,22.4,52
Kano,WX006,240,30.9,72
Ogun,WX033,174,38.8,91
Niger,WX023,68,24.8,41
Plateau,WX003,247,37.4,50
Ogun,WX028,97,19.1,81
Niger,WX038,109,31.8,66
Oyo,WX004,172,33.7,71
Oyo,WX021,242,32.8,46
Bauchi,WX037,224,34.7,77
Oyo,WX040,102,22.5,52
Nasarawa,WX018,241,38.5,46
Plateau,WX005,235,34.5,92
Benue,WX034,82,25.3,94
Benue,WX016,189,19.4,43
Ogun,WX033,260,38.6,72
Kano,WX025,50,22.4,86
Kaduna,WX015,259,28.9,49
Nasarawa,WX036,242,22.0,72
Nasarawa,WX004,171,33.6,78
Bauchi,WX039,87,23.3,59
Enugu,WX002,222,22.5,93
Niger,WX009,220,21.6,57
Kano,WX005,210,38.7,66
Kano,WX002,188,35.0,39
Nasarawa,WX009,180,29.3,74
Oyo,WX015,210,36.7,83
Niger,WX016,168,18.3,72
Bauchi,WX019,102,22.3,56
Enugu,WX036,143,27.3,30
Benue,WX006,151,23.2,55
Kaduna,WX035,104,27.8,46
Kano,WX021,207,29.4,73
Benue,WX010,101,28.1,85
Niger,WX011,91,19.9,91
Benue,WX030,109,26.9,83
Ogun,WX033,179,37.6,88
Enugu,WX018,221,29.4,63
Kaduna,WX007,77,22.0,79
Benue,WX012,148,30.4,65
Plateau,WX039,130,22.2,38
Niger,WX016,222,29.5,36
Kaduna,WX011,214,25.0,55
Benue,WX031,127,29.7,72
Oyo,WX019,244,32.4,40
Bauchi,WX001,94,21.2,93
Benue,WX004,246,37.1,75
Bauchi,WX002,197,21.5,89
Oyo,WX008,45,39.0,42
Enugu,WX024,137,26.3,88
Niger,WX019,237,19.3,95
Benue,WX031,183,25.3,34
Oyo,WX004,245,32.0,56
Oyo,WX001,128,27.4,49
Nasarawa,WX004,119,20.2,93
Oyo,WX024,167,33.3,89
Nasarawa,WX026,67,31.3,90
Kaduna,WX004,43,33.9,39
Bauchi,WX031,154,34.4,54
Bauchi,WX028,59,31.0,83
Benue,WX034,142,32.3,76
Nasarawa,WX034,79,24.2,76
Bauchi,WX009,246,30.8,49
Benue,WX026,175,33.8,39
Plateau,WX013,92,24.7,53
Kano,WX020,79,37.1,73
Kaduna,WX028,256,29.3,70
Nasarawa,WX017,167,32.8,37
Nasarawa,WX010,245,33.5,43
Kaduna,WX009,161,26.9,43
Bauchi,WX031,222,22.6,92
Niger,WX039,228,21.1,95
Niger,WX021,77,33.0,77
Kaduna,WX014,181,37.5,52
Plateau,WX038,165,23.6,74
Nasarawa,WX009,179,31.1,91
Niger,WX007,238,34.2,35
Plateau,WX013,103,37.2,61
Benue,WX010,221,31.7,46
Bauchi,WX030,161,20.9,49
Benue,WX037,143,30.1,89
Niger,WX021,179,20.2,90
Oyo,WX040,103,27.8,83
Ogun,WX037,245,27.0,76
Kaduna,WX031,73,22.5,67
Kaduna,WX040,179,35.6,30
Oyo,WX015,69,38.7,95
Kaduna,WX028,252,33.0,31
Kaduna,WX022,205,24.6,51
Nasarawa,WX011,96,27.0,41
Oyo,WX001,200,36.1,47
Oyo,WX001,192,33.3,76
Enugu,WX004,122,24.3,68
Nasarawa,WX032,160,32.4,52
Oyo,WX003,72,18.4,86
Oyo,WX039,166,30.6,65
Kaduna,WX039,101,28.2,91
Kaduna,WX010,79,22.7,50
Nasarawa,WX029,77,27.2,70
Nasarawa,WX032,109,22.0,84
Kano,WX025,227,32.6,85
Bauchi,WX001,251,28.9,47
Ogun,WX009,199,20.7,90
Kaduna,WX015,85,32.2,39
Oyo,WX032,178,34.4,53
Kaduna,WX012,143,22.0,69
Ogun,WX017,47,36.5,87
Kaduna,WX015,138,23.3,42
Kaduna,WX027,134,29.6,84
Benue,WX037,144,22.4,69
Niger,WX039,244,22.6,91
Niger,WX007,75,23.9,79
Nasarawa,WX001,117,31.0,62
Bauchi,WX025,118,34.5,47
Kano,WX031,141,31.3,56
Benue,WX026,259,19.7,42
Kaduna,WX038,137,18.7,32
Oyo,WX026,70,31.7,46
Niger,WX012,191,34.4,41
Enugu,WX021,131,38.0,34
Nasarawa,WX004,44,38.9,65
Nasarawa,WX023,147,26.8,41
Ogun,WX035,206,35.7,49
Oyo,WX028,205,38.5,53
Ogun,WX010,147,26.7,61
Oyo,WX007,98,20.7,92
Plateau,WX020,95,24.7,37
Bauchi,WX013,58,30.5,94
Nasarawa,WX006,191,29.0,63
Oyo,WX009,201,25.0,65
Kaduna,WX017,108,20.3,49
Nasarawa,WX037,127,18.4,53
Oyo,WX003,80,37.5,63
Niger,WX016,257,24.4,93
Nasarawa,WX036,256,35.5,36
Nasarawa,WX017,174,34.1,55
Kaduna,WX001,169,28.4,44
Nasarawa,WX024,218,33.3,69
Niger,WX003,71,18.7,79
Bauchi,WX024,61,30.9,48
Plateau,WX019,118,22.7,74
Kaduna,WX039,137,33.7,40
Ogun,WX015,203,36.1,43
Benue,WX036,167,18.8,47
Benue,WX018,85,24.8,55
Niger,WX014,141,35.7,77
Kaduna,WX029,90,24.7,94
Oyo,WX030,206,21.5,35
Niger,WX020,222,30.0,85
Enugu,WX015,77,18.4,59
Oyo,WX026,183,36.5,69
Niger,WX023,77,38.2,42
Bauchi,WX032,111,22.5,48
Nasarawa,WX037,105,24.7,68
Niger,WX013,138,25.7,63
Bauchi,WX002,237,18.5,47
Plateau,WX030,153,26.5,47
Niger,WX024,78,28.7,87
Plateau,WX036,185,38.0,72
Nasarawa,WX018,243,18.2,80
Enugu,WX022,170,35.5,95
Enugu,WX007,240,18.6,30
Plateau,WX010,168,24.6,68
Niger,WX017,253,37.6,48
Kano,WX009,69,35.3,32
Kaduna,WX034,178,24.8,46
Niger,WX007,91,37.3,65
Benue,WX040,168,18.1,86
Kaduna,WX036,51,23.2,49
Nasarawa,WX040,191,31.1,69
Kano,WX032,150,23.1,47
Ogun,WX015,71,32.1,75
Oyo,WX027,48,19.2,83
Kaduna,WX024,241,29.2,53
Nasarawa,WX003,229,24.5,75
Niger,WX038,68,28.0,58
Plateau,WX018,255,37.8,88
Nasarawa,WX013,158,23.8,80
Oyo,WX017,45,27.1,43
Benue,WX021,75,29.2,87
Ogun,WX008,138,30.3,65
Benue,WX025,237,34.1,43
Kaduna,WX024,94,38.1,48
Niger,WX032,179,37.5,80
Benue,WX017,127,22.2,38
Nasarawa,WX040,216,27.7,84
Nasarawa,WX026,234,32.3,56
Kano,WX013,245,26.6,69
Enugu,WX003,212,23.0,49
Benue,WX015,249,24.4,49
Enugu,WX022,248,24.4,51
Bauchi,WX027,112,26.1,58
Kaduna,WX038,96,33.4,43
Kaduna,WX021,118,20.4,85
Oyo,WX032,222,26.0,87
Bauchi,WX037,241,30.7,33
Bauchi,WX023,93,38.9,83
Enugu,WX023,66,25.0,71
Enugu,WX035,80,26.5,82
Niger,WX010,99,23.8,47
Benue,WX031,168,30.5,49
Kaduna,WX027,220,24.8,92
Oyo,WX011,112,30.0,66
Bauchi,WX022,85,34.2,32
Kaduna,WX037,42,29.0,92
Plateau,WX031,216,31.9,44
Ogun,WX020,163,34.1,57
Kaduna,WX035,191,24.0,79
Nasarawa,WX021,45,32.7,82
Nasarawa,WX040,211,38.3,33
Bauchi,WX028,253,21.0,88
Oyo,WX006,129,34.5,62
Ogun,WX019,94,36.8,79
Benue,WX022,206,25.9,92
Plateau,WX036,106,25.1,87
Bauchi,WX019,72,19.3,73
Ogun,WX016,203,34.9,50
Oyo,WX002,170,25.2,88
Benue,WX032,241,21.8,93
Plateau,WX001,59,25.9,74
Bauchi,WX033,42,23.0,60
Kaduna,WX020,138,23.3,63
Plateau,WX006,52,21.8,46
Ogun,WX007,115,27.3,33
Kano,WX013,89,22.6,61
Niger,WX015,230,38.0,67
Kano,WX017,141,37.5,75
Enugu,WX011,248,26.8,70
Ogun,WX014,237,22.5,36
Niger,WX002,182,38.6,84
Ogun,WX039,149,21.6,74
Benue,WX022,155,35.1,89
Enugu,WX038,116,31.5,86
Kaduna,WX014,148,21.7,38
Bauchi,WX033,212,34.5,73
Plateau,WX035,211,25.6,77
Nasarawa,WX005,188,24.2,81
Kaduna,WX008,172,22.8,41
Benue,WX034,154,33.2,40
Kano,WX028,218,37.8,64
Plateau,WX039,238,35.8,80
Benue,WX011,104,31.7,88
Kano,WX013,113,31.8,39
Oyo,WX014,96,23.4,57
Kaduna,WX029,104,20.3,83
Kano,WX019,43,27.1,73
Benue,WX038,189,29.1,61
Oyo,WX035,121,23.9,69
Plateau,WX001,87,22.8,70
Nasarawa,WX002,52,26.5,60
Kaduna,WX038,198,29.5,92
Enugu,WX028,106,38.5,43
Ogun,WX009,118,23.1,60
Niger,WX001,172,18.6,33
Bauchi,WX020,224,34.8,43
Kano,WX002,203,23.3,93
Kano,WX008,225,29.4,94
Plateau,WX003,254,37.0,62
Oyo,WX025,152,27.6,82
Enugu,WX017,170,31.1,43
Nasarawa,WX025,185,33.3,72
Enugu,WX027,258,22.4,43
Bauchi,WX023,215,28.2,55
Kano,WX019,216,28.9,79
Ogun,WX010,203,34.9,30
Kano,WX030,215,30.4,95
Kano,WX020,80,26.3,63
Benue,WX021,196,38.0,77
Kano,WX039,196,38.5,74
Oyo,WX020,184,32.7,43
Bauchi,WX039,66,26.8,40
Niger,WX005,213,38.4,87
Plateau,WX001,81,34.9,32
Ogun,WX016,163,21.9,90
Oyo,WX029,169,36.6,59
Enugu,WX027,136,35.6,70
Niger,WX020,73,20.1,38
Kano,WX026,80,35.9,57
Kano,WX019,238,28.1,91
Ogun,WX037,154,25.7,80
Enugu,WX003,243,21.8,74
Niger,WX032,132,37.0,39
Enugu,WX031,116,34.4,52
Plateau,WX027,173,21.5,62
Ogun,WX029,238,20.3,91
Kaduna,WX009,194,32.5,61
Bauchi,WX031,205,37.1,41
Nasarawa,WX008,249,19.8,74
Nasarawa,WX005,56,38.6,64
Bauchi,WX010,137,18.0,36
Ogun,WX036,76,18.0,71
Kaduna,WX002,134,35.6,89
Niger,WX024,240,30.8,80
Oyo,WX005,194,23.8,86
Kaduna,WX031,72,28.4,34
Ogun,WX035,48,32.1,94
Kano,WX015,91,28.9,63
Plateau,WX005,194,24.7,40
Oyo,WX040,63,30.7,31
Kaduna,WX038,49,25.6,86
Nasarawa,WX004,143,35.0,87
Ogun,WX005,180,24.8,54
Niger,WX002,156,21.3,44
Ogun,WX039,95,36.0,69
Benue,WX015,176,27.3,73
Oyo,WX038,71,32.5,32
Nasarawa,WX006,192,23.4,70
Oyo,WX011,125,20.5,76
Niger,WX009,73,32.6,40
Bauchi,WX009,87,20.4,64
Kano,WX025,113,33.6,64
Bauchi,WX016,135,20.4,94
Oyo,WX029,99,19.5,70
Ogun,WX038,255,29.5,47
Bauchi,WX019,201,24.6,75
Ogun,WX026,112,32.1,83
Kaduna,WX018,220,27.2,56
Nasarawa,WX034,88,25.7,95
Kaduna,WX004,188,25.0,68
Ogun,WX007,146,24.6,32
Enugu,WX015,181,28.6,42
Benue,WX032,85,30.0,55
Kaduna,WX030,150,35.7,34
Bauchi,WX007,239,32.3,87
Ogun,WX027,186,32.3,69
Ogun,WX024,177,18.0,47
Ogun,WX035,258,34.7,67
Oyo,WX004,143,36.9,74
Enugu,WX009,223,37.5,61
Niger,WX022,144,24.3,65
Niger,WX009,123,36.2,94
Niger,WX029,227,26.9,48
Kano,WX010,120,27.6,91
Ogun,WX031,83,21.5,65
Niger,WX004,194,28.7,50
Benue,WX008,48,34.9,42
Enugu,WX036,136,26.8,56
Bauchi,WX016,191,33.4,50
Ogun,WX019,93,27.8,88
Oyo,WX014,42,38.3,67
Kano,WX017,186,33.1,74
Kano,WX009,215,24.2,41
Kaduna,WX012,77,20.8,90
Oyo,WX033,181,25.4,45
Benue,WX010,51,18.0,68
Oyo,WX030,148,35.4,73
Kaduna,WX008,220,35.3,33
Kano,WX015,184,35.4,42
Kano,WX034,61,26.1,34
Nasarawa,WX012,230,30.7,93
Bauchi,WX023,55,20.6,37
Kano,WX034,75,26.2,87
Kaduna,WX025,63,30.5,80
Kano,WX011,178,37.0,48
Kaduna,WX007,110,29.0,95
Benue,WX024,69,28.1,33
Plateau,WX003,74,21.0,58
Kano,WX040,143,35.4,47
Plateau,WX038,91,29.8,32
Oyo,WX033,73,23.1,67
Ogun,WX019,128,35.1,46
Kano,WX010,69,20.9,85
Plateau,WX020,226,22.7,70
Kaduna,WX029,213,21.8,67
Bauchi,WX009,142,20.5,74
Bauchi,WX027,215,18.1,57
Bauchi,WX026,256,20.0,50
Enugu,WX033,77,28.1,83
Kaduna,WX035,236,30.0,41
Kaduna,WX016,159,29.7,46
Ogun,WX007,97,27.6,79
Kaduna,WX033,132,32.8,61
Enugu,WX020,111,35.5,89
Nasarawa,WX005,214,35.9,30
Bauchi,WX018,66,38.8,32
Nasarawa,WX039,58,38.9,38
Kaduna,WX003,176,37.9,52
Oyo,WX034,249,33.4,87
Bauchi,WX029,220,27.9,52
Kaduna,WX029,142,18.4,58
Bauchi,WX003,163,25.7,71
Nasarawa,WX030,45,26.1,68
Plateau,WX019,202,30.0,70
Nasarawa,WX034,196,35.6,49
Enugu,WX026,151,20.0,69
Plateau,WX025,139,28.9,90
Kaduna,WX002,179,25.2,31
Bauchi,WX039,49,22.3,75
Bauchi,WX014,226,25.7,79
Kaduna,WX013,189,26.5,82
Kano,WX023,237,36.9,31
Nasarawa,WX015,124,36.2,35
Kano,WX006,44,35.8,62
Oyo,WX018,128,33.2,41
Ogun,WX038,225,35.9,63
Kaduna,WX025,51,23.3,50
Kano,WX006,134,28.6,82
Kano,WX027,49,29.5,90
Kaduna,WX029,148,35.4,73
Niger,WX025,211,19.7,95
Enugu,WX003,106,35.2,65
Kano,WX020,70,20.4,68
