farm_id,farmer_id,region,crop,soil,farm_size_ha,yield_score
Farm_00031,FRM00031,Kaduna,Yam,Loam,13.22,87
Farm_00032,FRM00032,Ogun,Cassava,Silt,0.93,99
Farm_00033,FRM00033,Kano,Soybean,Loam,25.17,85
Farm_00034,FRM00034,Bauchi,Soybean,Sandy,20.11,55
Farm_00035,FRM00035,Plateau,Maize,Loam,35.63,62
Farm_00036,FRM00036,Niger,Rice,Chalky,20.19,57
Farm_00037,FRM00037,Niger,Cassava,Loam,27.8,81
Farm_00038,FRM00038,Benue,Tomato,Peaty,41.54,51
Farm_00039,FRM00039,Benue,Tomato,Silt,22.62,68
Farm_00040,FRM00040,Enugu,Rice,Loam,44.8,81
Farm_00041,FRM00041,Ogun,Soybean,Peaty,30.99,55
Farm_00042,FRM00042,Nasarawa,Millet,Silt,29.08,63
Farm_00043,FRM00043,Bauchi,Maize,Loam,0.63,62
Farm_00044,FRM00044,Enugu,Sorghum,Peaty,22.47,99
Farm_00045,FRM00045,Kano,Millet,Chalky,49.71,86
Farm_00046,FRM00046,Benue,Rice,Peaty,8.9,97
Farm_00047,FRM00047,Plateau,Soybean,Silt,29.47,76
Farm_00048,FRM00048,Oyo,Rice,Clay,10.56,42
Farm_00049,FRM00049,Bauchi,Maize,Silt,22.1,89
Farm_00050,FRM00050,Enugu,Millet,Peaty,14.54,53
Farm_00051,FRM00051,Niger,Maize,Sandy,16.67,49
Farm_00052,FRM00052,Nasarawa,Soybean,Sandy,8.65,82
Farm_00053,FRM00053,Oyo,Maize,Chalky,45.45,67
Farm_00054,FRM00054,Oyo,Yam,Silt,31.27,66
Farm_00055,FRM00055,Nasarawa,Sorghum,Silt,10.9,83
Farm_00056,FRM00056,Oyo,Yam,Clay,6.9,89
Farm_00057,FRM00057,Ogun,Maize,Chalky,18.22,81
Farm_00058,FRM00058,Kano,Cassava,Clay,38.93,62
Farm_00059,FRM00059,Enugu,Maize,Silt,45.32,84
Farm_00060,FRM00060,Ogun,Cassava,Loam,36.05,80
Farm_00061,FRM00061,Kano,Sorghum,Clay,35.8,48
Farm_00062,FRM00062,Ogun,Cassava,Loam,43.53,66
Farm_00063,FRM00063,Kaduna,Tomato,Peaty,49.66,82
Farm_00064,FRM00064,Nasarawa,Cassava,Chalky,15.01,75
Farm_00065,FRM00065,Niger,Rice,Sandy,31.67,66
Farm_00066,FRM00066,Oyo,Soybean,Silt,34.58,60
Farm_00067,FRM00067,Oyo,Yam,Chalky,46.34,77
Farm_00068,FRM00068,Niger,Soybean,Loam,19.02,46
Farm_00069,FRM00069,Kaduna,Sorghum,Clay,19.22,41
Farm_00070,FRM00070,Benue,Cassava,Loam,47.09,43
Farm_00071,FRM00071,Ogun,Tomato,Clay,12.3,49
Farm_00072,FRM00072,Benue,Maize,Clay,27.89,49
Farm_00073,FRM00073,Benue,Soybean,Loam,14.83,97
Farm_00074,FRM00074,Benue,Rice,Loam,36.68,88
Farm_00075,FRM00075,Nasarawa,Maize,Clay,28.96,94
Farm_00076,FRM00076,Benue,Cassava,Clay,15.94,75
Farm_00077,FRM00077,Niger,Soybean,Clay,33.6,69
Farm_00078,FRM00078,Niger,Sorghum,Clay,33.32,40
Farm_00079,FRM00079,Kaduna,Tomato,Clay,14.73,59
Farm_00080,FRM00080,Bauchi,Soybean,Chalky,10.46,85
Farm_00081,FRM00081,Kaduna,Cassava,Peaty,30.49,62
Farm_00082,FRM00082,Niger,Tomato,Loam,20.82,75
Farm_00083,FRM00083,Plateau,Cassava,Peaty,40.25,67
Farm_00084,FRM00084,Nasarawa,Maize,Peaty,22.93,40
Farm_00085,FRM00085,Kano,Millet,Chalky,41.12,72
Farm_00086,FRM00086,Kano,Maize,Chalky,10.23,71
Farm_00087,FRM00087,Benue,Sorghum,Sandy,2.13,80
Farm_00088,FRM00088,Plateau,Yam,Loam,34.03,83
Farm_00089,FRM00089,Nasarawa,Soybean,Silt,23.62,62
Farm_00090,FRM00090,Ogun,Soybean,Clay,33.93,85
Farm_00091,FRM00091,Kano,Rice,Peaty,40.36,88
Farm_00092,FRM00092,Ogun,Soybean,Silt,45.35,46
Farm_00093,FRM00093,Kano,Millet,Loam,30.57,43
Farm_00094,FRM00094,Benue,Tomato,Chalky,42.4,89
Farm_00095,FRM00095,Benue,Soybean,Loam,34.73,48
Farm_00096,FRM00096,Plateau,Soybean,Loam,22.68,47
Farm_00097,FRM00097,Plateau,Millet,Chalky,4.37,87
Farm_00098,FRM00098,Kano,Tomato,Loam,24.97,71
Farm_00099,FRM00099,Oyo,Sorghum,Loam,0.94,92
Farm_00100,FRM00100,Oyo,Sorghum,Silt,15.32,61
Farm_00101,FRM00101,Plateau,Rice,Clay,33.68,85
Farm_00102,FRM00102,Oyo,Cassava,Clay,24.02,45
Farm_00103,FRM00103,Kaduna,Millet,Loam,18.96,87
Farm_00104,FRM00104,Plateau,Tomato,Clay,43.83,74
Farm_00105,FRM00105,Niger,Maize,Clay,41.05,86
Farm_00106,FRM00106,Kaduna,Rice,Clay,31.84,80
Farm_00107,FRM00107,Benue,Sorghum,Clay,10.67,96
Farm_00108,FRM00108,Kano,Yam,Sandy,14.16,56
Farm_00109,FRM00109,Plateau,Maize,Chalky,46.18,53
Farm_00110,FRM00110,Bauchi,Sorghum,Clay,1.42,53
Farm_00111,FRM00111,Nasarawa,Millet,Clay,0.95,70
Farm_00112,FRM00112,Benue,Yam,Silt,31.99,62
Farm_00113,FRM00113,Oyo,Millet,Sandy,11.22,76
Farm_00114,FRM00114,Niger,Millet,Chalky,40.35,49
Farm_00115,FRM00115,Kano,Maize,Loam,3.7,47
Farm_00116,FRM00116,Kano,Maize,Clay,2.87,90
Farm_00117,FRM00117,Enugu,Millet,Chalky,36.63,55
Farm_00118,FRM00118,Kano,Tomato,Peaty,30.83,83
Farm_00119,FRM00119,Ogun,Cassava,Chalky,16.44,63
Farm_00120,FRM00120,Enugu,Soybean,Peaty,26.41,91
Farm_00121,FRM00121,Ogun,Tomato,Sandy,35.77,58
Farm_00122,FRM00122,Bauchi,Yam,Silt,21.04,70
Farm_00123,FRM00123,Benue,Yam,Loam,35.7,70
Farm_00124,FRM00124,Oyo,Maize,Sandy,12.8,64
Farm_00125,FRM00125,Bauchi,Sorghum,Loam,11.37,68
Farm_00126,FRM00126,Plateau,Soybean,Peaty,7.72,98
Farm_00127,FRM00127,Plateau,Sorghum,Peaty,8.02,91
Farm_00128,FRM00128,Nasarawa,Maize,Silt,10.43,57
Farm_00129,FRM00129,Nasarawa,Sorghum,Clay,39.49,59
Farm_00130,FRM00130,Kano,Sorghum,Loam,15.52,56
Farm_00131,FRM00131,Kaduna,Rice,Loam,39.69,84
Farm_00132,FRM00132,Kano,Sorghum,Loam,11.14,89
Farm_00133,FRM00133,Kano,Maize,Silt,25.12,89
Farm_00134,FRM00134,Enugu,Millet,Chalky,26.82,80
Farm_00135,FRM00135,Benue,Sorghum,Chalky,45.25,67
Farm_00136,FRM00136,Benue,Rice,Clay,19.09,97
Farm_00137,FRM00137,Plateau,Sorghum,Chalky,49.23,87
Farm_00138,FRM00138,Kano,Tomato,Silt,37.68,97
Farm_00139,FRM00139,Oyo,Rice,Chalky,24.9,85
Farm_00140,FRM00140,Ogun,Soybean,Peaty,46.44,65
Farm_00141,FRM00141,Oyo,Millet,Chalky,13.36,89
Farm_00142,FRM00142,Nasarawa,Tomato,Silt,40.38,62
Farm_00143,FRM00143,Benue,Rice,Sandy,37.28,92
Farm_00144,FRM00144,Niger,Yam,Sandy,3.43,68
Farm_00145,FRM00145,Kano,Millet,Chalky,29.45,65
Farm_00146,FRM00146,Kano,Maize,Silt,39.62,87
Farm_00147,FRM00147,Niger,Sorghum,Silt,40.32,69
Farm_00148,FRM00148,Enugu,Tomato,Chalky,8.47,97
Farm_00149,FRM00149,Nasarawa,Tomato,Loam,29.77,48
Farm_00150,FRM00150,Benue,Maize,Silt,39.51,92
Farm_00151,FRM00151,Kano,Cassava,Clay,8.56,72
Farm_00152,FRM00152,Enugu,Yam,Clay,35.55,87
Farm_00153,FRM00153,Bauchi,Soybean,Peaty,23.05,66
Farm_00154,FRM00154,Niger,Yam,Clay,38.24,93
Farm_00155,FRM00155,Kaduna,Soybean,Silt,34.64,80
Farm_00156,FRM00156,Bauchi,Cassava,Chalky,30.09,84
Farm_00157,FRM00157,Ogun,Sorghum,Sandy,2.02,93
Farm_00158,FRM00158,Plateau,Maize,Sandy,46.83,62
Farm_00159,FRM00159,Kaduna,Maize,Loam,41.9,55
Farm_00160,FRM00160,Benue,Yam,Chalky,28.36,95
Farm_00161,FRM00161,Ogun,Yam,Sandy,25.72,80
Farm_00162,FRM00162,Kaduna,Millet,Silt,42.04,59
Farm_00163,FRM00163,Nasarawa,Maize,Silt,17.49,82
Farm_00164,FRM00164,Kaduna,Cassava,Clay,8.79,77
Farm_00165,FRM00165,Enugu,Rice,Silt,25.23,73
Farm_00166,FRM00166,Kaduna,Yam,Silt,34.06,85
Farm_00167,FRM00167,Niger,Tomato,Peaty,32.5,70
Farm_00168,FRM00168,Niger,Rice,Peaty,42.56,96
Farm_00169,FRM00169,Kano,Sorghum,Sandy,21.16,70
Farm_00170,FRM00170,Benue,Millet,Loam,5.16,77
Farm_00171,FRM00171,Kaduna,Soybean,Peaty,10.97,85
Farm_00172,FRM00172,Enugu,Soybean,Clay,46.62,96
Farm_00173,FRM00173,Oyo,Sorghum,Peaty,39.1,86
Farm_00174,FRM00174,Niger,Rice,Chalky,16.14,92
Farm_00175,FRM00175,Niger,Soybean,Silt,43.44,72
Farm_00176,FRM00176,Nasarawa,Soybean,Sandy,47.51,59
Farm_00177,FRM00177,Niger,Soybean,Peaty,33.71,43
Farm_00178,FRM00178,Kaduna,Maize,Clay,4.0,44
Farm_00179,FRM00179,Oyo,Maize,Chalky,10.79,63
Farm_00180,FRM00180,Kano,Tomato,Clay,15.44,61
Farm_00181,FRM00181,Niger,Soybean,Clay,31.74,91
Farm_00182,FRM00182,Bauchi,Soybean,Sandy,46.29,43
Farm_00183,FRM00183,Ogun,Rice,Clay,29.69,47
Farm_00184,FRM00184,Oyo,Cassava,Silt,27.62,42
Farm_00185,FRM00185,Plateau,Rice,Clay,31.01,91
Farm_00186,FRM00186,Nasarawa,Millet,Silt,46.99,64
Farm_00187,FRM00187,Oyo,Tomato,Loam,30.05,59
Farm_00188,FRM00188,Kaduna,Cassava,Clay,44.69,90
Farm_00189,FRM00189,Oyo,Cassava,Chalky,25.27,99
Farm_00190,FRM00190,Enugu,Millet,Peaty,8.34,94
Farm_00191,FRM00191,Plateau,Rice,Chalky,32.61,46
Farm_00192,FRM00192,Plateau,Maize,Peaty,36.98,48
Farm_00193,FRM00193,Plateau,Sorghum,Clay,45.37,54
Farm_00194,FRM00194,Ogun,Yam,Peaty,46.2,50
Farm_00195,FRM00195,Nasarawa,Tomato,Peaty,9.32,89
Farm_00196,FRM00196,Benue,Rice,Clay,25.62,47
Farm_00197,FRM00197,Niger,Soybean,Loam,46.64,57
Farm_00198,FRM00198,Oyo,Cassava,Sandy,27.79,62
Farm_00199,FRM00199,Nasarawa,Soybean,Loam,29.65,67
Farm_00200,FRM00200,Niger,Cassava,Sandy,16.55,98
Farm_00201,FRM00201,Oyo,Millet,Chalky,5.03,97
Farm_00202,FRM00202,Ogun,Millet,Clay,33.66,71
Farm_00203,FRM00203,Nasarawa,Tomato,Chalky,8.51,68
Farm_00204,FRM00204,Enugu,Yam,Chalky,26.89,59
Farm_00205,FRM00205,Benue,Tomato,Peaty,15.01,93
Farm_00206,FRM00206,Oyo,Millet,Clay,17.18,46
Farm_00207,FRM00207,Kaduna,Tomato,Silt,8.04,90
Farm_00208,FRM00208,Benue,Soybean,Clay,29.51,76
Farm_00209,FRM00209,Kaduna,Millet,Sandy,38.92,70
Farm_00210,FRM00210,Oyo,Tomato,Peaty,14.82,84
Farm_00211,FRM00211,Enugu,Sorghum,Clay,33.86,47
Farm_00212,FRM00212,Ogun,Yam,Clay,9.06,81
Farm_00213,FRM00213,Nasarawa,Cassava,Sandy,22.7,50
Farm_00214,FRM00214,Nasarawa,Maize,Clay,18.95,98
Farm_00215,FRM00215,Niger,Tomato,Chalky,23.47,90
Farm_00216,FRM00216,Niger,Sorghum,Silt,8.24,88
Farm_00217,FRM00217,Niger,Cassava,Chalky,14.96,95
Farm_00218,FRM00218,Enugu,Soybean,Silt,24.56,46
Farm_00219,FRM00219,Kaduna,Soybean,Clay,4.66,56
Farm_00220,FRM00220,Enugu,Tomato,Clay,21.19,79
Farm_00221,FRM00221,Kaduna,Millet,Chalky,31.79,93
Farm_00222,FRM00222,Plateau,Cassava,Loam,36.69,44
Farm_00223,FRM00223,Enugu,Millet,Loam,2.59,68
Farm_00224,FRM00224,Kano,Rice,Loam,15.43,85
Farm_00225,FRM00225,Oyo,Millet,Peaty,43.23,46
Farm_00226,FRM00226,Enugu,Millet,Chalky,19.01,66
Farm_00227,FRM00227,Niger,Rice,Sandy,9.63,81
Farm_00228,FRM00228,Kano,Soybean,Chalky,35.89,51
Farm_00229,FRM00229,Nasarawa,Millet,Sandy,13.74,65
Farm_00230,FRM00230,Kano,Maize,Chalky,40.57,84
Farm_00231,FRM00231,Kaduna,Sorghum,Sandy,33.29,99
Farm_00232,FRM00232,Kaduna,Cassava,Loam,22.58,44
Farm_00233,FRM00233,Kaduna,Maize,Loam,42.74,94
Farm_00234,FRM00234,Bauchi,Yam,Sandy,30.48,66
Farm_00235,FRM00235,Enugu,Cassava,Peaty,15.55,97
Farm_00236,FRM00236,Oyo,Sorghum,Clay,9.16,75
Farm_00237,FRM00237,Niger,Yam,Loam,44.42,49
Farm_00238,FRM00238,Plateau,Cassava,Clay,43.05,96
Farm_00239,FRM00239,Kaduna,Rice,Chalky,4.63,55
Farm_00240,FRM00240,Benue,Yam,Sandy,31.31,45
Farm_00241,FRM00241,Niger,Millet,Silt,6.85,60
Farm_00242,FRM00242,Kano,Rice,Chalky,15.85,52
Farm_00243,FRM00243,Nasarawa,Yam,Chalky,2.34,71
Farm_00244,FRM00244,Niger,Sorghum,Chalky,11.61,42
Farm_00245,FRM00245,Enugu,Soybean,Chalky,27.97,64
Farm_00246,FRM00246,Oyo,Sorghum,Silt,22.05,81
Farm_00247,FRM00247,Oyo,Sorghum,Loam,15.19,98
Farm_00248,FRM00248,Nasarawa,Soybean,Silt,44.96,41
Farm_00249,FRM00249,Ogun,Yam,Sandy,12.59,56
Farm_00250,FRM00250,Kano,Yam,Clay,26.65,51
Farm_00251,FRM00251,Kano,Sorghum,Clay,9.93,75
Farm_00252,FRM00252,Kano,Maize,Peaty,1.28,99
Farm_00253,FRM00253,Kaduna,Tomato,Silt,25.55,46
Farm_00254,FRM00254,Benue,Cassava,Loam,16.76,60
Farm_00255,FRM00255,Kano,Soybean,Silt,6.31,87
Farm_00256,FRM00256,Bauchi,Rice,Silt,16.51,47
Farm_00257,FRM00257,Niger,Sorghum,Loam,29.89,85
Farm_00258,FRM00258,Bauchi,Sorghum,Loam,30.79,94
Farm_00259,FRM00259,Enugu,Millet,Sandy,34.35,68
Farm_00260,FRM00260,Enugu,Sorghum,Chalky,19.38,57
Farm_00261,FRM00261,Benue,Millet,Sandy,34.02,84
Farm_00262,FRM00262,Nasarawa,Millet,Chalky,37.45,91
Farm_00263,FRM00263,Kano,Cassava,Loam,18.71,72
Farm_00264,FRM00264,Enugu,Millet,Sandy,7.12,50
Farm_00265,FRM00265,Kaduna,Rice,Loam,35.44,90
Farm_00266,FRM00266,Enugu,Tomato,Chalky,38.12,75
Farm_00267,FRM00267,Ogun,Maize,Clay,11.66,86
Farm_00268,FRM00268,Niger,Yam,Clay,30.18,82
Farm_00269,FRM00269,Ogun,Rice,Silt,41.99,75
Farm_00270,FRM00270,Kaduna,Tomato,Sandy,19.79,86
Farm_00271,FRM00271,Nasarawa,Tomato,Peaty,47.32,96
Farm_00272,FRM00272,Enugu,Millet,Chalky,32.22,44
Farm_00273,FRM00273,Plateau,Sorghum,Loam,47.92,87
Farm_00274,FRM00274,Oyo,Millet,Silt,0.64,45
Farm_00275,FRM00275,Benue,Rice,Silt,49.31,60
Farm_00276,FRM00276,Ogun,Tomato,Chalky,30.66,67
Farm_00277,FRM00277,Nasarawa,Rice,Loam,6.33,51
Farm_00278,FRM00278,Enugu,Maize,Loam,1.18,85
Farm_00279,FRM00279,Nasarawa,Maize,Loam,45.2,92
Farm_00280,FRM00280,Bauchi,Cassava,Peaty,4.56,88
Farm_00281,FRM00281,Oyo,Soybean,Silt,19.55,45
Farm_00282,FRM00282,Niger,Yam,Sandy,23.59,94
Farm_00283,FRM00283,Kaduna,Millet,Sandy,41.05,70
Farm_00284,FRM00284,Ogun,Rice,Loam,9.62,74
Farm_00285,FRM00285,Oyo,Rice,Silt,9.62,48
Farm_00286,FRM00286,Kano,Rice,Loam,12.4,77
Farm_00287,FRM00287,Kano,Yam,Silt,35.48,86
Farm_00288,FRM00288,Plateau,Sorghum,Silt,7.11,41
Farm_00289,FRM00289,Kaduna,Cassava,Peaty,28.45,97
Farm_00290,FRM00290,Kano,Rice,Sandy,40.8,70
Farm_00291,FRM00291,Plateau,Maize,Sandy,45.65,81
Farm_00292,FRM00292,Benue,Yam,Clay,16.04,60
Farm_00293,FRM00293,Kaduna,Cassava,Peaty,5.35,77
Farm_00294,FRM00294,Niger,Maize,Loam,48.65,56
Farm_00295,FRM00295,Nasarawa,Yam,Loam,45.57,44
Farm_00296,FRM00296,Plateau,Cassava,Peaty,26.86,54
Farm_00297,FRM00297,Bauchi,Rice,Loam,26.05,94
Farm_00298,FRM00298,Kaduna,Sorghum,Chalky,30.04,81
Farm_00299,FRM00299,Kano,Yam,Loam,29.01,51
Farm_00300,FRM00300,Plateau,Soybean,Silt,14.14,66
Farm_00301,FRM00301,Benue,Cassava,Loam,6.88,59
Farm_00302,FRM00302,Plateau,Millet,Peaty,13.1,66
Farm_00303,FRM00303,Nasarawa,Millet,Loam,25.33,69
Farm_00304,FRM00304,Benue,Sorghum,Peaty,49.85,40
Farm_00305,FRM00305,Enugu,Maize,Loam,23.42,86
Farm_00306,FRM00306,Niger,Maize,Chalky,7.73,56
Farm_00307,FRM00307,Enugu,Rice,Sandy,20.88,85
Farm_00308,FRM00308,Kano,Yam,Silt,38.39,74
Farm_00309,FRM00309,Kaduna,Cassava,Clay,43.75,79
Farm_00310,FRM00310,Enugu,Soybean,Silt,25.87,52
Farm_00311,FRM00311,Niger,Tomato,Peaty,27.85,52
Farm_00312,FRM00312,Kano,Tomato,Loam,29.25,54
Farm_00313,FRM00313,Bauchi,Yam,Silt,39.88,81
Farm_00314,FRM00314,Kano,Yam,Chalky,27.38,62
Farm_00315,FRM00315,Ogun,Maize,Clay,14.76,74
Farm_00316,FRM00316,Ogun,Millet,Peaty,9.47,89
Farm_00317,FRM00317,Niger,Maize,Sandy,45.68,75
Farm_00318,FRM00318,Kano,Soybean,Peaty,8.28,53
Farm_00319,FRM00319,Enugu,Millet,Chalky,16.78,70
Farm_00320,FRM00320,Ogun,Yam,Chalky,25.65,75
Farm_00321,FRM00321,Enugu,Soybean,Sandy,42.31,94
Farm_00322,FRM00322,Oyo,Sorghum,Peaty,33.42,74
Farm_00323,FRM00323,Nasarawa,Yam,Peaty,7.17,55
Farm_00324,FRM00324,Kano,Cassava,Chalky,25.56,94
Farm_00325,FRM00325,Nasarawa,Maize,Peaty,49.63,59
Farm_00326,FRM00326,Kano,Yam,Loam,47.76,54
Farm_00327,FRM00327,Enugu,Millet,Sandy,26.06,53
Farm_00328,FRM00328,Ogun,Soybean,Chalky,18.87,84
Farm_00329,FRM00329,Benue,Sorghum,Sandy,33.43,71
Farm_00330,FRM00330,Kano,Soybean,Chalky,9.4,55
Farm_00331,FRM00331,Enugu,Cassava,Peaty,19.15,84
Farm_00332,FRM00332,Niger,Tomato,Chalky,23.16,71
Farm_00333,FRM00333,Nasarawa,Rice,Loam,9.55,94
Farm_00334,FRM00334,Kano,Millet,Silt,43.43,44
Farm_00335,FRM00335,Niger,Rice,Sandy,26.54,73
Farm_00336,FRM00336,Plateau,Tomato,Sandy,27.84,43
Farm_00337,FRM00337,Kano,Rice,Sandy,48.57,44
Farm_00338,FRM00338,Ogun,Rice,Clay,28.72,90
Farm_00339,FRM00339,Enugu,Cassava,Peaty,18.26,90
Farm_00340,FRM00340,Kaduna,Rice,Silt,16.98,84
Farm_00341,FRM00341,Nasarawa,Cassava,Peaty,22.08,57
Farm_00342,FRM00342,Kano,Yam,Clay,36.89,76
Farm_00343,FRM00343,Ogun,Rice,Clay,37.48,67
Farm_00344,FRM00344,Plateau,Yam,Silt,0.96,47
Farm_00345,FRM00345,Nasarawa,Cassava,Silt,22.0,57
Farm_00346,FRM00346,Bauchi,Rice,Silt,25.65,74
Farm_00347,FRM00347,Nasarawa,Sorghum,Silt,34.24,97
Farm_00348,FRM00348,Kano,Soybean,Chalky,47.14,49
Farm_00349,FRM00349,Ogun,Yam,Chalky,49.64,47
Farm_00350,FRM00350,Kaduna,Rice,Silt,24.44,49
Farm_00351,FRM00351,Kano,Millet,Sandy,16.78,91
Farm_00352,FRM00352,Nasarawa,Millet,Sandy,8.2,42
Farm_00353,FRM00353,Benue,Tomato,Chalky,0.78,84
Farm_00354,FRM00354,Ogun,Sorghum,Silt,21.73,71
Farm_00355,FRM00355,Oyo,Yam,Silt,22.62,93
Farm_00356,FRM00356,Enugu,Yam,Chalky,48.9,88
Farm_00357,FRM00357,Oyo,Tomato,Sandy,44.82,78
Farm_00358,FRM00358,Oyo,Yam,Chalky,7.13,43
Farm_00359,FRM00359,Enugu,Sorghum,Sandy,21.94,65
Farm_00360,FRM00360,Benue,Yam,Chalky,5.02,65
Farm_00361,FRM00361,Kano,Yam,Silt,49.16,46
Farm_00362,FRM00362,Bauchi,Maize,Loam,46.0,83
Farm_00363,FRM00363,Kano,Cassava,Chalky,48.02,49
Farm_00364,FRM00364,Plateau,Millet,Clay,46.12,72
Farm_00365,FRM00365,Kano,Tomato,Loam,27.44,46
Farm_00366,FRM00366,Kano,Sorghum,Clay,15.65,99
Farm_00367,FRM00367,Oyo,Rice,Silt,27.04,83
Farm_00368,FRM00368,Niger,Yam,Clay,23.98,46
Farm_00369,FRM00369,Enugu,Tomato,Loam,31.17,89
Farm_00370,FRM00370,Ogun,Cassava,Silt,30.67,88
Farm_00371,FRM00371,Kano,Tomato,Sandy,37.89,85
Farm_00372,FRM00372,Niger,Cassava,Clay,1.17,91
Farm_00373,FRM00373,Ogun,Tomato,Sandy,48.33,74
Farm_00374,FRM00374,Bauchi,Maize,Clay,28.95,53
Farm_00375,FRM00375,Niger,Cassava,Loam,45.36,46
Farm_00376,FRM00376,Ogun,Rice,Chalky,24.02,44
Farm_00377,FRM00377,Bauchi,Yam,Loam,43.62,49
Farm_00378,FRM00378,Plateau,Sorghum,Loam,19.1,87
Farm_00379,FRM00379,Benue,Yam,Sandy,23.59,63
Farm_00380,FRM00380,Benue,Sorghum,Sandy,38.73,83
Farm_00381,FRM00381,Nasarawa,Millet,Peaty,20.83,47
Farm_00382,FRM00382,Oyo,Millet,Clay,41.7,83
Farm_00383,FRM00383,Kaduna,Maize,Clay,20.91,69
Farm_00384,FRM00384,Oyo,Yam,Loam,5.81,92
Farm_00385,FRM00385,Oyo,Soybean,Sandy,3.53,85
Farm_00386,FRM00386,Plateau,Tomato,Sandy,48.59,60
Farm_00387,FRM00387,Plateau,Soybean,Clay,21.21,68
Farm_00388,FRM00388,Enugu,Yam,Clay,3.79,48
Farm_00389,FRM00389,Bauchi,Rice,Chalky,33.99,96
Farm_00390,FRM00390,Plateau,Sorghum,Chalky,9.62,67
Farm_00391,FRM00391,Benue,Sorghum,Silt,26.8,51
Farm_00392,FRM00392,Plateau,Tomato,Clay,3.1,48
Farm_00393,FRM00393,Plateau,Tomato,Clay,38.24,67
Farm_00394,FRM00394,Niger,Millet,Sandy,25.26,72
Farm_00395,FRM00395,Nasarawa,Soybean,Silt,2.48,83
Farm_00396,FRM00396,Niger,Yam,Loam,44.74,73
Farm_00397,FRM00397,Oyo,Cassava,Clay,17.56,90
Farm_00398,FRM00398,Kaduna,Rice,Loam,41.04,95
Farm_00399,FRM00399,Bauchi,Sorghum,Silt,22.68,50
Farm_00400,FRM00400,Kano,Sorghum,Clay,13.53,52
Farm_00401,FRM00401,Ogun,Sorghum,Loam,11.47,88
Farm_00402,FRM00402,Oyo,Soybean,Silt,35.95,62
Farm_00403,FRM00403,Niger,Rice,Loam,2.13,74
Farm_00404,FRM00404,Oyo,Millet,Silt,34.17,90
Farm_00405,FRM00405,Bauchi,Maize,Sandy,1.72,77
Farm_00406,FRM00406,Oyo,Tomato,Clay,6.78,90
Farm_00407,FRM00407,Nasarawa,Cassava,Peaty,19.94,45
Farm_00408,FRM00408,Kaduna,Soybean,Peaty,43.74,82
Farm_00409,FRM00409,Oyo,Yam,Peaty,45.44,67
Farm_00410,FRM00410,Nasarawa,Cassava,Sandy,12.46,55
Farm_00411,FRM00411,Oyo,Millet,Silt,38.59,92
Farm_00412,FRM00412,Niger,Rice,Sandy,14.45,69
Farm_00413,FRM00413,Niger,Maize,Peaty,46.78,41
Farm_00414,FRM00414,Benue,Tomato,Peaty,32.79,77
Farm_00415,FRM00415,Kano,Cassava,Peaty,25.42,56
Farm_00416,FRM00416,Ogun,Tomato,Sandy,8.78,73
Farm_00417,FRM00417,Niger,Millet,Sandy,45.22,56
Farm_00418,FRM00418,Plateau,Soybean,Sandy,19.26,75
Farm_00419,FRM00419,Ogun,Yam,Chalky,49.48,68
Farm_00420,FRM00420,Niger,Rice,Clay,43.19,76
Farm_00421,FRM00421,Oyo,Sorghum,Peaty,44.25,66
