farm_id,fertilizer,kg_used
Farm_00734,DAP,191.0
Farm_00735,DAP,378.6
Farm_00736,Urea,290.8
Farm_00737,DAP,181.6
Farm_00738,Urea,351.6
Farm_00739,DAP,127.5
Farm_00740,DAP,346.7
Farm_00741,Urea,198.3
Farm_00742,Urea,121.0
Farm_00743,DAP,93.6
Farm_00744,NPK,233.5
Farm_00745,Urea,234.3
Farm_00746,NPK,147.9
Farm_00747,Urea,374.5
Farm_00748,Urea,33.2
Farm_00749,DAP,49.4
Farm_00750,NPK,53.6
Farm_00751,Urea,359.1
Farm_00752,Urea,91.9
Farm_00753,Urea,240.7
Farm_00754,DAP,188.4
Farm_00755,NPK,181.9
Farm_00756,Urea,96.2
Farm_00757,DAP,198.0
Farm_00758,DAP,391.5
Farm_00759,DAP,88.9
Farm_00760,NPK,282.3
Farm_00761,NPK,348.6
Farm_00762,NPK,63.7
Farm_00763,NPK,86.5
Farm_00764,Urea,254.5
Farm_00765,Urea,102.9
Farm_00766,Urea,221.4
Farm_00767,NPK,244.2
Farm_00768,DAP,84.0
Farm_00769,Urea,311.1
Farm_00770,NPK,321.8
Farm_00771,Urea,378.7
Farm_00772,Urea,390.2
Farm_00773,NPK,379.1
Farm_00774,NPK,163.8
Farm_00775,DAP,240.2
Farm_00776,Urea,340.5
Farm_00777,NPK,265.6
Farm_00778,NPK,25.9
Farm_00779,DAP,217.3
Farm_00780,NPK,252.4
Farm_00781,DAP,266.9
Farm_00782,Urea,35.1
Farm_00783,DAP,80.4
Farm_00784,Urea,50.9
Farm_00785,Urea,82.1
Farm_00786,NPK,182.7
Farm_00787,Urea,165.3
Farm_00788,Urea,209.1
Farm_00789,DAP,335.8
Farm_00790,NPK,324.3
Farm_00791,DAP,379.5
Farm_00792,Urea,332.5
Farm_00793,Urea,301.6
Farm_00794,Urea,79.6
Farm_00795,Urea,100.6
Farm_00796,DAP,100.5
Farm_00797,DAP,318.7
Farm_00798,Urea,68.8
Farm_00799,Urea,143.4
Farm_00800,DAP,36.2
Farm_00801,NPK,45.0
Farm_00802,NPK,294.8
Farm_00803,DAP,213.4
Farm_00804,DAP,126.8
Farm_00805,Urea,352.4
Farm_00806,DAP,152.5
Farm_00807,NPK,136.5
Farm_00808,DAP,98.7
Farm_00809,DAP,142.7
Farm_00810,DAP,322.4
Farm_00811,DAP,82.2
Farm_00812,NPK,287.9
Farm_00813,DAP,292.9
Farm_00814,Urea,56.3
Farm_00815,Urea,56.8
Farm_00816,NPK,61.2
Farm_00817,Urea,360.8
Farm_00818,NPK,386.3
Farm_00819,NPK,113.1
Farm_00820,NPK,97.3
Farm_00821,DAP,330.2
Farm_00822,NPK,315.1
Farm_00823,DAP,247.0
Farm_00824,NPK,146.3
Farm_00825,DAP,243.3
Farm_00826,NPK,262.6
Farm_00827,DAP,246.7
Farm_00828,DAP,165.1
Farm_00829,Urea,142.9
Farm_00830,DAP,314.3
Farm_00831,Urea,257.6
Farm_00832,DAP,246.0
Farm_00833,NPK,119.1
Farm_00834,NPK,159.4
Farm_00835,DAP,268.7
Farm_00836,NPK,167.1
Farm_00837,NPK,244.1
Farm_00838,DAP,246.2
Farm_00839,Urea,228.0
Farm_00840,Urea,153.5
Farm_00841,Urea,399.7
Farm_00842,DAP,332.3
Farm_00843,NPK,255.6
Farm_00844,Urea,296.0
Farm_00845,Urea,159.0
Farm_00846,DAP,224.2
Farm_00847,DAP,217.7
Farm_00848,Urea,176.1
Farm_00849,NPK,203.9
Farm_00850,NPK,158.5
Farm_00851,Urea,388.7
Farm_00852,DAP,285.4
Farm_00853,NPK,127.2
Farm_00854,Urea,339.0
Farm_00855,DAP,315.8
Farm_00856,Urea,368.1
Farm_00857,Urea,151.1
Farm_00858,NPK,324.5
Farm_00859,DAP,307.9
Farm_00860,Urea,272.6
Farm_00861,NPK,159.0
Farm_00862,Urea,97.4
Farm_00863,DAP,42.5
Farm_00864,DAP,74.8
Farm_00865,Urea,370.6
Farm_00866,DAP,389.5
Farm_00867,NPK,31.1
Farm_00868,DAP,192.0
Farm_00869,Urea,153.7
Farm_00870,Urea,51.5
Farm_00871,NPK,226.1
Farm_00872,Urea,394.2
Farm_00873,DAP,242.0
Farm_00874,Urea,239.3
Farm_00875,DAP,361.2
Farm_00876,NPK,143.4
Farm_00877,NPK,367.9
Farm_00878,NPK,398.1
Farm_00879,DAP,227.5
Farm_00880,Urea,200.0
Farm_00881,NPK,361.4
Farm_00882,NPK,128.0
Farm_00883,Urea,133.7
Farm_00884,NPK,347.1
Farm_00885,NPK,272.3
Farm_00886,Urea,275.5
Farm_00887,NPK,334.4
Farm_00888,DAP,132.2
Farm_00889,DAP,354.8
Farm_00890,NPK,241.6
Farm_00891,Urea,248.2
Farm_00892,NPK,119.4
Farm_00893,DAP,23.1
Farm_00894,DAP,118.0
Farm_00895,Urea,289.0
Farm_00896,NPK,159.8
Farm_00897,NPK,166.0
Farm_00898,DAP,28.8
Farm_00899,DAP,187.3
Farm_00900,Urea,105.0
Farm_00901,NPK,66.7
Farm_00902,Urea,142.5
Farm_00903,Urea,177.1
Farm_00904,DAP,303.4
Farm_00905,Urea,280.5
Farm_00906,Urea,338.3
Farm_00907,NPK,325.0
Farm_00908,Urea,123.5
Farm_00909,Urea,162.2
Farm_00910,Urea,324.0
Farm_00911,Urea,281.2
Farm_00912,NPK,113.4
Farm_00913,NPK,191.3
Farm_00914,Urea,355.0
Farm_00915,Urea,105.4
Farm_00916,NPK,207.3
Farm_00917,DAP,28.9
Farm_00918,Urea,121.5
Farm_00919,DAP,102.3
Farm_00920,NPK,87.5
Farm_00921,NPK,189.5
Farm_00922,NPK,316.0
Farm_00923,Urea,395.8
Farm_00924,Urea,257.7
Farm_00925,Urea,318.6
Farm_00926,DAP,42.1
Farm_00927,DAP,340.5
Farm_00928,Urea,60.9
Farm_00929,NPK,365.1
Farm_00930,NPK,41.1
Farm_00931,Urea,374.4
