farm_id,soil,ph,nitrogen,phosphorus,potassium
Farm_00084,Peaty,5.92,0.27,33.1,160.6
Farm_00085,Chalky,7.25,0.164,49.7,126.6
Farm_00086,Chalky,7.79,0.366,25.6,65.5
Farm_00087,Sandy,5.85,0.297,24.3,51.5
Farm_00088,Loam,7.43,0.316,44.6,91.1
Farm_00089,Silt,5.82,0.136,40.3,59.5
Farm_00090,Clay,6.4,0.272,30.5,66.4
Farm_00091,Peaty,5.06,0.209,45.8,123.8
Farm_00092,Silt,6.94,0.072,7.0,74.0
Farm_00093,Loam,5.43,0.553,42.5,58.1
Farm_00094,Chalky,7.66,0.504,33.0,76.7
Farm_00095,Loam,6.56,0.182,36.5,64.8
Farm_00096,Loam,5.67,0.357,7.3,138.4
Farm_00097,Chalky,5.69,0.152,36.9,217.6
Farm_00098,Loam,5.23,0.175,11.9,173.7
Farm_00099,Loam,4.81,0.492,38.8,159.2
Farm_00100,Silt,5.47,0.457,39.6,70.9
Farm_00101,Clay,6.42,0.433,41.8,230.9
Farm_00102,Clay,6.01,0.076,7.1,187.4
Farm_00103,Loam,7.25,0.244,22.8,108.7
Farm_00104,Clay,7.78,0.318,29.2,46.6
Farm_00105,Clay,7.61,0.223,21.8,141.5
Farm_00106,Clay,7.42,0.566,39.1,103.8
Farm_00107,Clay,7.59,0.373,12.2,191.2
Farm_00108,Sandy,5.51,0.061,7.4,134.1
Farm_00109,Chalky,6.75,0.273,38.9,110.9
Farm_00110,Clay,5.87,0.249,22.2,182.8
Farm_00111,Clay,5.25,0.396,25.0,245.6
Farm_00112,Silt,5.12,0.453,8.3,175.5
Farm_00113,Sandy,7.66,0.125,20.0,58.6
Farm_00114,Chalky,6.31,0.243,42.6,137.5
Farm_00115,Loam,4.81,0.173,32.0,173.0
Farm_00116,Clay,6.86,0.409,32.2,155.3
Farm_00117,Chalky,7.53,0.077,39.7,108.1
Farm_00118,Peaty,7.57,0.471,18.1,216.6
Farm_00119,Chalky,5.93,0.251,38.2,149.7
Farm_00120,Peaty,4.8,0.193,34.5,104.4
Farm_00121,Sandy,5.86,0.262,33.9,234.2
Farm_00122,Silt,5.21,0.464,5.5,88.8
Farm_00123,Loam,7.33,0.127,25.3,50.5
Farm_00124,Sandy,5.41,0.079,31.8,118.5
Farm_00125,Loam,6.02,0.45,15.2,82.7
Farm_00126,Peaty,5.4,0.1,7.5,87.0
Farm_00127,Peaty,5.94,0.402,16.2,154.6
Farm_00128,Silt,5.4,0.309,43.4,200.7
Farm_00129,Clay,7.04,0.112,13.1,122.6
Farm_00130,Loam,5.26,0.199,32.1,108.1
Farm_00131,Loam,5.06,0.144,47.1,249.6
Farm_00132,Loam,7.23,0.304,51.0,42.3
Farm_00133,Silt,5.4,0.394,47.3,205.2
Farm_00134,Chalky,7.05,0.516,17.0,163.4
Farm_00135,Chalky,7.65,0.533,28.8,126.3
Farm_00136,Clay,5.89,0.173,49.5,168.2
Farm_00137,Chalky,6.8,0.092,36.2,133.3
Farm_00138,Silt,4.91,0.229,11.8,240.1
Farm_00139,Chalky,5.29,0.366,46.3,206.7
Farm_00140,Peaty,5.76,0.486,28.6,63.6
Farm_00141,Chalky,5.86,0.567,18.3,91.1
Farm_00142,Silt,6.81,0.546,11.7,111.1
Farm_00143,Sandy,6.64,0.201,8.4,166.7
Farm_00144,Sandy,4.92,0.505,10.5,87.1
Farm_00145,Chalky,5.48,0.527,54.8,208.9
Farm_00146,Silt,7.04,0.572,51.0,191.7
Farm_00147,Silt,5.89,0.536,29.3,57.4
Farm_00148,Chalky,5.44,0.372,23.9,41.9
Farm_00149,Loam,7.09,0.364,41.0,221.0
Farm_00150,Silt,5.53,0.549,15.0,40.2
Farm_00151,Clay,7.55,0.051,47.6,156.7
Farm_00152,Clay,6.64,0.097,31.0,182.3
Farm_00153,Peaty,7.54,0.51,40.8,46.4
Farm_00154,Clay,6.04,0.062,16.5,226.1
Farm_00155,Silt,7.07,0.537,40.7,130.6
Farm_00156,Chalky,6.41,0.09,8.7,157.0
Farm_00157,Sandy,6.81,0.203,5.5,79.9
Farm_00158,Sandy,5.91,0.455,23.5,74.9
Farm_00159,Loam,5.15,0.303,40.6,59.7
Farm_00160,Chalky,6.37,0.182,13.5,221.6
Farm_00161,Sandy,6.41,0.179,29.9,167.0
Farm_00162,Silt,6.01,0.424,5.6,239.2
Farm_00163,Silt,5.52,0.51,12.7,210.5
Farm_00164,Clay,7.38,0.576,18.4,237.8
Farm_00165,Silt,6.11,0.376,17.7,120.2
Farm_00166,Silt,7.73,0.099,53.5,153.9
Farm_00167,Peaty,5.84,0.467,20.7,210.4
Farm_00168,Peaty,6.59,0.277,33.0,46.1
Farm_00169,Sandy,5.59,0.196,8.2,51.0
Farm_00170,Loam,7.21,0.485,16.6,59.6
Farm_00171,Peaty,5.41,0.221,38.1,94.8
Farm_00172,Clay,5.16,0.329,31.1,116.2
Farm_00173,Peaty,5.06,0.557,11.7,220.2
Farm_00174,Chalky,5.52,0.263,45.3,188.7
Farm_00175,Silt,6.34,0.498,39.8,245.0
Farm_00176,Sandy,5.65,0.569,5.6,181.9
Farm_00177,Peaty,7.44,0.126,51.9,196.3
Farm_00178,Clay,6.72,0.221,28.8,119.4
Farm_00179,Chalky,6.76,0.363,28.1,159.5
Farm_00180,Clay,6.44,0.325,38.4,70.1
Farm_00181,Clay,6.61,0.179,15.8,172.0
Farm_00182,Sandy,7.41,0.544,33.0,127.2
Farm_00183,Clay,7.32,0.473,34.6,139.3
Farm_00184,Silt,7.66,0.391,12.8,177.0
Farm_00185,Clay,6.36,0.061,32.4,206.3
Farm_00186,Silt,7.01,0.127,20.6,86.0
Farm_00187,Loam,4.92,0.23,39.7,75.4
Farm_00188,Clay,6.14,0.392,50.3,204.5
Farm_00189,Chalky,6.04,0.418,33.5,193.0
Farm_00190,Peaty,6.28,0.506,7.3,129.9
Farm_00191,Chalky,5.44,0.41,18.9,117.8
Farm_00192,Peaty,5.58,0.329,27.2,45.4
Farm_00193,Clay,5.58,0.084,13.1,249.3
Farm_00194,Peaty,6.02,0.142,11.9,138.8
Farm_00195,Peaty,7.67,0.3,23.5,203.4
Farm_00196,Clay,7.58,0.596,38.9,189.8
Farm_00197,Loam,6.82,0.261,54.6,45.6
Farm_00198,Sandy,5.27,0.132,34.4,208.2
Farm_00199,Loam,7.73,0.596,7.4,247.4
Farm_00200,Sandy,6.56,0.324,54.5,194.3
Farm_00201,Chalky,5.1,0.274,31.8,100.4
Farm_00202,Clay,7.6,0.498,28.7,69.7
Farm_00203,Chalky,6.43,0.287,16.8,230.5
Farm_00204,Chalky,5.18,0.245,33.0,247.9
Farm_00205,Peaty,6.99,0.167,27.6,115.2
Farm_00206,Clay,5.61,0.318,40.6,228.0
Farm_00207,Silt,6.12,0.269,34.8,93.6
Farm_00208,Clay,6.35,0.518,9.5,136.6
Farm_00209,Sandy,6.19,0.379,13.8,165.8
Farm_00210,Peaty,5.1,0.34,10.7,101.0
Farm_00211,Clay,5.47,0.052,54.9,81.5
Farm_00212,Clay,5.21,0.387,13.6,147.0
Farm_00213,Sandy,6.64,0.068,51.7,244.1
Farm_00214,Clay,4.95,0.436,38.6,103.1
Farm_00215,Chalky,5.64,0.46,46.6,92.0
Farm_00216,Silt,7.71,0.165,52.4,177.3
Farm_00217,Chalky,7.25,0.29,38.7,240.1
Farm_00218,Silt,6.41,0.17,44.1,104.3
Farm_00219,Clay,4.8,0.555,16.2,91.0
Farm_00220,Clay,6.55,0.342,42.9,97.6
Farm_00221,Chalky,6.1,0.4,51.7,70.0
Farm_00222,Loam,6.91,0.389,36.8,195.4
Farm_00223,Loam,7.09,0.202,12.6,149.0
Farm_00224,Loam,7.2,0.099,6.4,145.8
Farm_00225,Peaty,6.56,0.447,18.9,144.3
Farm_00226,Chalky,7.77,0.569,17.9,211.0
Farm_00227,Sandy,7.67,0.266,39.3,81.1
Farm_00228,Chalky,6.23,0.222,23.4,207.8
Farm_00229,Sandy,4.84,0.524,23.8,40.1
Farm_00230,Chalky,5.26,0.347,18.3,123.8
Farm_00231,Sandy,6.19,0.468,20.9,63.1
Farm_00232,Loam,7.03,0.327,9.3,88.7
Farm_00233,Loam,7.31,0.372,34.0,42.6
Farm_00234,Sandy,7.28,0.542,17.4,161.2
Farm_00235,Peaty,5.24,0.44,40.1,200.7
Farm_00236,Clay,7.19,0.079,11.1,216.0
Farm_00237,Loam,7.4,0.504,9.9,201.0
Farm_00238,Clay,6.82,0.117,43.9,200.9
Farm_00239,Chalky,6.68,0.114,24.8,82.2
Farm_00240,Sandy,7.39,0.191,17.9,61.7
Farm_00241,Silt,6.64,0.392,13.7,93.3
Farm_00242,Chalky,6.7,0.251,10.4,54.5
Farm_00243,Chalky,7.24,0.081,19.9,56.5
Farm_00244,Chalky,6.68,0.204,27.3,88.9
Farm_00245,Chalky,4.83,0.43,26.5,172.8
Farm_00246,Silt,7.75,0.308,49.4,108.5
Farm_00247,Loam,6.99,0.114,42.6,71.0
Farm_00248,Silt,5.21,0.251,36.9,111.9
Farm_00249,Sandy,7.46,0.068,40.0,90.0
Farm_00250,Clay,5.18,0.17,43.2,138.7
Farm_00251,Clay,5.11,0.347,19.9,171.3
Farm_00252,Peaty,5.63,0.066,51.2,96.8
Farm_00253,Silt,6.02,0.125,43.6,76.7
Farm_00254,Loam,4.9,0.556,29.2,224.5
Farm_00255,Silt,7.56,0.407,37.8,163.6
Farm_00256,Silt,5.9,0.182,5.8,223.5
Farm_00257,Loam,7.0,0.088,45.4,179.8
Farm_00258,Loam,7.7,0.45,8.3,223.1
Farm_00259,Sandy,5.44,0.384,34.4,133.3
Farm_00260,Chalky,7.8,0.5,30.6,165.4
Farm_00261,Sandy,6.52,0.063,33.3,221.8
Farm_00262,Chalky,5.65,0.2,9.3,246.8
Farm_00263,Loam,7.48,0.308,7.1,214.5
Farm_00264,Sandy,5.96,0.353,32.6,124.8
Farm_00265,Loam,5.75,0.13,43.1,185.6
Farm_00266,Chalky,7.45,0.49,20.3,57.8
Farm_00267,Clay,5.93,0.534,12.5,218.9
Farm_00268,Clay,6.94,0.584,40.3,155.9
Farm_00269,Silt,6.26,0.517,54.3,85.6
Farm_00270,Sandy,6.21,0.305,19.3,48.4
Farm_00271,Peaty,7.25,0.128,44.5,44.9
Farm_00272,Chalky,7.43,0.191,46.0,43.9
Farm_00273,Loam,7.58,0.343,18.7,148.9
Farm_00274,Silt,7.22,0.524,49.1,76.6
Farm_00275,Silt,7.19,0.309,12.9,119.9
Farm_00276,Chalky,6.45,0.543,54.7,156.9
Farm_00277,Loam,4.8,0.089,6.8,130.6
Farm_00278,Loam,7.72,0.51,42.3,114.8
Farm_00279,Loam,7.17,0.314,46.9,59.2
Farm_00280,Peaty,5.97,0.523,22.3,179.7
Farm_00281,Silt,6.26,0.525,9.4,185.7
Farm_00282,Sandy,5.7,0.548,38.2,161.8
Farm_00283,Sandy,7.37,0.124,18.2,108.6
Farm_00284,Loam,6.39,0.412,14.8,160.5
Farm_00285,Silt,6.37,0.519,42.6,84.0
Farm_00286,Loam,7.64,0.268,26.2,153.4
Farm_00287,Silt,6.93,0.525,39.8,49.0
Farm_00288,Silt,5.25,0.478,21.0,126.5
Farm_00289,Peaty,5.65,0.555,23.4,97.9
Farm_00290,Sandy,7.54,0.12,46.5,186.6
Farm_00291,Sandy,5.2,0.055,15.5,205.3
Farm_00292,Clay,5.26,0.575,25.2,202.2
Farm_00293,Peaty,6.87,0.116,10.3,51.0
Farm_00294,Loam,5.08,0.235,17.0,246.1
Farm_00295,Loam,6.83,0.305,24.0,166.5
Farm_00296,Peaty,5.87,0.19,46.8,229.4
Farm_00297,Loam,7.57,0.355,50.9,138.5
Farm_00298,Chalky,6.16,0.51,35.1,49.3
Farm_00299,Loam,7.49,0.517,15.8,69.9
Farm_00300,Silt,5.27,0.316,37.9,54.0
Farm_00301,Loam,7.3,0.306,11.4,239.1
Farm_00302,Peaty,6.27,0.35,49.0,54.7
Farm_00303,Loam,6.96,0.381,17.2,183.1
Farm_00304,Peaty,5.76,0.333,30.9,67.4
Farm_00305,Loam,7.78,0.251,8.5,84.2
Farm_00306,Chalky,6.11,0.28,25.1,149.4
Farm_00307,Sandy,6.96,0.409,26.5,58.0
Farm_00308,Silt,6.23,0.563,10.8,55.6
Farm_00309,Clay,6.07,0.13,32.4,97.7
Farm_00310,Silt,4.9,0.095,40.4,144.3
Farm_00311,Peaty,7.77,0.328,24.4,215.0
Farm_00312,Loam,6.87,0.39,40.6,239.6
Farm_00313,Silt,7.73,0.182,35.3,151.3
Farm_00314,Chalky,5.89,0.307,15.1,70.4
Farm_00315,Clay,5.08,0.246,51.3,59.0
Farm_00316,Peaty,5.06,0.459,12.5,151.2
Farm_00317,Sandy,5.02,0.433,7.8,80.6
Farm_00318,Peaty,5.8,0.063,8.4,117.5
Farm_00319,Chalky,7.78,0.135,50.5,187.0
Farm_00320,Chalky,7.45,0.217,40.6,220.6
Farm_00321,Sandy,6.33,0.365,38.3,41.5
Farm_00322,Peaty,4.81,0.196,10.3,213.0
Farm_00323,Peaty,5.15,0.417,18.3,197.4
Farm_00324,Chalky,6.82,0.084,28.9,96.4
Farm_00325,Peaty,6.31,0.058,17.7,139.3
Farm_00326,Loam,6.55,0.283,44.7,197.6
Farm_00327,Sandy,5.43,0.33,34.2,161.7
Farm_00328,Chalky,7.68,0.256,48.9,208.8
Farm_00329,Sandy,5.48,0.225,5.4,98.1
Farm_00330,Chalky,5.44,0.519,6.9,248.1
Farm_00331,Peaty,5.26,0.449,6.9,138.0
Farm_00332,Chalky,5.42,0.494,6.5,220.2
Farm_00333,Loam,7.23,0.13,33.6,67.8
Farm_00334,Silt,6.71,0.465,32.2,150.6
Farm_00335,Sandy,6.83,0.273,9.6,140.5
Farm_00336,Sandy,5.19,0.108,45.9,160.9
Farm_00337,Sandy,4.9,0.479,37.4,203.1
Farm_00338,Clay,6.49,0.544,49.8,189.4
Farm_00339,Peaty,6.67,0.432,32.4,67.5
Farm_00340,Silt,5.38,0.533,39.6,78.1
Farm_00341,Peaty,7.17,0.48,20.8,165.8
Farm_00342,Clay,5.0,0.559,42.7,139.2
Farm_00343,Clay,7.68,0.369,34.8,244.6
Farm_00344,Silt,6.65,0.461,45.8,131.7
Farm_00345,Silt,5.11,0.467,32.9,231.9
Farm_00346,Silt,6.85,0.553,10.8,212.7
Farm_00347,Silt,5.94,0.474,42.6,122.8
Farm_00348,Chalky,7.56,0.227,21.0,69.6
Farm_00349,Chalky,4.96,0.199,51.6,99.4
Farm_00350,Silt,6.06,0.404,11.6,168.2
Farm_00351,Sandy,7.79,0.285,27.1,105.3
Farm_00352,Sandy,6.92,0.485,5.4,206.8
Farm_00353,Chalky,7.48,0.364,42.8,99.6
Farm_00354,Silt,5.51,0.073,35.8,200.4
Farm_00355,Silt,5.9,0.238,25.6,218.0
Farm_00356,Chalky,4.94,0.079,41.0,166.4
Farm_00357,Sandy,6.04,0.366,46.5,67.7
Farm_00358,Chalky,7.58,0.43,13.0,126.0
Farm_00359,Sandy,6.75,0.171,10.5,165.2
Farm_00360,Chalky,6.37,0.369,14.4,173.3
Farm_00361,Silt,6.15,0.5,40.3,211.9
Farm_00362,Loam,5.21,0.146,32.0,135.6
Farm_00363,Chalky,7.49,0.517,26.8,147.5
Farm_00364,Clay,5.03,0.483,34.8,99.6
Farm_00365,Loam,7.79,0.454,26.4,78.3
Farm_00366,Clay,6.17,0.08,44.9,221.6
Farm_00367,Silt,7.0,0.445,23.1,198.4
Farm_00368,Clay,7.61,0.109,36.6,175.1
Farm_00369,Loam,6.28,0.283,49.6,123.5
Farm_00370,Silt,6.59,0.115,21.8,117.5
Farm_00371,Sandy,7.04,0.572,17.2,184.8
Farm_00372,Clay,6.72,0.419,39.2,222.4
Farm_00373,Sandy,6.58,0.274,24.1,125.2
Farm_00374,Clay,6.57,0.15,37.4,131.9
Farm_00375,Loam,7.45,0.225,8.0,82.0
Farm_00376,Chalky,6.38,0.27,29.0,129.8
Farm_00377,Loam,7.04,0.516,27.0,132.6
Farm_00378,Loam,5.87,0.499,26.7,122.1
Farm_00379,Sandy,6.09,0.295,54.7,201.7
Farm_00380,Sandy,5.95,0.575,50.3,181.0
Farm_00381,Peaty,6.21,0.293,6.5,61.7
Farm_00382,Clay,7.24,0.488,6.2,163.2
Farm_00383,Clay,5.79,0.059,40.2,74.9
Farm_00384,Loam,6.95,0.172,18.3,204.1
Farm_00385,Sandy,4.93,0.481,53.9,190.8
Farm_00386,Sandy,6.8,0.338,52.1,210.0
Farm_00387,Clay,5.72,0.347,37.4,110.3
Farm_00388,Clay,6.32,0.582,48.0,125.7
Farm_00389,Chalky,6.77,0.53,19.0,151.2
Farm_00390,Chalky,7.11,0.182,5.7,156.2
Farm_00391,Silt,4.89,0.435,26.6,84.7
Farm_00392,Clay,5.48,0.065,31.8,134.6
Farm_00393,Clay,5.84,0.185,47.2,138.1
Farm_00394,Sandy,6.05,0.49,17.6,51.7
Farm_00395,Silt,7.76,0.259,47.5,190.6
Farm_00396,Loam,6.65,0.278,45.5,145.9
Farm_00397,Clay,7.62,0.247,34.0,163.6
Farm_00398,Loam,6.22,0.088,47.7,138.4
Farm_00399,Silt,5.58,0.543,45.1,159.8
Farm_00400,Clay,7.53,0.52,32.1,209.0
Farm_00401,Loam,6.15,0.349,54.5,110.5
Farm_00402,Silt,6.46,0.144,19.1,102.5
Farm_00403,Loam,5.52,0.326,19.5,44.7
Farm_00404,Silt,5.48,0.23,31.4,170.8
Farm_00405,Sandy,6.1,0.236,36.3,136.5
Farm_00406,Clay,7.79,0.483,43.3,200.7
Farm_00407,Peaty,7.11,0.27,49.4,121.8
Farm_00408,Peaty,6.66,0.245,13.0,110.2
Farm_00409,Peaty,6.33,0.562,54.8,85.4
Farm_00410,Sandy,7.14,0.157,29.4,215.1
Farm_00411,Silt,7.7,0.072,52.1,135.0
Farm_00412,Sandy,5.21,0.46,30.9,58.3
Farm_00413,Peaty,6.59,0.187,38.7,162.8
Farm_00414,Peaty,5.74,0.107,24.3,135.1
Farm_00415,Peaty,5.95,0.093,15.6,170.5
Farm_00416,Sandy,6.81,0.282,54.1,85.0
Farm_00417,Sandy,5.12,0.428,13.8,188.1
Farm_00418,Sandy,7.67,0.336,36.0,133.2
Farm_00419,Chalky,4.86,0.219,52.2,98.0
Farm_00420,Clay,7.25,0.228,15.4,129.0
Farm_00421,Peaty,5.18,0.296,40.6,56.7
Farm_00422,Peaty,5.32,0.178,44.1,51.8
Farm_00423,Chalky,4.96,0.446,28.4,87.5
Farm_00424,Clay,6.85,0.254,17.9,150.6
Farm_00425,Chalky,7.74,0.548,39.5,241.6
Farm_00426,Peaty,5.51,0.262,11.9,216.6
Farm_00427,Silt,5.72,0.235,33.8,85.8
Farm_00428,Clay,7.26,0.427,8.9,187.8
Farm_00429,Clay,7.59,0.05,31.5,153.4
Farm_00430,Loam,5.5,0.255,18.3,57.3
Farm_00431,Peaty,6.5,0.331,40.8,166.3
Farm_00432,Chalky,7.73,0.57,7.1,103.8
Farm_00433,Clay,6.89,0.065,50.7,41.0
Farm_00434,Clay,5.57,0.585,20.9,98.9
Farm_00435,Sandy,4.84,0.157,8.5,162.4
Farm_00436,Silt,6.53,0.377,34.2,220.2
Farm_00437,Chalky,7.31,0.377,31.6,73.9
Farm_00438,Clay,4.98,0.071,15.3,199.5
Farm_00439,Sandy,4.93,0.206,30.3,93.3
Farm_00440,Silt,6.37,0.131,53.7,203.9
Farm_00441,Chalky,7.15,0.375,36.6,75.8
Farm_00442,Silt,6.95,0.2,21.3,93.2
Farm_00443,Silt,5.17,0.38,18.6,89.2
Farm_00444,Sandy,5.23,0.187,17.8,126.8
Farm_00445,Sandy,6.62,0.139,37.6,51.8
Farm_00446,Loam,6.87,0.263,7.5,71.0
Farm_00447,Clay,6.06,0.143,7.6,59.0
Farm_00448,Silt,6.88,0.323,42.1,203.8
Farm_00449,Clay,7.39,0.56,40.4,87.0
Farm_00450,Silt,7.42,0.158,30.4,232.6
Farm_00451,Silt,5.13,0.128,34.6,202.8
Farm_00452,Peaty,7.65,0.562,29.4,159.6
Farm_00453,Chalky,5.66,0.425,50.7,138.3
Farm_00454,Sandy,6.37,0.218,43.2,110.9
Farm_00455,Loam,5.7,0.588,15.1,81.5
Farm_00456,Sandy,7.08,0.232,54.6,194.8
Farm_00457,Sandy,5.38,0.326,47.9,193.3
Farm_00458,Clay,6.12,0.276,14.5,90.9
Farm_00459,Peaty,7.07,0.41,7.0,213.1
Farm_00460,Sandy,6.83,0.527,33.0,225.0
Farm_00461,Peaty,7.72,0.516,17.3,238.1
Farm_00462,Clay,6.08,0.119,48.3,201.2
Farm_00463,Sandy,5.52,0.237,42.3,83.5
Farm_00464,Sandy,7.46,0.052,52.1,75.7
Farm_00465,Sandy,7.78,0.431,10.7,89.5
Farm_00466,Peaty,7.63,0.436,28.3,95.8
Farm_00467,Chalky,6.6,0.55,43.8,180.5
Farm_00468,Sandy,5.19,0.206,11.2,223.2
Farm_00469,Silt,5.28,0.092,32.1,150.2
Farm_00470,Chalky,7.17,0.229,45.5,42.2
Farm_00471,Sandy,6.89,0.507,15.5,218.4
Farm_00472,Peaty,5.77,0.316,5.6,132.3
Farm_00473,Peaty,7.05,0.3,40.3,118.3
Farm_00474,Chalky,6.69,0.112,15.0,245.8
Farm_00475,Clay,7.34,0.251,41.9,131.2
Farm_00476,Peaty,5.88,0.195,16.7,61.7
Farm_00477,Chalky,6.21,0.114,41.5,136.3
Farm_00478,Loam,7.73,0.058,45.9,82.0
Farm_00479,Chalky,6.34,0.406,21.6,138.5
Farm_00480,Silt,6.13,0.574,44.9,160.0
Farm_00481,Loam,7.09,0.323,21.8,130.9
Farm_00482,Peaty,7.48,0.159,48.4,113.2
Farm_00483,Chalky,7.02,0.353,12.4,140.5
Farm_00484,Silt,6.48,0.594,49.2,197.2
Farm_00485,Clay,7.03,0.228,34.0,106.2
Farm_00486,Silt,4.87,0.331,48.4,176.0
Farm_00487,Chalky,6.39,0.344,52.2,243.0
Farm_00488,Clay,6.83,0.271,24.9,119.4
Farm_00489,Silt,7.65,0.499,46.1,163.9
Farm_00490,Chalky,6.93,0.378,54.8,200.5
Farm_00491,Chalky,6.77,0.112,12.0,182.4
Farm_00492,Peaty,7.09,0.443,32.1,249.0
Farm_00493,Silt,6.92,0.426,8.0,76.3
Farm_00494,Peaty,7.69,0.565,49.7,45.3
Farm_00495,Peaty,6.65,0.404,26.4,215.4
Farm_00496,Silt,6.95,0.196,13.7,210.2
Farm_00497,Clay,6.99,0.51,38.4,62.8
Farm_00498,Clay,6.66,0.465,54.8,216.0
Farm_00499,Silt,6.17,0.544,40.3,124.3
Farm_00500,Loam,7.34,0.059,14.7,55.2
Farm_00501,Chalky,5.61,0.125,53.9,166.3
Farm_00502,Peaty,6.01,0.528,32.1,80.8
Farm_00503,Peaty,7.54,0.446,23.3,56.0
Farm_00504,Sandy,7.49,0.312,23.7,79.9
Farm_00505,Chalky,4.89,0.54,44.8,61.3
Farm_00506,Clay,7.65,0.457,34.8,246.5
Farm_00507,Clay,5.69,0.2,23.7,210.2
